,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,33922392,13255,0.435,0.17
1,1024,defect,17216157,12747,0.221,0.163
2,1024,exploitation,26861451,2591,0.344,0.033
3000,128,coop,35218962,7637,0.452,0.098
3001,128,defect,14418031,6896,0.185,0.088
3002,128,exploitation,28363007,1288,0.363,0.017
6000,16,coop,23120567,8727,0.296,0.112
6001,16,defect,25753935,9513,0.33,0.122
6002,16,exploitation,29125498,1560,0.373,0.02
9000,256,coop,20194114,4810,0.259,0.062
9001,256,defect,28842566,5282,0.37,0.068
9002,256,exploitation,28963320,918,0.371,0.012
12000,2,coop,11843370,6435,0.152,0.082
12001,2,defect,39769231,8300,0.51,0.107
12002,2,exploitation,26387399,2202,0.338,0.028
15000,32,coop,27368086,9242,0.351,0.119
15001,32,defect,21381066,9310,0.274,0.12
15002,32,exploitation,29250848,1328,0.375,0.017
18000,4,coop,27363095,8113,0.351,0.104
18001,4,defect,22262031,8267,0.285,0.106
18002,4,exploitation,28374874,644,0.364,0.009
21000,512,coop,32665562,8493,0.419,0.109
21001,512,defect,16593919,7244,0.213,0.093
21002,512,exploitation,28740519,2585,0.368,0.033
24000,64,coop,20469514,6516,0.263,0.084
24001,64,defect,27796558,6632,0.356,0.085
24002,64,exploitation,29733928,1378,0.381,0.018
27000,8,coop,24811266,10340,0.318,0.133
27001,8,defect,25505116,10980,0.327,0.141
27002,8,exploitation,27683618,1673,0.355,0.022
