round,seed,population_seed,strategy,count,percentage
1,897,136,coop,29408,0.38
1,897,136,defect,19393,0.25
1,897,136,exploitation,29199,0.37
2,897,136,coop,27982,0.36
2,897,136,defect,20557,0.26
2,897,136,exploitation,29461,0.38
3,897,136,coop,29617,0.38
3,897,136,defect,19341,0.25
3,897,136,exploitation,29042,0.37
4,897,136,coop,30222,0.39
4,897,136,defect,18554,0.24
4,897,136,exploitation,29224,0.37
5,897,136,coop,30377,0.39
5,897,136,defect,18541,0.24
5,897,136,exploitation,29082,0.37
6,897,136,coop,29468,0.38
6,897,136,defect,19253,0.25
6,897,136,exploitation,29279,0.38
7,897,136,coop,28555,0.37
7,897,136,defect,19759,0.25
7,897,136,exploitation,29686,0.38
8,897,136,coop,28635,0.37
8,897,136,defect,19556,0.25
8,897,136,exploitation,29809,0.38
9,897,136,coop,28860,0.37
9,897,136,defect,19187,0.25
9,897,136,exploitation,29953,0.38
10,897,136,coop,28403,0.36
10,897,136,defect,20060,0.26
10,897,136,exploitation,29537,0.38
11,897,136,coop,26652,0.34
11,897,136,defect,21365,0.27
11,897,136,exploitation,29983,0.38
12,897,136,coop,26841,0.34
12,897,136,defect,21214,0.27
12,897,136,exploitation,29945,0.38
13,897,136,coop,28485,0.37
13,897,136,defect,19709,0.25
13,897,136,exploitation,29806,0.38
14,897,136,coop,28008,0.36
14,897,136,defect,20451,0.26
14,897,136,exploitation,29541,0.38
15,897,136,coop,26808,0.34
15,897,136,defect,21224,0.27
15,897,136,exploitation,29968,0.38
16,897,136,coop,26171,0.34
16,897,136,defect,21872,0.28
16,897,136,exploitation,29957,0.38
17,897,136,coop,25112,0.32
17,897,136,defect,22633,0.29
17,897,136,exploitation,30255,0.39
18,897,136,coop,22831,0.29
18,897,136,defect,24722,0.32
18,897,136,exploitation,30447,0.39
19,897,136,coop,24141,0.31
19,897,136,defect,23524,0.3
19,897,136,exploitation,30335,0.39
20,897,136,coop,21689,0.28
20,897,136,defect,25789,0.33
20,897,136,exploitation,30522,0.39
21,897,136,coop,23828,0.31
21,897,136,defect,23683,0.3
21,897,136,exploitation,30489,0.39
22,897,136,coop,22905,0.29
22,897,136,defect,24997,0.32
22,897,136,exploitation,30098,0.39
23,897,136,coop,23255,0.3
23,897,136,defect,24623,0.32
23,897,136,exploitation,30122,0.39
24,897,136,coop,23017,0.3
24,897,136,defect,24695,0.32
24,897,136,exploitation,30288,0.39
25,897,136,coop,22027,0.28
25,897,136,defect,25781,0.33
25,897,136,exploitation,30192,0.39
26,897,136,coop,22205,0.28
26,897,136,defect,25141,0.32
26,897,136,exploitation,30654,0.39
27,897,136,coop,21872,0.28
27,897,136,defect,25571,0.33
27,897,136,exploitation,30557,0.39
28,897,136,coop,23060,0.3
28,897,136,defect,24890,0.32
28,897,136,exploitation,30050,0.39
29,897,136,coop,24299,0.31
29,897,136,defect,23658,0.3
29,897,136,exploitation,30043,0.39
30,897,136,coop,25737,0.33
30,897,136,defect,22695,0.29
30,897,136,exploitation,29568,0.38
31,897,136,coop,27211,0.35
31,897,136,defect,21575,0.28
31,897,136,exploitation,29214,0.37
32,897,136,coop,26605,0.34
32,897,136,defect,22274,0.29
32,897,136,exploitation,29121,0.37
33,897,136,coop,27122,0.35
33,897,136,defect,21507,0.28
33,897,136,exploitation,29371,0.38
34,897,136,coop,26436,0.34
34,897,136,defect,22310,0.29
34,897,136,exploitation,29254,0.38
35,897,136,coop,27617,0.35
35,897,136,defect,21239,0.27
35,897,136,exploitation,29144,0.37
36,897,136,coop,27473,0.35
36,897,136,defect,21470,0.28
36,897,136,exploitation,29057,0.37
37,897,136,coop,27784,0.36
37,897,136,defect,21203,0.27
37,897,136,exploitation,29013,0.37
38,897,136,coop,28048,0.36
38,897,136,defect,20964,0.27
38,897,136,exploitation,28988,0.37
39,897,136,coop,29295,0.38
39,897,136,defect,19913,0.26
39,897,136,exploitation,28792,0.37
40,897,136,coop,27424,0.35
40,897,136,defect,21545,0.28
40,897,136,exploitation,29031,0.37
41,897,136,coop,26286,0.34
41,897,136,defect,22388,0.29
41,897,136,exploitation,29326,0.38
42,897,136,coop,25593,0.33
42,897,136,defect,23407,0.3
42,897,136,exploitation,29000,0.37
43,897,136,coop,25203,0.32
43,897,136,defect,23737,0.3
43,897,136,exploitation,29060,0.37
44,897,136,coop,25016,0.32
44,897,136,defect,23950,0.31
44,897,136,exploitation,29034,0.37
45,897,136,coop,25419,0.33
45,897,136,defect,23204,0.3
45,897,136,exploitation,29377,0.38
46,897,136,coop,26902,0.34
46,897,136,defect,22048,0.28
46,897,136,exploitation,29050,0.37
47,897,136,coop,28960,0.37
47,897,136,defect,19999,0.26
47,897,136,exploitation,29041,0.37
48,897,136,coop,31256,0.4
48,897,136,defect,18131,0.23
48,897,136,exploitation,28613,0.37
49,897,136,coop,31173,0.4
49,897,136,defect,18275,0.23
49,897,136,exploitation,28552,0.37
50,897,136,coop,32931,0.42
50,897,136,defect,16912,0.22
50,897,136,exploitation,28157,0.36
51,897,136,coop,32550,0.42
51,897,136,defect,16784,0.22
51,897,136,exploitation,28666,0.37
52,897,136,coop,30505,0.39
