,seed,population_seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,80,598,coop,40534498,7846,0.52,0.101
1,80,598,defect,11104893,6221,0.142,0.08
2,80,598,exploitation,26360609,1921,0.338,0.025
