,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,23742154,8718,0.304,0.112
1,1024,defect,26184882,10067,0.336,0.129
2,1024,exploitation,28072964,1872,0.36,0.024
3000,128,coop,31955100,8362,0.41,0.107
3001,128,defect,17215840,6965,0.221,0.089
3002,128,exploitation,28829060,2338,0.369,0.03
6000,16,coop,17742343,8774,0.228,0.113
6001,16,defect,29434786,10017,0.377,0.129
6002,16,exploitation,30822871,3052,0.395,0.039
9000,256,coop,29037744,7457,0.372,0.096
9001,256,defect,19770736,6030,0.253,0.078
9002,256,exploitation,29191520,2042,0.374,0.026
12000,2,coop,23749132,9592,0.304,0.123
12001,2,defect,26022273,9903,0.334,0.127
12002,2,exploitation,28228595,1171,0.362,0.015
15000,32,coop,27355194,8556,0.351,0.11
15001,32,defect,22206461,8595,0.285,0.11
15002,32,exploitation,28438345,1328,0.365,0.017
18000,4,coop,17640828,10334,0.226,0.133
18001,4,defect,33559751,13224,0.43,0.17
18002,4,exploitation,26799421,3435,0.343,0.044
21000,512,coop,26903795,6395,0.345,0.082
21001,512,defect,21141558,6314,0.271,0.081
21002,512,exploitation,29954647,1448,0.384,0.019
24000,64,coop,24021495,11003,0.308,0.141
24001,64,defect,25799181,12047,0.331,0.154
24002,64,exploitation,28179324,2657,0.361,0.034
27000,8,coop,25647426,7798,0.329,0.1
27001,8,defect,23490825,7241,0.301,0.093
27002,8,exploitation,28861749,1423,0.37,0.018
