round,seed,defect,coop,exploit_,exploit
451,385,20675,27468,14271,15586
452,385,20604,27651,14184,15561
453,385,20397,27713,14204,15686
454,385,21867,26203,13844,16086
455,385,22094,26001,13822,16083
456,385,20033,27964,14173,15830
457,385,21695,26269,14681,15355
458,385,22827,24743,15607,14823
459,385,21184,26534,15361,14921
460,385,21926,25980,15258,14836
461,385,19893,28105,14243,15759
462,385,20643,27464,14386,15507
463,385,22594,25739,14130,15537
464,385,24178,23884,14397,15541
465,385,24677,23630,14579,15114
466,385,24527,23615,14718,15140
467,385,25289,23296,14911,14504
468,385,24228,24144,15111,14517
469,385,25050,24057,14731,14162
470,385,27196,22175,13768,14861
471,385,29373,19914,13460,15253
472,385,28666,20676,13307,15351
473,385,28747,20362,13481,15410
474,385,28612,20508,13495,15385
475,385,28781,20447,13376,15396
476,385,27188,21810,13772,15230
477,385,28836,20682,14088,14394
478,385,27103,22227,13653,15017
479,385,27200,21976,13805,15019
480,385,25561,23613,14048,14778
481,385,23407,25827,14722,14044
482,385,23317,25583,14901,14199
483,385,21863,27021,15531,13585
484,385,23178,25667,15044,14111
485,385,21522,27392,15346,13740
486,385,21772,27218,15272,13738
487,385,21642,27548,15170,13640
488,385,22033,27074,15261,13632
489,385,20395,29205,15204,13196
490,385,18896,30534,15136,13434
491,385,18742,31001,15018,13239
492,385,20357,29082,14745,13816
493,385,20196,29336,14740,13728
494,385,20362,28925,14857,13856
495,385,18575,30842,15096,13487
496,385,18598,30745,15300,13357
497,385,18724,31089,14950,13237
498,385,18680,30585,15251,13484
499,385,17017,32407,14578,13998
500,385,16601,32982,14578,13839
501,385,16797,33152,14362,13689
502,385,16755,33020,14511,13714
503,385,14701,35254,14129,13916
504,385,14530,35794,13974,13702
505,385,14909,34978,14074,14039
506,385,16551,33077,14165,14207
507,385,14887,34852,13536,14725
508,385,13426,36929,12758,14887
509,385,13886,36167,12813,15134
510,385,13503,36620,12809,15068
511,385,13263,36974,12796,14967
512,385,13177,36965,12684,15174
513,385,13221,37032,12706,15041
514,385,14824,35045,13557,14574
515,385,14856,35240,13496,14408
516,385,14851,35179,13453,14517
517,385,14837,35251,13563,14349
518,385,14795,35367,13487,14351
519,385,14939,35186,13449,14426
520,385,13437,36784,13918,13861
521,385,13422,37123,13714,13741
522,385,13408,37155,13745,13692
523,385,14958,35032,13331,14679
524,385,15181,34830,13363,14626
525,385,14651,35576,13238,14535
526,385,14658,35480,13162,14700
527,385,14747,35493,13113,14647
528,385,13157,37342,12502,14999
529,385,14677,35468,12622,15233
530,385,15225,35154,12745,14876
531,385,13283,36918,12773,15026
532,385,13518,37170,12618,14694
533,385,13616,36302,12978,15104
534,385,13324,37204,12699,14773
535,385,15163,34822,13415,14600
536,385,15068,35207,13265,14460
537,385,15800,34072,13226,14902
538,385,15987,33950,13227,14836
539,385,15875,34000,13300,14825
540,385,17406,32087,13863,14644
541,385,17284,32375,13916,14425
542,385,17291,32493,13922,14294
543,385,15236,34754,13836,14174
544,385,15083,35078,13718,14121
545,385,15252,34728,13849,14171
546,385,16889,33032,14019,14060
547,385,16813,33150,14013,14024
548,385,16642,33329,13974,14055
549,385,18407,30762,15084,13747
550,385,19775,29779,14512,13934
551,385,20184,29460,14418,13938
552,385,21456,27368,15612,13564
553,385,23476,25723,14744,14057
554,385,23413,26072,14552,13963
555,385,21679,27651,14336,14334
556,385,21742,27584,14193,14481
557,385,21823,27720,14133,14324
558,385,21806,27414,14371,14409
559,385,20111,29226,13710,14953
560,385,20451,28949,13476,15124
561,385,20332,28980,13614,15074
562,385,20471,29065,13375,15089
563,385,20388,29058,13475,15079
564,385,20390,28955,13541,15114
565,385,20522,29128,13368,14982
566,385,20385,28950,13532,15133
567,385,22242,27138,13368,15252
568,385,22108,27142,13390,15360
569,385,21894,27402,13267,15437
570,385,24133,25068,13803,14996
571,385,25806,23649,14239,14306
572,385,27550,21647,14386,14417
