round,seed,exploit,coop,exploit_,defect
589,16,14119,33240,14799,15842
590,16,14230,33531,14647,15592
591,16,14041,34414,14671,14874
592,16,14055,34775,14378,14792
593,16,14436,36282,14167,13115
594,16,14756,35614,14407,13223
595,16,14433,36303,14161,13103
596,16,14274,34461,14481,14784
597,16,14220,33425,14726,15629
598,16,14190,34542,14417,14851
599,16,14119,35244,14476,14161
600,16,14058,35126,14536,14280
601,16,14006,35250,14396,14348
602,16,13915,34886,14482,14717
603,16,14053,35153,14643,14151
604,16,14047,35469,14355,14129
605,16,13864,33759,14740,15637
606,16,14593,31538,14126,17743
607,16,14652,31371,14124,17853
608,16,14733,30917,14012,18338
609,16,14697,32153,14685,16465
610,16,14451,32243,14551,16755
611,16,14570,31662,14550,17218
612,16,14466,32251,14279,17004
613,16,14425,32543,14329,16703
614,16,14389,32617,14665,16329
615,16,14076,35430,14117,14377
616,16,14093,36127,13958,13822
617,16,13993,36159,13997,13851
618,16,14069,35997,13879,14055
619,16,13967,36191,13897,13945
620,16,13989,36813,13914,13284
621,16,13691,38062,14228,12019
622,16,13579,38181,14292,11948
623,16,13626,38046,14071,12257
624,16,13873,36483,14504,13140
625,16,13730,36671,14456,13143
626,16,13856,36948,14307,12889
627,16,13742,37004,14525,12729
628,16,14521,34554,14220,14705
629,16,14276,36397,14249,13078
630,16,13276,39480,14435,10809
631,16,13151,39763,14309,10777
632,16,13266,39630,14528,10576
633,16,12885,40090,14252,10773
634,16,12933,39990,14362,10715
635,16,13273,38159,14438,12130
636,16,13283,37665,14519,12533
637,16,13212,37978,14341,12469
638,16,13283,38037,14407,12273
639,16,13639,36243,14554,13564
640,16,13603,36442,14395,13560
641,16,14574,34111,14245,15070
642,16,14705,31594,14526,17175
643,16,14416,31153,14506,17925
644,16,14831,32582,14043,16544
645,16,14566,32937,13988,16509
646,16,14543,34012,13985,15460
647,16,14347,34059,13887,15707
648,16,14697,34725,13816,14762
649,16,14307,35367,13571,14755
650,16,14558,34948,13618,14876
651,16,14237,36092,13595,14076
652,16,14471,38347,12897,12285
653,16,15133,36559,12687,13621
654,16,15117,36297,12723,13863
655,16,14891,33944,13315,15850
656,16,14973,33902,13303,15822
657,16,14700,33610,13438,16252
658,16,14589,33586,13568,16257
659,16,14879,32570,13495,17056
660,16,14592,34786,13473,15149
661,16,14508,34973,13749,14770
662,16,14491,34827,13714,14968
663,16,14399,33563,14258,15780
664,16,14478,34314,14059,15149
665,16,14364,33790,14240,15606
666,16,14168,34548,13967,15317
667,16,14465,34827,13890,14818
668,16,14767,32944,13478,16811
669,16,14833,33137,13382,16648
670,16,14958,33429,13509,16104
671,16,14589,33333,13654,16424
672,16,14793,32645,13753,16809
673,16,14602,31476,14038,17884
674,16,14314,31145,14208,18333
675,16,14477,30346,14264,18913
676,16,14280,31806,14464,17450
677,16,14423,31034,14269,18274
678,16,14458,30977,14336,18229
679,16,14570,30397,14738,18295
680,16,14519,30014,14514,18953
681,16,14156,31165,14626,18053
682,16,14490,29548,14189,19773
