round,seed,defect,exploit,exploit_,coop
1,80,19521,16902,12034,29543
2,80,20416,16997,12020,28567
3,80,18842,16538,12210,30410
4,80,18362,16980,11956,30702
5,80,19438,16381,12309,29872
6,80,21224,16815,12047,27914
7,80,21386,16765,12042,27807
8,80,21364,17024,12292,27320
9,80,21360,16925,12048,27667
10,80,22899,16772,12446,25883
11,80,25219,15885,13329,23567
12,80,24131,15762,13113,24994
13,80,23768,15891,13176,25165
14,80,23209,15859,13392,25540
15,80,23217,15801,13238,25744
16,80,23870,15906,13310,24914
17,80,23654,15906,13239,25201
18,80,23314,16018,13212,25456
19,80,21991,16146,12940,26923
20,80,21238,16164,13159,27439
21,80,20384,16458,12939,28219
22,80,20685,16499,12598,28218
23,80,19414,15722,12866,29998
24,80,18650,15878,12789,30683
25,80,17396,15604,12766,32234
26,80,17364,15820,12878,31938
27,80,19362,16132,12751,29755
28,80,18356,15999,13355,30290
29,80,18290,15852,13282,30576
30,80,18492,15688,13150,30670
31,80,18953,16005,12757,30285
32,80,19047,15945,12888,30120
33,80,19232,16048,12580,30140
34,80,19056,16035,12777,30132
35,80,17855,16236,12200,31709
36,80,18438,16483,11833,31246
37,80,18777,16625,11964,30634
38,80,18944,16883,12241,29932
39,80,21468,16602,12257,27673
40,80,20861,16481,12289,28369
41,80,21051,16248,12653,28048
42,80,21155,16304,12627,27914
43,80,22265,16594,12127,27014
44,80,22977,16321,12547,26155
45,80,21574,16731,12366,27329
46,80,24304,16267,12520,24909
47,80,25735,15666,12833,23766
48,80,25652,15883,12966,23499
49,80,25540,15790,12975,23695
50,80,24324,15550,13561,24565
51,80,24450,15496,13427,24627
52,80,26369,15898,12891,22842
53,80,24479,15709,13412,24400
54,80,23591,15454,13465,25490
55,80,23415,15429,13538,25618
56,80,22967,15290,13644,26099
57,80,22275,15104,13826,26795
58,80,24253,15243,13575,24929
59,80,24903,15365,13436,24296
60,80,25041,15491,13375,24093
61,80,23752,15756,13225,25267
62,80,23628,15664,13283,25425
63,80,22530,15259,13761,26450
64,80,23436,15132,13547,25885
65,80,22814,15746,13451,25989
66,80,21015,15363,13685,27937
67,80,19344,15673,12967,30016
