round,seed,exploit,coop,exploit_,defect
878,16,17674,18923,14384,27019
879,16,17641,19015,14476,26868
880,16,17886,19394,14418,26302
881,16,16967,20749,15294,24990
882,16,17839,19549,15136,25476
883,16,18030,17720,14461,27789
884,16,18920,19793,13448,25839
885,16,19821,19969,13668,24542
886,16,19126,18329,14209,26336
887,16,18837,18441,14309,26413
888,16,18777,18543,15057,25623
889,16,19138,19863,14405,24594
890,16,19110,20028,14414,24448
891,16,19047,19898,14400,24655
892,16,19219,19986,14442,24353
893,16,19076,19877,14486,24561
894,16,19760,18261,13590,26389
895,16,19979,19658,13034,25329
896,16,19744,19351,13063,25842
897,16,19193,18903,12875,27029
898,16,18375,20439,13163,26023
899,16,18471,20495,13267,25767
900,16,18526,20394,13326,25754
901,16,17438,20125,13463,26974
902,16,17723,19961,13520,26796
903,16,17224,21481,13778,25517
904,16,17360,21104,13470,26066
905,16,17249,21247,13337,26167
906,16,17292,19905,13841,26962
907,16,16841,18567,14139,28453
908,16,16191,17417,15121,29271
909,16,15402,15605,15358,31635
910,16,15214,16782,15619,30385
911,16,15159,18160,15691,28990
912,16,15636,19866,15566,26932
913,16,16601,21710,14480,25209
914,16,16719,21856,14542,24883
915,16,16573,20122,15139,26166
916,16,16955,18807,14827,27411
917,16,16959,19065,14535,27441
918,16,17157,18720,14769,27354
919,16,16894,18959,14761,27386
920,16,16929,18804,14758,27509
921,16,16865,19057,14807,27271
922,16,16818,18902,14826,27454
923,16,16891,18640,14942,27527
924,16,16846,18918,14856,27380
925,16,17638,19045,14624,26693
926,16,17767,18996,14595,26642
927,16,17679,19083,14596,26642
928,16,17689,19280,14477,26554
929,16,17472,19485,15323,25720
930,16,17532,19400,15265,25803
931,16,17345,19485,15262,25908
932,16,17153,20748,15119,24980
933,16,17184,20623,15055,25138
934,16,17263,20598,15036,25103
935,16,17206,20744,15013,25037
936,16,17313,18896,14726,27065
937,16,17200,17339,14386,29075
938,16,17756,19165,14062,27017
939,16,18038,18626,13494,27842
940,16,18339,18482,13492,27687
941,16,18123,18462,13075,28340
942,16,18332,16965,13145,29558
943,16,17113,16712,13298,30877
944,16,17175,16311,13647,30867
945,16,16599,17548,13551,30302
946,16,17398,19091,13120,28391
947,16,18277,17999,12350,29374
948,16,18423,17191,11643,30743
949,16,18214,19025,12345,28416
950,16,18143,19219,12200,28438
951,16,18693,18028,11937,29342
952,16,18873,18404,12793,27930
953,16,18906,18542,12779,27773
954,16,18509,19444,12921,27126
955,16,18536,19605,12629,27230
956,16,18327,20076,12731,26866
957,16,18697,18726,12621,27956
958,16,18875,17026,11971,30128
959,16,18827,17875,11986,29312
960,16,19549,16620,11421,30410
961,16,18885,15486,11889,31740
962,16,18749,15130,11808,32313
963,16,17898,14443,11856,33803
964,16,16786,13642,12259,35313
965,16,16239,14561,12628,34572
966,16,16255,13843,12488,35414
967,16,15914,14728,12880,34478
968,16,15973,14713,12770,34544
969,16,15615,15795,13039,33551
970,16,16607,16379,12860,32154
971,16,16420,17361,12847,31372
972,16,16279,18362,12796,30563
973,16,15386,16686,13404,32524
974,16,15517,15599,12992,33892
975,16,14440,15076,13438,35046
976,16,15202,15333,13662,33803
977,16,15788,17291,13333,31588
978,16,15895,18177,13542,30386
979,16,15751,18843,13718,29688
980,16,16215,18065,12836,30884
981,16,16083,18924,12919,30074
982,16,16092,19002,12905,30001
983,16,16444,17210,12093,32253
984,16,16438,16075,11775,33712
985,16,16187,17692,12122,31999
986,16,15785,17091,12321,32803
987,16,15547,17251,12215,32987
988,16,15854,16165,11721,34260
989,16,15367,14841,11934,35858
990,16,15269,14505,11484,36742
991,16,15445,15143,12125,35287
992,16,15412,17013,12662,32913
993,16,14754,16312,13132,33802
994,16,14977,16669,12989,33365
995,16,15230,17620,12633,32517
996,16,15047,18666,13333,30954
997,16,14152,17390,13696,32762
998,16,14679,16027,13039,34255
999,16,14905,15840,13251,34004
1000,16,14816,17816,13593,31775
