round,seed,defect,exploit_,exploit,coop
1,130,19346,12307,17135,29212
2,130,19338,12400,17029,29233
3,130,19478,12071,16760,29691
4,130,21529,12793,16449,27229
5,130,22572,12402,17192,25834
6,130,20777,12483,16779,27961
7,130,21096,12416,17033,27455
8,130,20999,12516,17256,27229
9,130,20519,12486,17148,27847
10,130,19638,12774,16865,28723
11,130,19548,12837,17029,28586
12,130,20054,12734,16804,28408
13,130,21344,12987,16775,26894
14,130,21335,13222,16811,26632
15,130,22905,13034,17066,24995
16,130,23919,12824,17685,23572
17,130,21758,12374,18190,25678
18,130,21006,11978,18735,26281
19,130,22122,11841,18603,25434
20,130,22961,12330,17897,24812
21,130,21294,11979,18095,26632
22,130,19883,11912,18537,27668
23,130,20082,11818,18442,27658
24,130,20478,11623,18601,27298
25,130,18856,11309,18645,29190
26,130,17691,11815,17921,30573
27,130,18821,11561,18193,29425
28,130,17493,11657,17780,31070
29,130,19216,11960,17792,29032
30,130,20440,11997,18261,27302
31,130,19573,11431,18369,28627
32,130,19782,11353,18247,28618
33,130,19044,11274,18826,28856
34,130,21113,11581,18498,26808
35,130,18934,12445,17798,28823
36,130,17802,12983,16710,30505
37,130,17845,12814,16573,30768
38,130,15869,12880,16286,32965
39,130,16174,12794,16011,33021
40,130,16330,12733,16356,32581
41,130,15522,12910,16340,33228
42,130,15439,12871,16304,33386
43,130,17333,13518,15968,31181
44,130,17922,13382,16016,30680
45,130,17743,13273,16040,30944
46,130,17828,13253,15913,31006
47,130,19669,12732,16951,28648
48,130,20412,12649,16943,27996
49,130,20299,12821,16961,27919
50,130,19361,12686,16691,29262
51,130,21245,13036,16412,27307
52,130,22176,12846,16366,26612
53,130,22323,12865,16376,26436
54,130,24253,11912,17177,24658
55,130,22777,12411,16780,26032
56,130,24136,12622,16567,24675
57,130,23818,12762,16537,24883
58,130,26161,11894,17424,22521
59,130,24655,11617,17658,24070
60,130,22850,11640,17743,25767
61,130,24204,10975,17957,24864
62,130,24928,11623,17724,23725
63,130,25399,11435,17657,23509
64,130,24196,11429,17473,24902
65,130,23442,11605,17849,25104
66,130,22349,11160,18462,26029
67,130,23084,10925,19269,24722
68,130,21688,11484,18531,26297
69,130,22998,11640,18512,24850
70,130,22101,11770,18568,25561
71,130,21085,11918,18674,26323
72,130,21992,12147,18260,25601
73,130,21792,12169,18227,25812
74,130,21047,12307,18357,26289
75,130,21661,12293,18041,26005
76,130,19643,13351,17121,27885
77,130,19749,13241,17079,27931
78,130,19827,13476,16904,27793
79,130,19813,13207,16897,28083
80,130,21568,13238,17310,25884
81,130,20590,12668,17438,27304
82,130,19912,13023,17225,27840
83,130,17758,13674,16549,30019
84,130,17444,13694,16588,30274
85,130,16388,13313,17190,31109
86,130,16136,13097,17378,31389
87,130,17691,13103,17769,29437
88,130,18727,13444,18239,27590
89,130,17506,13584,17663,29247
90,130,19485,13607,17896,27012
91,130,20111,14061,18093,25735
92,130,19921,14043,18082,25954
93,130,20194,14009,17959,25838
94,130,19761,14096,18085,26058
95,130,20916,14277,18472,24335
96,130,20647,14202,18631,24520
97,130,20719,14215,18534,24532
98,130,20823,14262,18504,24411
99,130,21183,13998,18619,24200
100,130,21127,14032,18572,24269
101,130,21172,14029,18525,24274
102,130,20210,14915,18230,24645
103,130,21714,16210,17143,22933
104,130,23443,16106,17115,21336
105,130,23595,16016,17146,21243
106,130,24635,15449,18067,19849
107,130,22944,16727,16715,21614
108,130,21052,17339,16243,23366
109,130,22224,18623,15383,21770
110,130,23909,17962,16206,19923
111,130,23942,17773,16214,20071
112,130,23211,18299,16208,20282
113,130,21292,18399,16169,22140
114,130,21386,18182,16158,22274
115,130,19777,17476,16992,23755
116,130,19745,17337,17120,23798
117,130,17985,16759,17595,25661
118,130,17917,16731,17670,25682
119,130,17930,16802,17546,25722
120,130,17977,16597,17571,25855
121,130,18059,16624,17577,25740
122,130,17918,16772,17549,25761
123,130,18080,16740,17492,25688
124,130,16230,16316,17728,27726
125,130,16415,16382,17589,27614
126,130,16448,16498,17523,27531
127,130,16506,16301,17354,27839
128,130,18039,16586,17685,25690
129,130,18047,16546,17583,25824
