round,seed,defect,exploit,exploit_,coop
199,711,19761,16536,12624,29079
200,711,21402,16712,12366,27520
201,711,22907,17292,12116,25685
202,711,22449,17600,11920,26031
203,711,22687,17471,12086,25756
204,711,20480,16479,12677,28364
205,711,20604,16414,12904,28078
206,711,19744,16500,12909,28847
207,711,19575,16874,12636,28915
208,711,18337,16842,12472,30349
209,711,16613,16710,12109,32568
210,711,18196,16286,12901,30617
211,711,19342,16910,12649,29099
212,711,19647,16680,12716,28957
213,711,21667,16641,13018,26674
214,711,20596,16576,13523,27305
215,711,18625,16245,13429,29701
216,711,17826,15680,13447,31047
217,711,17792,15731,13583,30894
218,711,16974,15081,13626,32319
219,711,18348,15989,13211,30452
220,711,19549,16206,13421,28824
221,711,18572,16009,13810,29609
222,711,20008,16832,13246,27914
223,711,21319,16532,14019,26130
224,711,21947,16640,14813,24600
225,711,22043,16472,14712,24773
226,711,22034,16491,14643,24832
227,711,22039,16348,14663,24950
228,711,23875,17503,13544,23078
229,711,23882,17563,13473,23082
230,711,23442,17770,13541,23247
231,711,23949,17293,13692,23066
232,711,22657,17496,13358,24489
233,711,21545,16675,13760,26020
234,711,20862,16489,14174,26475
235,711,18935,17313,13019,28733
236,711,17649,16637,13576,30138
237,711,19136,17733,12923,28208
238,711,20202,17413,13550,26835
239,711,21938,17585,13597,24880
240,711,21918,17572,13603,24907
241,711,21209,17477,13207,26107
242,711,19287,16830,13408,28475
243,711,18406,17088,12923,29583
244,711,18897,16600,13253,29250
245,711,20090,17032,13293,27585
246,711,21907,17331,13474,25288
247,711,22687,17212,13559,24542
248,711,23368,17116,14246,23270
249,711,25385,16145,15205,21265
250,711,25443,16173,15024,21360
251,711,27698,15065,15720,19517
252,711,28853,14601,16422,18124
253,711,28778,14663,16361,18198
254,711,28769,14623,16377,18231
255,711,31006,13639,16965,16390
256,711,32346,13059,17263,15332
257,711,32234,13102,17309,15355
258,711,31345,13004,18145,15506
259,711,30362,12678,18189,16771
260,711,30514,12712,18238,16536
261,711,32873,11910,18426,14791
262,711,34103,12118,17319,14460
263,711,33903,12032,17532,14533
264,711,33988,12079,17484,14449
265,711,31879,12260,17897,15964
266,711,30550,12524,17600,17326
267,711,29360,13052,17136,18452
268,711,30223,13151,16990,17636
269,711,29118,13125,17851,17906
270,711,29244,13012,17776,17968
271,711,30489,13600,17255,16656
272,711,32126,13090,17561,15223
273,711,32422,13696,17484,14398
274,711,32501,13623,17509,14367
275,711,34630,14493,16017,12860
276,711,34116,14435,15596,13853
277,711,31669,15712,15239,15380
278,711,32753,15692,14612,14943
279,711,31408,15200,15050,16342
280,711,29997,15769,14834,17400
281,711,28652,15870,15339,18139
282,711,29565,15198,15514,17723
283,711,27626,16012,14814,19548
284,711,28757,16118,14194,18931
285,711,26640,15724,14785,20851
286,711,27475,16175,14589,19761
287,711,29695,15911,14522,17872
288,711,30809,15654,14858,16679
289,711,30667,15603,15006,16724
290,711,30941,15512,15019,16528
291,711,31170,15636,14911,16283
292,711,29986,16105,14944,16965
293,711,30115,16224,14940,16721
294,711,28824,15683,15457,18036
295,711,31033,15970,14724,16273
296,711,30191,16580,14476,16753
297,711,31228,16349,14768,15655
298,711,31188,16170,14864,15778
299,711,32239,15410,15168,15183
300,711,33406,15391,14553,14650
301,711,32691,15545,14135,15629
302,711,32446,15581,14095,15878
303,711,30886,15063,14781,17270
304,711,33233,13690,15658,15419
305,711,35456,13093,15499,13952
306,711,35850,13346,15364,13440
307,711,36974,12983,14743,13300
308,711,34559,14420,14189,14832
309,711,34615,14418,14067,14900
310,711,35967,14584,13818,13631
311,711,33730,15271,13872,15127
312,711,35134,15592,13232,14042
313,711,34353,15701,13798,14148
314,711,34843,15448,13484,14225
315,711,34596,15492,13634,14278
316,711,33928,15480,13440,15152
317,711,33757,15540,13432,15271
318,711,33710,15326,13590,15374
319,711,34506,14961,13777,14756
320,711,33083,15333,14139,15445
321,711,35253,15186,13605,13956
322,711,35345,15254,13488,13913
323,711,37991,14172,13318,12519
324,711,37959,14164,13290,12587
325,711,38373,14362,12942,12323
326,711,37472,14380,13414,12734
327,711,38005,14424,12920,12651
328,711,38088,14230,12911,12771
329,711,35529,14837,13322,14312
330,711,35551,14855,13271,14323
331,711,35419,14967,13384,14230
332,711,36264,15070,13039,13627
333,711,35578,14829,13206,14387
334,711,34749,15567,13055,14629
335,711,37074,15238,12649,13039
336,711,34795,15403,13335,14467
337,711,34901,15235,13287,14577
338,711,34748,15340,13283,14629
339,711,35685,15537,12968,13810
340,711,34836,15569,13042,14553
341,711,32598,14674,14562,16166
342,711,30846,15024,14352,17778
343,711,29718,15216,13913,19153
344,711,30560,15312,14177,17951
345,711,29194,15477,14012,19317
346,711,29502,15292,13994,19212
347,711,28631,15423,13793,20153
348,711,30358,15351,13578,18713
349,711,30330,15509,13620,18541
350,711,30813,15922,13401,17864
351,711,30090,15917,13321,18672
