,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,34634034,12002,0.444,0.154
1,1024,defect,16177686,9441,0.208,0.121
2,1024,exploitation,27188280,3046,0.348,0.039
3000,128,coop,32192819,10665,0.413,0.137
3001,128,defect,17935523,9340,0.23,0.12
3002,128,exploitation,27871658,1733,0.357,0.022
6000,16,coop,24194676,8220,0.31,0.105
6001,16,defect,24820208,9333,0.318,0.12
6002,16,exploitation,28985116,2128,0.372,0.027
9000,256,coop,28102325,13301,0.36,0.171
9001,256,defect,21984541,12077,0.282,0.155
9002,256,exploitation,27913134,3105,0.358,0.04
12000,2,coop,25642854,7485,0.329,0.096
12001,2,defect,24050910,7709,0.308,0.099
12002,2,exploitation,28306236,767,0.363,0.01
15000,32,coop,19482509,8768,0.25,0.112
15001,32,defect,30179336,10007,0.387,0.128
15002,32,exploitation,28338155,1908,0.363,0.025
18000,4,coop,31115222,9754,0.399,0.125
18001,4,defect,17756069,8061,0.228,0.103
18002,4,exploitation,29128709,2216,0.374,0.029
21000,512,coop,17791369,6594,0.228,0.084
21001,512,defect,30617861,7430,0.393,0.095
21002,512,exploitation,29590770,2176,0.379,0.028
24000,64,coop,36105778,8056,0.463,0.103
24001,64,defect,14086501,7223,0.181,0.093
24002,64,exploitation,27807721,1601,0.356,0.021
27000,8,coop,27702593,9418,0.355,0.121
27001,8,defect,21977945,9710,0.282,0.125
27002,8,exploitation,28319462,1550,0.363,0.02
