round,seed,strategy,count,percentage
23,1,defect,70568,0.29
23,1,exploitation,99009,0.4
24,1,coop,70135,0.29
24,1,defect,75931,0.31
24,1,exploitation,98934,0.4
25,1,coop,73079,0.3
25,1,defect,72667,0.3
25,1,exploitation,99254,0.41
26,1,coop,71064,0.29
26,1,defect,75242,0.31
26,1,exploitation,98694,0.4
27,1,coop,71302,0.29
27,1,defect,74840,0.31
27,1,exploitation,98858,0.4
28,1,coop,72560,0.3
28,1,defect,72840,0.3
28,1,exploitation,99600,0.41
29,1,coop,69672,0.28
29,1,defect,75857,0.31
29,1,exploitation,99471,0.41
30,1,coop,73994,0.3
30,1,defect,72567,0.3
30,1,exploitation,98439,0.4
31,1,coop,71665,0.29
31,1,defect,74992,0.31
31,1,exploitation,98343,0.4
32,1,coop,73449,0.3
32,1,defect,73316,0.3
32,1,exploitation,98235,0.4
33,1,coop,75191,0.31
33,1,defect,71796,0.29
33,1,exploitation,98013,0.4
34,1,coop,74875,0.31
34,1,defect,73120,0.3
34,1,exploitation,97005,0.4
35,1,coop,70858,0.29
35,1,defect,76233,0.31
35,1,exploitation,97909,0.4
36,1,coop,70719,0.29
36,1,defect,76400,0.31
36,1,exploitation,97881,0.4
37,1,coop,66218,0.27
37,1,defect,81605,0.33
37,1,exploitation,97177,0.4
38,1,coop,69114,0.28
38,1,defect,78877,0.32
38,1,exploitation,97009,0.4
39,1,coop,70016,0.29
39,1,defect,78050,0.32
39,1,exploitation,96934,0.4
40,1,coop,74465,0.3
40,1,defect,72851,0.3
40,1,exploitation,97684,0.4
41,1,coop,72104,0.29
41,1,defect,74977,0.31
41,1,exploitation,97919,0.4
42,1,coop,70760,0.29
42,1,defect,75616,0.31
42,1,exploitation,98624,0.4
43,1,coop,75424,0.31
43,1,defect,70798,0.29
43,1,exploitation,98778,0.4
44,1,coop,76171,0.31
44,1,defect,70146,0.29
44,1,exploitation,98683,0.4
45,1,coop,75866,0.31
45,1,defect,70654,0.29
45,1,exploitation,98480,0.4
46,1,coop,81321,0.33
46,1,defect,65308,0.27
46,1,exploitation,98371,0.4
47,1,coop,78173,0.32
47,1,defect,67717,0.28
47,1,exploitation,99110,0.4
48,1,coop,83010,0.34
48,1,defect,63093,0.26
48,1,exploitation,98897,0.4
49,1,coop,83386,0.34
49,1,defect,63792,0.26
49,1,exploitation,97822,0.4
50,1,coop,88398,0.36
50,1,defect,58936,0.24
50,1,exploitation,97666,0.4
1,2,coop,88454,0.36
1,2,defect,58785,0.24
1,2,exploitation,97761,0.4
2,2,coop,88114,0.36
2,2,defect,58948,0.24
2,2,exploitation,97938,0.4
3,2,coop,83423,0.34
3,2,defect,63682,0.26
3,2,exploitation,97895,0.4
4,2,coop,83351,0.34
4,2,defect,63114,0.26
