,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,28878039,12991,0.37,0.167
1,1024,defect,20702758,11459,0.265,0.147
2,1024,exploitation,28419203,2936,0.364,0.038
3000,128,coop,33864147,8164,0.434,0.105
3001,128,defect,15790256,6582,0.202,0.084
3002,128,exploitation,28345597,2216,0.363,0.029
6000,16,coop,17669814,9442,0.227,0.121
6001,16,defect,31822176,10297,0.408,0.132
6002,16,exploitation,28508010,2120,0.366,0.027
9000,256,coop,18132698,8403,0.232,0.108
9001,256,defect,31342160,10002,0.402,0.128
9002,256,exploitation,28525142,2820,0.366,0.036
12000,2,coop,30683781,5127,0.393,0.066
12001,2,defect,18571832,4913,0.238,0.063
12002,2,exploitation,28744387,716,0.369,0.01
15000,32,coop,28518723,7148,0.366,0.092
15001,32,defect,20623732,6443,0.264,0.083
15002,32,exploitation,28857545,1323,0.37,0.017
18000,4,coop,16535408,9484,0.212,0.122
18001,4,defect,34107866,11334,0.437,0.145
18002,4,exploitation,27356726,2659,0.35,0.034
21000,512,coop,22838677,10203,0.293,0.131
21001,512,defect,26599218,11160,0.341,0.143
21002,512,exploitation,28562105,1622,0.366,0.021
24000,64,coop,28870551,12830,0.37,0.164
24001,64,defect,21602606,12929,0.277,0.166
24002,64,exploitation,27526843,1600,0.353,0.021
27000,8,coop,22036622,7668,0.283,0.098
27001,8,defect,26503719,9097,0.34,0.117
27002,8,exploitation,29459659,2213,0.378,0.029
