round,seed,defect,coop,exploit,exploit_
445,990,13026,37515,14484,12975
446,990,13175,37189,14579,13057
447,990,11345,39669,14004,12982
448,990,11993,39156,13614,13237
449,990,11610,39450,13653,13287
450,990,11750,39380,13566,13304
451,990,12076,39043,13635,13246
452,990,12886,38065,13698,13351
453,990,12022,39111,13725,13142
454,990,11705,39510,13533,13252
455,990,13744,36470,14035,13751
456,990,14024,36062,14036,13878
457,990,13413,37236,13665,13686
458,990,13419,37128,13724,13729
459,990,13740,36579,13834,13847
460,990,13072,37539,13933,13456
461,990,14253,35940,14723,13084
462,990,14722,34948,15216,13114
463,990,14330,35853,15203,12614
464,990,12406,38635,13912,13047
465,990,12004,38649,14305,13042
466,990,11660,39279,14304,12757
467,990,13100,36632,14351,13917
468,990,11650,39095,14379,12876
469,990,12330,38385,14157,13128
470,990,12385,38473,14246,12896
471,990,12445,38337,14166,13052
472,990,12960,37737,14060,13243
473,990,12292,38129,13925,13654
474,990,11594,39595,13728,13083
475,990,10099,41680,13384,12837
476,990,10062,41590,13380,12968
477,990,10655,40598,13885,12862
478,990,10574,40891,13727,12808
479,990,10394,41059,13577,12970
480,990,11642,39520,14203,12635
481,990,12343,38410,14301,12946
482,990,13727,36593,13817,13863
483,990,15307,33970,13804,14919
484,990,14546,34992,13525,14937
485,990,15539,33894,13972,14595
486,990,15632,34254,13726,14388
487,990,15608,33992,13882,14518
488,990,16141,33306,13732,14821
489,990,17766,31321,14786,14127
490,990,17447,31475,14709,14369
491,990,17297,31841,14866,13996
492,990,18406,30696,14467,14431
493,990,18238,30991,14565,14206
494,990,17086,32057,14181,14676
495,990,16381,33470,13352,14797
496,990,16233,33153,13475,15139
497,990,15127,34569,13758,14546
498,990,13314,37417,12995,14274
499,990,13280,37028,13185,14507
500,990,13254,37184,13054,14508
501,990,12750,37965,13132,14153
502,990,12614,37995,13111,14280
503,990,11775,39724,12715,13786
504,990,11268,39939,12891,13902
505,990,11361,40199,12735,13705
506,990,11339,40097,12848,13716
507,990,10878,40783,12906,13433
508,990,10636,41045,12900,13419
509,990,10266,41345,12702,13687
510,990,11797,39165,13440,13598
511,990,12066,38846,13418,13670
512,990,10690,40799,13143,13368
513,990,10969,40679,13098,13254
514,990,11585,39868,13087,13460
515,990,10906,40166,13378,13550
516,990,10570,41299,13093,13038
517,990,9963,42131,13081,12825
518,990,8331,44382,11624,13663
519,990,7688,45378,11221,13713
520,990,8234,44851,11518,13397
521,990,8552,44094,11932,13422
522,990,8726,43969,11829,13476
523,990,8505,44505,11776,13214
524,990,9184,43778,12025,13013
525,990,10006,41687,12300,14007
526,990,10829,41017,12167,13987
527,990,10538,41423,12079,13960
528,990,10622,41114,12207,14057
529,990,10615,41010,12235,14140
530,990,10500,41105,12304,14091
531,990,11287,40053,12735,13925
532,990,11953,39343,12689,14015
533,990,12653,38392,12840,14115
534,990,12373,38394,12864,14369
535,990,12626,38316,12755,14303
536,990,13177,37804,12691,14328
537,990,13678,36604,12897,14821
538,990,13218,37853,12501,14428
539,990,12457,38735,12234,14574
540,990,11918,39234,12487,14361
541,990,12004,39220,12414,14362
542,990,12767,38216,12864,14153
543,990,12783,38299,12648,14270
544,990,12452,38740,12447,14361
545,990,11701,39644,12358,14297
546,990,9909,42351,12409,13331
547,990,10211,42030,12390,13369
548,990,9985,42349,12304,13362
549,990,8396,44843,12719,12042
550,990,9070,44212,12765,11953
551,990,8943,43732,12987,12338
552,990,7918,45747,12205,12130
553,990,8093,45356,12266,12285
554,990,7270,46522,12083,12125
555,990,6701,47727,11906,11666
556,990,6285,48369,11827,11519
557,990,7374,46348,12631,11647
558,990,8089,45573,12489,11849
559,990,7618,46031,12496,11855
560,990,9032,43860,12261,12847
561,990,9497,43012,12325,13166
562,990,9384,42948,12389,13279
563,990,9508,43040,12296,13156
564,990,8676,44140,11891,13293
565,990,8909,43475,12073,13543
566,990,9016,43795,11897,13292
567,990,8795,44142,11783,13280
568,990,8853,43751,11943,13453
569,990,8790,44134,11826,13250
570,990,8773,44085,11847,13295
571,990,10361,41597,12724,13318
572,990,11190,40339,12954,13517
573,990,10552,41465,12774,13209
574,990,11194,39844,13741,13221
575,990,11108,39740,13800,13352
576,990,12222,37889,14191,13698
577,990,12007,38366,13983,13644
