round,seed,exploit,defect,coop,exploit_
1,6,50531,58991,87454,48024
2,6,50633,58282,88489,47596
3,6,49646,60605,86640,48109
4,6,50453,59119,87699,47729
5,6,50036,59357,88237,47370
6,6,51460,57086,90261,46193
7,6,48787,61951,85096,49166
8,6,48355,59667,88176,48802
9,6,48740,60475,87664,48121
10,6,48707,60937,87111,48245
11,6,48913,59933,88214,47940
12,6,47107,64956,82435,50502
13,6,47730,67112,81045,49113
14,6,47693,66061,82545,48701
15,6,47955,65106,83361,48578
16,6,47156,65146,84015,48683
17,6,47421,64768,84372,48439
18,6,46779,66312,83364,48545
19,6,46769,66358,83510,48363
20,6,47373,64907,84425,48295
21,6,48035,65363,83261,48341
22,6,49622,61870,86985,46523
23,6,49220,57879,91765,46136
24,6,49101,57904,91656,46339
25,6,48721,55059,94897,46323
26,6,48032,56742,93093,47133
27,6,48244,57767,92034,46955
28,6,48280,53990,95368,47362
29,6,47958,54660,95371,47011
30,6,47962,54975,94828,47235
31,6,47914,55158,94695,47233
32,6,48701,58421,90617,47261
33,6,48594,59073,90241,47092
34,6,48855,57870,91074,47201
35,6,48648,59561,88872,47919
36,6,48717,60890,87327,48066
37,6,47302,59261,89697,48740
38,6,46988,57892,90905,49215
39,6,46957,57842,91133,49068
40,6,47696,54163,95487,47654
41,6,47201,50631,99334,47834
42,6,47383,52227,97310,48080
43,6,47190,50692,98829,48289
44,6,46561,50038,100111,48290
45,6,46420,50039,99953,48588
46,6,46656,49670,100529,48145
47,6,46755,50240,99779,48226
48,6,46870,49849,100445,47836
49,6,47104,49882,99571,48443
50,6,45360,54957,94994,49689
