,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,17503382,7509,0.225,0.096
1,1024,defect,31840022,8690,0.408,0.111
2,1024,exploitation,28656596,1931,0.367,0.025
3000,128,coop,35227044,8954,0.452,0.115
3001,128,defect,14968389,7926,0.192,0.102
3002,128,exploitation,27804567,1572,0.357,0.02
6000,16,coop,36044592,7488,0.462,0.096
6001,16,defect,14233335,6129,0.182,0.079
6002,16,exploitation,27722073,1733,0.356,0.022
9000,256,coop,27730430,13511,0.355,0.173
9001,256,defect,22796507,13814,0.292,0.177
9002,256,exploitation,27473063,1672,0.352,0.022
12000,2,coop,28608936,6709,0.367,0.086
12001,2,defect,20135069,6341,0.258,0.081
12002,2,exploitation,29255995,1025,0.375,0.013
15000,32,coop,31328066,10020,0.402,0.129
15001,32,defect,18806556,9105,0.241,0.117
15002,32,exploitation,27865378,1754,0.357,0.023
18000,4,coop,21155950,8863,0.271,0.114
18001,4,defect,27573223,9683,0.353,0.124
18002,4,exploitation,29270827,2518,0.375,0.032
21000,512,coop,24270689,7933,0.311,0.102
21001,512,defect,25023738,7997,0.321,0.102
21002,512,exploitation,28705573,963,0.368,0.013
24000,64,coop,21377392,10104,0.274,0.13
24001,64,defect,28539209,11671,0.366,0.15
24002,64,exploitation,28083399,2105,0.36,0.027
27000,8,coop,45319891,9877,0.581,0.127
27001,8,defect,8523431,7224,0.109,0.093
27002,8,exploitation,24156678,3043,0.31,0.039
