round,seed,strategy,count,percentage
60,1024,coop,35601,0.46
60,1024,defect,13941,0.18
60,1024,exploitation,28458,0.36
61,1024,coop,35372,0.45
61,1024,defect,14251,0.18
61,1024,exploitation,28377,0.36
62,1024,coop,35225,0.45
62,1024,defect,14399,0.18
62,1024,exploitation,28376,0.36
63,1024,coop,37588,0.48
63,1024,defect,12585,0.16
63,1024,exploitation,27827,0.36
64,1024,coop,39855,0.51
64,1024,defect,11122,0.14
64,1024,exploitation,27023,0.35
65,1024,coop,38764,0.5
65,1024,defect,11999,0.15
65,1024,exploitation,27237,0.35
66,1024,coop,38846,0.5
66,1024,defect,11978,0.15
66,1024,exploitation,27176,0.35
67,1024,coop,36641,0.47
67,1024,defect,13697,0.18
67,1024,exploitation,27662,0.35
68,1024,coop,38048,0.49
68,1024,defect,12437,0.16
68,1024,exploitation,27515,0.35
69,1024,coop,35672,0.46
69,1024,defect,14272,0.18
69,1024,exploitation,28056,0.36
70,1024,coop,36130,0.46
70,1024,defect,13660,0.18
70,1024,exploitation,28210,0.36
71,1024,coop,36697,0.47
71,1024,defect,13445,0.17
71,1024,exploitation,27858,0.36
72,1024,coop,36847,0.47
72,1024,defect,13185,0.17
72,1024,exploitation,27968,0.36
73,1024,coop,36673,0.47
73,1024,defect,13327,0.17
73,1024,exploitation,28000,0.36
74,1024,coop,34464,0.44
74,1024,defect,14981,0.19
74,1024,exploitation,28555,0.37
75,1024,coop,35235,0.45
75,1024,defect,14390,0.18
75,1024,exploitation,28375,0.36
76,1024,coop,35512,0.46
76,1024,defect,14404,0.18
76,1024,exploitation,28084,0.36
77,1024,coop,35111,0.45
77,1024,defect,14303,0.18
77,1024,exploitation,28586,0.37
78,1024,coop,36232,0.46
78,1024,defect,13598,0.17
78,1024,exploitation,28170,0.36
79,1024,coop,36927,0.47
79,1024,defect,12841,0.16
79,1024,exploitation,28232,0.36
80,1024,coop,37286,0.48
80,1024,defect,12452,0.16
80,1024,exploitation,28262,0.36
81,1024,coop,38931,0.5
81,1024,defect,11310,0.14
81,1024,exploitation,27759,0.36
82,1024,coop,41078,0.53
82,1024,defect,9830,0.13
82,1024,exploitation,27092,0.35
83,1024,coop,40726,0.52
83,1024,defect,10342,0.13
83,1024,exploitation,26932,0.35
84,1024,coop,40144,0.51
84,1024,defect,10823,0.14
84,1024,exploitation,27033,0.35
85,1024,coop,40347,0.52
85,1024,defect,10757,0.14
85,1024,exploitation,26896,0.34
86,1024,coop,40953,0.53
86,1024,defect,10152,0.13
86,1024,exploitation,26895,0.34
87,1024,coop,40087,0.51
87,1024,defect,10907,0.14
87,1024,exploitation,27006,0.35
88,1024,coop,39747,0.51
88,1024,defect,11134,0.14
88,1024,exploitation,27119,0.35
89,1024,coop,37483,0.48
89,1024,defect,12910,0.17
89,1024,exploitation,27607,0.35
90,1024,coop,37655,0.48
90,1024,defect,12454,0.16
90,1024,exploitation,27891,0.36
91,1024,coop,39458,0.51
91,1024,defect,11310,0.14
91,1024,exploitation,27232,0.35
92,1024,coop,41972,0.54
92,1024,defect,9849,0.13
92,1024,exploitation,26179,0.34
93,1024,coop,41312,0.53
93,1024,defect,10083,0.13
93,1024,exploitation,26605,0.34
94,1024,coop,43929,0.56
94,1024,defect,8613,0.11
94,1024,exploitation,25458,0.33
95,1024,coop,43585,0.56
95,1024,defect,8692,0.11
95,1024,exploitation,25723,0.33
96,1024,coop,44111,0.57
96,1024,defect,8204,0.11
96,1024,exploitation,25685,0.33
97,1024,coop,42030,0.54
97,1024,defect,9621,0.12
97,1024,exploitation,26349,0.34
98,1024,coop,42251,0.54
98,1024,defect,9800,0.13
98,1024,exploitation,25949,0.33
99,1024,coop,42219,0.54
99,1024,defect,9564,0.12
99,1024,exploitation,26217,0.34
100,1024,coop,41715,0.53
100,1024,defect,9892,0.13
