round,seed,strategy,count,percentage
60,1024,coop,32147,0.41
60,1024,defect,15908,0.2
60,1024,exploitation,29945,0.38
61,1024,coop,32537,0.42
61,1024,defect,15774,0.2
61,1024,exploitation,29689,0.38
62,1024,coop,32406,0.42
62,1024,defect,15911,0.2
62,1024,exploitation,29683,0.38
63,1024,coop,34591,0.44
63,1024,defect,14031,0.18
63,1024,exploitation,29378,0.38
64,1024,coop,34743,0.45
64,1024,defect,14051,0.18
64,1024,exploitation,29206,0.37
65,1024,coop,34776,0.45
65,1024,defect,14029,0.18
65,1024,exploitation,29195,0.37
66,1024,coop,34805,0.45
66,1024,defect,14065,0.18
66,1024,exploitation,29130,0.37
67,1024,coop,32521,0.42
67,1024,defect,15817,0.2
67,1024,exploitation,29662,0.38
68,1024,coop,32164,0.41
68,1024,defect,15841,0.2
68,1024,exploitation,29995,0.38
69,1024,coop,30218,0.39
69,1024,defect,17670,0.23
69,1024,exploitation,30112,0.39
70,1024,coop,32724,0.42
70,1024,defect,15697,0.2
70,1024,exploitation,29579,0.38
71,1024,coop,30808,0.39
71,1024,defect,16690,0.21
71,1024,exploitation,30502,0.39
72,1024,coop,30914,0.4
72,1024,defect,16756,0.21
72,1024,exploitation,30330,0.39
73,1024,coop,32563,0.42
73,1024,defect,15812,0.2
73,1024,exploitation,29625,0.38
74,1024,coop,30218,0.39
74,1024,defect,17511,0.22
74,1024,exploitation,30271,0.39
75,1024,coop,30932,0.4
75,1024,defect,16645,0.21
75,1024,exploitation,30423,0.39
76,1024,coop,30958,0.4
76,1024,defect,16588,0.21
76,1024,exploitation,30454,0.39
77,1024,coop,32916,0.42
77,1024,defect,14971,0.19
77,1024,exploitation,30113,0.39
78,1024,coop,33009,0.42
78,1024,defect,15051,0.19
78,1024,exploitation,29940,0.38
79,1024,coop,31672,0.41
79,1024,defect,15620,0.2
79,1024,exploitation,30708,0.39
80,1024,coop,30245,0.39
80,1024,defect,16389,0.21
80,1024,exploitation,31366,0.4
81,1024,coop,30303,0.39
81,1024,defect,16310,0.21
81,1024,exploitation,31387,0.4
82,1024,coop,29690,0.38
82,1024,defect,16588,0.21
82,1024,exploitation,31722,0.41
83,1024,coop,29699,0.38
83,1024,defect,17115,0.22
83,1024,exploitation,31186,0.4
84,1024,coop,27505,0.35
84,1024,defect,18834,0.24
84,1024,exploitation,31661,0.41
85,1024,coop,27579,0.35
85,1024,defect,18775,0.24
85,1024,exploitation,31646,0.41
86,1024,coop,28299,0.36
86,1024,defect,17885,0.23
86,1024,exploitation,31816,0.41
87,1024,coop,27299,0.35
87,1024,defect,19371,0.25
87,1024,exploitation,31330,0.4
88,1024,coop,26740,0.34
88,1024,defect,20143,0.26
88,1024,exploitation,31117,0.4
89,1024,coop,24999,0.32
89,1024,defect,22110,0.28
89,1024,exploitation,30891,0.4
90,1024,coop,24933,0.32
90,1024,defect,22027,0.28
90,1024,exploitation,31040,0.4
91,1024,coop,24763,0.32
91,1024,defect,22092,0.28
91,1024,exploitation,31145,0.4
92,1024,coop,24938,0.32
92,1024,defect,22010,0.28
92,1024,exploitation,31052,0.4
93,1024,coop,24222,0.31
93,1024,defect,22763,0.29
93,1024,exploitation,31015,0.4
94,1024,coop,26366,0.34
94,1024,defect,20921,0.27
94,1024,exploitation,30713,0.39
95,1024,coop,24415,0.31
95,1024,defect,22715,0.29
95,1024,exploitation,30870,0.4
96,1024,coop,23093,0.3
96,1024,defect,23378,0.3
96,1024,exploitation,31529,0.4
97,1024,coop,24604,0.32
97,1024,defect,22232,0.29
97,1024,exploitation,31164,0.4
98,1024,coop,26894,0.34
98,1024,defect,20321,0.26
98,1024,exploitation,30785,0.39
99,1024,coop,26723,0.34
99,1024,defect,20214,0.26
99,1024,exploitation,31063,0.4
100,1024,coop,26338,0.34
100,1024,defect,21166,0.27
100,1024,exploitation,30496,0.39
101,1024,coop,27797,0.36
101,1024,defect,19588,0.25
101,1024,exploitation,30615,0.39
102,1024,coop,26299,0.34
102,1024,defect,20970,0.27
102,1024,exploitation,30731,0.39
103,1024,coop,26534,0.34
103,1024,defect,21017,0.27
103,1024,exploitation,30449,0.39
104,1024,coop,26441,0.34
104,1024,defect,21079,0.27
104,1024,exploitation,30480,0.39
105,1024,coop,26913,0.35
105,1024,defect,20396,0.26
105,1024,exploitation,30691,0.39
106,1024,coop,27065,0.35
106,1024,defect,19991,0.26
106,1024,exploitation,30944,0.4
107,1024,coop,26717,0.34
107,1024,defect,20486,0.26
107,1024,exploitation,30797,0.39
108,1024,coop,28746,0.37
108,1024,defect,18625,0.24
108,1024,exploitation,30629,0.39
109,1024,coop,27943,0.36
109,1024,defect,19539,0.25
109,1024,exploitation,30518,0.39
110,1024,coop,28435,0.36
110,1024,defect,19335,0.25
110,1024,exploitation,30230,0.39
111,1024,coop,28235,0.36
111,1024,defect,19288,0.25
111,1024,exploitation,30477,0.39
112,1024,coop,28419,0.36
112,1024,defect,19242,0.25
112,1024,exploitation,30339,0.39
113,1024,coop,28405,0.36
