round,seed,exploit,defect,exploit_,coop
1,123,16748,19552,12142,29558
2,123,16815,19438,12085,29662
3,123,16946,20071,12241,28742
4,123,17718,22103,11519,26660
5,123,17576,23345,11721,25358
6,123,17571,23674,11840,24915
7,123,16811,21586,12457,27146
8,123,16824,21419,12563,27194
9,123,16910,23480,12406,25204
10,123,16503,24113,12459,24925
11,123,15942,22433,13442,26183
12,123,16064,23889,12969,25078
13,123,15897,24756,13638,23709
14,123,16034,23489,13238,25239
15,123,15920,23490,13167,25423
16,123,15904,22026,13783,26287
17,123,16006,23733,13522,24739
18,123,16815,24653,13304,23228
19,123,15967,23220,13735,25078
20,123,15990,23399,13871,24740
21,123,15702,22013,13704,26581
22,123,15867,21501,13898,26734
23,123,16453,22727,13500,25320
24,123,16410,23610,13170,24810
25,123,16252,22961,13537,25250
26,123,16418,22860,13738,24984
27,123,16190,24278,14009,23523
28,123,16247,22775,13807,25171
29,123,16053,21602,13676,26669
30,123,16097,21641,13766,26496
31,123,15040,24104,14429,24427
32,123,15088,24088,14462,24362
33,123,15172,23961,14541,24326
34,123,15205,25028,14253,23514
35,123,15218,25795,13778,23209
36,123,15490,24287,13781,24442
37,123,15261,24512,13695,24532
38,123,15098,26017,13701,23184
39,123,15112,26142,13826,22920
40,123,15136,26141,13597,23126
41,123,15975,24074,13165,24786
42,123,16412,23385,13009,25194
43,123,16094,23907,12908,25091
44,123,16291,24969,12965,23775
45,123,16346,25054,13077,23523
46,123,15896,23518,13108,25478
47,123,15705,23773,13505,25017
48,123,15405,22614,13554,26427
49,123,15722,22034,13300,26944
50,123,16282,23296,13346,25076
51,123,16000,23443,13151,25406
52,123,15880,23823,13171,25126
53,123,14897,26157,13913,23033
54,123,15525,27762,13299,21414
55,123,15742,29116,13696,19446
56,123,14662,31515,13815,18008
57,123,15312,29999,13443,19246
58,123,15253,30796,12989,18962
59,123,15389,31346,12398,18867
60,123,15859,30262,12367,19512
61,123,15767,29685,12382,20166
62,123,15918,28135,12588,21359
63,123,15925,28162,12473,21440
64,123,15936,28014,12502,21548
65,123,16134,27598,12447,21821
66,123,16128,27400,12476,21996
67,123,16357,27190,12298,22155
68,123,16004,25943,12642,23411
69,123,16070,26088,12489,23353
70,123,16197,25366,12614,23823
71,123,16497,27040,12291,22172
72,123,16680,28224,11816,21280
73,123,16556,28625,12104,20715
74,123,16121,27168,12480,22231
75,123,16539,28617,11885,20959
76,123,16552,29136,11961,20351
77,123,16313,27509,12363,21815
78,123,16508,29156,11933,20403
79,123,16278,28450,12217,21055
80,123,16350,28774,12273,20603
81,123,16682,27982,12328,21008
82,123,16318,27427,12493,21762
83,123,15879,28801,13071,20249
84,123,16033,30795,12443,18729
85,123,16398,30058,12557,18987
86,123,16343,29787,12472,19398
87,123,16617,29417,12479,19487
88,123,16047,28176,13037,20740
89,123,16082,28349,12961,20608
90,123,15922,29596,13065,19417
91,123,15869,28094,13223,20814
92,123,16041,27965,13058,20936
93,123,16035,27883,13284,20798
94,123,15881,28200,13196,20723
95,123,15677,27755,13429,21139
96,123,15824,27958,13527,20691
97,123,15958,27626,13346,21070
98,123,16317,28589,13296,19798
99,123,16342,28725,13247,19686
100,123,15996,27332,13479,21193
101,123,15397,25914,13601,23088
102,123,15707,25539,13883,22871
103,123,15596,25833,13701,22870
104,123,15695,25391,13763,23151
105,123,15659,25386,13794,23161
106,123,16400,23174,13011,25415
107,123,16791,24585,13167,23457
108,123,16997,24631,12954,23418
109,123,16959,23194,12665,25182
110,123,15889,22099,13263,26749
111,123,16048,21938,13160,26854
112,123,16665,21210,13005,27120
113,123,16550,21217,13191,27042
114,123,16148,20812,13552,27488
115,123,15788,19222,13359,29631
116,123,15425,21218,14032,27325
117,123,15082,19925,14128,28865
118,123,15221,19417,14158,29204
119,123,15131,19359,14089,29421
120,123,15508,17846,13738,30908
121,123,16203,19377,13259,29161
122,123,16110,18947,13255,29688
123,123,15971,19182,13163,29684
124,123,17079,20309,12693,27919
125,123,16757,18896,12741,29606
126,123,16657,17624,12460,31259
127,123,16500,17670,12444,31386
128,123,16835,16147,11884,33134
129,123,16800,16181,11864,33155
130,123,16832,18140,12321,30707
131,123,16811,18229,12188,30772
132,123,16731,18222,12221,30826
133,123,16934,17649,12067,31350
134,123,16480,16326,12215,32979
135,123,15897,14763,12419,34921
136,123,15875,14230,12495,35400
137,123,15954,14854,12129,35063
138,123,16181,15143,12319,34357
139,123,16068,13745,11471,36716
140,123,16097,13776,11475,36652
141,123,16263,14011,11535,36191
142,123,16368,14174,11650,35808
143,123,16370,13814,11750,36066
144,123,16208,13949,11545,36298
145,123,16054,14148,11573,36225
146,123,16252,13914,11675,36159
147,123,16153,13835,11581,36431
148,123,15374,12736,11719,38171
149,123,15554,14239,12444,35763
150,123,15662,15794,12491,34053
151,123,14916,14348,12659,36077
152,123,15053,13984,12942,36021
153,123,15511,15260,12547,34682
154,123,15432,13596,12410,36562
155,123,15516,13838,12375,36271
156,123,15057,15114,12973,34856
157,123,15220,15319,12903,34558
158,123,15072,15309,12841,34778
159,123,15402,16640,12989,32969
160,123,15565,17392,12790,32253
161,123,15736,17208,12686,32370
162,123,15723,17048,12977,32252
163,123,16618,18440,12403,30539
164,123,16968,19959,12098,28975
165,123,17129,21253,12050,27568
166,123,17519,21745,11963,26773
167,123,17427,21570,12012,26991
168,123,16348,19634,13060,28958
169,123,15277,17742,13660,31321
170,123,15600,18986,13813,29601
171,123,16283,20106,13676,27935
172,123,16352,20796,13362,27490
173,123,16055,19157,13275,29513
174,123,16372,20724,13440,27464
175,123,16038,19496,13440,29026
176,123,15705,19791,13716,28788
177,123,15889,19040,13478,29593
178,123,15872,18981,13587,29560
179,123,16205,18822,13509,29464
180,123,16061,18939,13464,29536
181,123,15965,19177,13491,29367
182,123,15999,19122,13423,29456
183,123,16021,19309,13648,29022
184,123,15589,17897,13454,31060
185,123,15534,17954,13409,31103
186,123,15596,17757,13474,31173
187,123,15897,18315,13155,30633
188,123,15774,18413,13209,30604
189,123,15779,18308,13208,30705
190,123,16547,19849,12767,28837
191,123,16432,19841,12817,28910
192,123,16400,20410,12745,28445
193,123,16464,20282,12818,28436
194,123,16333,20401,12838,28428
195,123,16112,20306,12644,28938
196,123,16108,19746,13174,28972
197,123,16247,18522,12578,30653
198,123,16063,16253,12655,33029
199,123,15437,14967,12617,34979
200,123,15432,15209,12764,34595
201,123,15204,14826,13093,34877
202,123,15362,14865,13183,34590
203,123,14373,16741,14055,32831
204,123,14831,18309,14033,30827
205,123,14800,18183,14077,30940
206,123,14955,19644,14561,28840
207,123,14266,18126,14560,31048
208,123,14370,18074,14573,30983
209,123,15484,20228,13763,28525
210,123,15706,18219,13247,30828
211,123,16807,19603,12790,28800
212,123,16615,17721,12240,31424
213,123,16552,17194,12658,31596
214,123,16514,17495,12667,31324
215,123,16324,17116,12842,31718
216,123,15705,15964,12879,33452
217,123,16084,17357,12946,31613
218,123,16108,17329,13043,31520
219,123,16319,16755,13005,31921
220,123,16442,17180,12761,31617
221,123,16662,17739,12647,30952
222,123,16716,19666,12454,29164
223,123,15981,18049,13173,30797
224,123,15561,19749,13772,28918
225,123,15559,20986,13911,27544
226,123,15355,18882,14444,29319
227,123,15112,19104,14346,29438
228,123,15797,20413,14107,27683
229,123,16637,21739,13562,26062
230,123,16267,23098,14078,24557
231,123,15314,21100,15295,26291
232,123,15436,21030,15208,26326
233,123,15321,21262,15179,26238
234,123,15338,21217,15189,26256
235,123,14562,19837,15602,27999
236,123,14652,19753,15443,28152
237,123,14724,19688,15407,28181
238,123,14810,19757,15394,28039
239,123,14562,20112,15372,27954
240,123,14566,19662,15512,28260
241,123,14520,19991,15492,27997
242,123,15608,21657,14500,26235
243,123,15561,21686,14575,26178
244,123,15921,20474,13762,27843
245,123,16026,20451,14026,27497
246,123,15895,20028,13918,28159
247,123,16213,19425,13847,28515
248,123,16532,18384,13272,29812
249,123,16928,17608,12988,30476
250,123,16386,18266,13178,30170
251,123,16478,18147,13149,30226
252,123,16392,18215,13050,30343
253,123,16410,16914,12842,31834
254,123,15949,15603,12595,33853
255,123,15936,15652,12698,33714
256,123,16270,15172,12572,33986
257,123,15252,13775,13159,35814
258,123,15080,13733,13024,36163
259,123,15118,14241,13265,35376
260,123,15345,14529,12988,35138
261,123,14414,13182,13378,37026
262,123,14384,13074,13222,37320
263,123,14241,13077,13322,37360
264,123,14097,12852,13574,37477
265,123,14036,12719,13518,37727
266,123,13966,12779,13473,37782
267,123,14180,12466,13603,37751
