round,seed,defect,exploit_,exploit,coop
199,130,12403,17663,12201,35733
200,130,13235,18102,12480,34183
201,130,13391,17972,12261,34376
202,130,13515,17997,12155,34333
203,130,12564,17708,12685,35043
204,130,12460,17984,12894,34662
205,130,13295,18794,12919,32992
206,130,13505,18720,12705,33070
207,130,15021,18423,13838,30718
208,130,15666,17914,14015,30405
209,130,16047,17801,13946,30206
210,130,16426,18795,14026,28753
211,130,17039,19131,13371,28459
212,130,15445,18085,13905,30565
213,130,13953,18543,12945,32559
214,130,13800,18660,12925,32615
215,130,15676,18059,14023,30242
216,130,15523,18062,14046,30369
217,130,15720,17830,14149,30301
218,130,14259,16709,14577,32455
219,130,13656,15590,14498,34256
220,130,12957,16120,14462,34461
221,130,14283,16899,14249,32569
222,130,15225,18282,13870,30623
223,130,16296,18594,13151,29959
224,130,16969,18434,13234,29363
225,130,17230,18307,13206,29257
226,130,17247,18233,13138,29382
227,130,16954,18391,13131,29524
228,130,15580,17286,13522,31612
229,130,14759,17141,13984,32116
230,130,14622,17176,14113,32089
231,130,13777,17161,14169,32893
232,130,12922,17926,13897,33255
233,130,12830,18051,13843,33276
234,130,13877,17901,13673,32549
235,130,13949,17779,13622,32650
236,130,14765,17020,14018,32197
237,130,14595,17070,14015,32320
238,130,16202,17039,14858,29901
239,130,17746,16877,15133,28244
240,130,16964,17206,15273,28557
241,130,18476,18270,14638,26616
242,130,17912,18800,14522,26766
243,130,16567,19277,13364,28792
244,130,16484,19264,13307,28945
245,130,16311,19381,13514,28794
246,130,17297,19494,13017,28192
247,130,15902,19649,12157,30292
248,130,14289,18752,12439,32520
249,130,15216,18281,12655,31848
250,130,14517,18136,12971,32376
251,130,13883,17960,13351,32806
252,130,13799,18195,13498,32508
253,130,13917,18110,13381,32592
254,130,13642,18191,13350,32817
255,130,13792,18130,13356,32722
256,130,13882,18088,13431,32599
257,130,13781,18194,13265,32760
258,130,12479,16983,13832,34706
259,130,12925,17115,13402,34558
260,130,12801,17274,13609,34316
261,130,14290,16282,15109,32319
262,130,14461,16212,14938,32389
263,130,15795,17394,14357,30454
264,130,15011,16430,14789,31770
265,130,15232,16245,14710,31813
266,130,15920,16244,14606,31230
267,130,16239,16107,14537,31117
268,130,16132,16076,14539,31253
269,130,16184,16040,14460,31316
270,130,16128,16163,14477,31232
271,130,16082,16219,14604,31095
272,130,16025,16095,14691,31189
273,130,16186,16165,14536,31113
274,130,15679,16169,14680,31472
275,130,15081,15101,14922,32896
276,130,16526,16293,14322,30859
277,130,16245,16344,14306,31105
278,130,16466,16171,14279,31084
279,130,16436,16220,14297,31047
280,130,18045,15976,15127,28852
281,130,16423,14849,15722,31006
282,130,15590,14498,16345,31567
283,130,15290,14641,16328,31741
284,130,15534,14463,16283,31720
285,130,15379,14537,16454,31630
286,130,16976,13889,17490,29645
287,130,16951,13879,17569,29601
288,130,17687,14974,17246,28093
289,130,17890,14701,17172,28237
290,130,18816,14295,17554,27335
291,130,19216,14179,17156,27449
292,130,20227,14399,17838,25536
293,130,21845,13482,18672,24001
294,130,23738,14101,18119,22042
295,130,23052,13775,18811,22362
296,130,21046,14056,18639,24259
297,130,21635,13644,19501,23220
298,130,21939,13429,19457,23175
299,130,21714,13679,19691,22916
300,130,21711,13512,19546,23231
301,130,21802,13525,19542,23131
302,130,23153,13023,19330,22494
303,130,23438,13061,20415,21086
304,130,21884,13725,19424,22967
305,130,21752,13731,19661,22856
306,130,21831,13551,19528,23090
307,130,23657,12423,20661,21259
308,130,23796,12274,20667,21263
309,130,25755,12607,20192,19446
310,130,25587,12729,20271,19413
311,130,25939,12558,20224,19279
312,130,25058,13189,19044,20709
313,130,24830,13395,19038,20737
314,130,26627,14366,17896,19111
315,130,28758,13810,18106,17326
316,130,27878,14075,18307,17740
317,130,30095,13098,18835,15972
318,130,29717,13161,19026,16096
319,130,27954,12659,19811,17576
320,130,28055,12585,19699,17661
321,130,28471,13415,19649,16465
322,130,30789,12887,19427,14897
323,130,30662,12852,19543,14943
324,130,29206,12932,20234,15628
325,130,29739,13162,20814,14285
326,130,29536,13123,20848,14493
327,130,27456,13923,20585,16036
328,130,26715,13566,20501,17218
329,130,27753,13043,21389,15815
330,130,25687,13583,21363,17367
331,130,26096,13249,22218,16437
332,130,26327,13105,22148,16420
333,130,28202,13651,21188,14959
334,130,28613,14132,21384,13871
335,130,28644,14079,21418,13859
336,130,28855,14048,21250,13847
337,130,27686,13910,21492,14912
338,130,28121,13879,22000,14000
339,130,28161,13934,21924,13981
340,130,27932,13901,22086,14081
341,130,28038,13938,22097,13927
342,130,30146,14572,20763,12519
343,130,29022,15189,19917,13872
344,130,30159,15414,19788,12639
345,130,30014,15507,19880,12599
346,130,30002,15575,19844,12579
347,130,29160,16217,18847,13776
348,130,31122,15670,18799,12409
349,130,30074,16233,18152,13541
350,130,30055,16216,18187,13542
351,130,32159,16605,17023,12213
352,130,34295,17138,15758,10809
353,130,34305,16869,15835,10991
354,130,33199,16487,16325,11989
355,130,31272,16170,17374,13184
356,130,31109,16268,17408,13215
357,130,33075,16686,16179,12060
358,130,34153,16906,16077,10864
359,130,34243,16765,15958,11034
