round,seed,exploit,defect,coop,exploit_
1,10,50191,58903,88167,47739
2,10,50324,58807,88271,47598
3,10,49890,54247,93240,47623
4,10,49330,57361,89749,48560
5,10,48424,55254,92613,48709
6,10,48962,53356,94262,48420
7,10,47441,48819,99830,48910
8,10,47818,47130,102242,47810
9,10,47092,49220,100437,48251
10,10,47603,50653,97646,49098
11,10,47599,50943,97638,48820
12,10,47750,51360,97292,48598
13,10,48402,51355,95935,49308
14,10,49072,48548,99306,48074
15,10,49044,48974,99262,47720
16,10,49235,49130,98784,47851
17,10,48990,48934,99202,47874
18,10,48640,46846,101316,48198
19,10,48359,48604,99151,48886
20,10,45640,44633,104056,50671
21,10,44895,39819,109746,50540
22,10,44664,39730,110362,50244
23,10,46793,42348,106191,49668
24,10,44926,39865,109806,50403
25,10,44926,39688,110112,50274
26,10,45141,41076,108293,50490
27,10,45593,39927,109524,49956
28,10,45590,40158,109689,49563
29,10,45317,40900,108992,49791
30,10,45468,39917,109833,49782
31,10,45482,40749,108498,50271
32,10,46639,41933,106303,50125
33,10,47885,44712,103002,49401
34,10,47908,44637,102693,49762
35,10,47531,44473,103810,49186
36,10,47602,46413,100708,50277
37,10,47184,45834,102149,49833
38,10,47094,45974,102409,49523
39,10,47456,46706,101273,49565
40,10,48705,42659,106528,47108
41,10,49158,42795,105985,47062
42,10,49304,42432,105854,47410
43,10,48569,41641,107504,47286
44,10,47710,42275,107941,47074
45,10,48150,42876,105842,48132
46,10,48043,43618,104780,48559
47,10,47975,44010,103898,49117
48,10,47337,43061,104658,49944
49,10,47534,43041,104204,50221
50,10,47569,42450,105219,49762
