,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,25991805,6832,0.333,0.088
1,1024,defect,22611456,6656,0.29,0.085
2,1024,exploitation,29396739,1005,0.377,0.013
3000,128,coop,31746254,6911,0.407,0.089
3001,128,defect,17195719,6657,0.221,0.085
3002,128,exploitation,29058027,1742,0.372,0.022
6000,16,coop,31062685,9068,0.398,0.116
6001,16,defect,17389376,7537,0.223,0.097
6002,16,exploitation,29547939,2428,0.379,0.031
9000,256,coop,22266149,8860,0.285,0.114
9001,256,defect,26747763,9457,0.343,0.122
9002,256,exploitation,28986088,1760,0.372,0.023
12000,2,coop,32986351,5836,0.423,0.075
12001,2,defect,16543799,5313,0.212,0.068
12002,2,exploitation,28469850,1008,0.365,0.013
15000,32,coop,21381354,6494,0.274,0.083
15001,32,defect,28468805,7192,0.365,0.092
15002,32,exploitation,28149841,941,0.361,0.012
18000,4,coop,11231381,10252,0.144,0.131
18001,4,defect,41814848,13518,0.536,0.173
18002,4,exploitation,24953771,3967,0.32,0.051
21000,512,coop,31854584,9333,0.408,0.12
21001,512,defect,17644240,8124,0.226,0.104
21002,512,exploitation,28501176,1848,0.365,0.024
24000,64,coop,27898573,9235,0.358,0.118
24001,64,defect,21569355,9475,0.277,0.121
24002,64,exploitation,28532072,1247,0.366,0.016
27000,8,coop,24818607,5018,0.318,0.064
27001,8,defect,23403535,5715,0.3,0.073
27002,8,exploitation,29777858,1409,0.382,0.018
