round,seed,defect,coop,exploit,exploit_
1,780,19588,29715,16700,11997
2,780,20394,28115,17730,11761
3,780,21945,26198,17294,12563
4,780,21920,26412,17334,12334
5,780,21172,26954,17556,12318
6,780,22351,25325,17709,12615
7,780,22280,25105,17822,12793
8,780,21095,26727,17680,12498
9,780,21951,26308,17169,12572
10,780,23832,24379,18066,11723
11,780,25997,22394,17997,11612
12,780,27210,21147,18254,11389
13,780,26434,21607,18397,11562
14,780,25178,22169,18618,12035
15,780,25958,21194,19103,11745
16,780,26752,19877,18984,12387
17,780,28674,18253,17818,13255
18,780,30130,16784,17029,14057
19,780,31414,15650,17196,13740
20,780,31255,15692,17049,14004
21,780,31416,15646,17079,13859
22,780,31114,15681,17119,14086
23,780,30092,16814,17772,13322
24,780,30926,16556,16978,13540
25,780,33142,14938,16017,13903
26,780,33803,13852,15970,14375
27,780,36101,12436,15529,13934
28,780,36197,12576,15380,13847
29,780,36892,11701,15402,14005
30,780,36860,11670,15362,14108
31,780,35646,12706,15439,14209
32,780,36832,11658,14828,14682
33,780,37141,11577,14607,14675
34,780,36990,11585,14488,14937
35,780,36855,11652,14745,14748
36,780,35486,12600,14292,15622
37,780,35506,12765,14112,15617
38,780,35829,12626,14085,15460
39,780,35730,12783,14080,15407
40,780,38046,11375,13989,14590
41,780,39444,10378,14225,13953
42,780,41521,8961,14149,13369
43,780,39875,9587,13804,14734
44,780,39629,9566,13845,14960
45,780,42145,8351,12770,14734
46,780,42096,8340,12713,14851
47,780,40922,9244,13587,14247
48,780,40439,9981,13163,14417
49,780,42548,8910,11779,14763
50,780,41468,9475,12444,14613
51,780,41163,9671,12442,14724
52,780,42062,9377,12419,14142
53,780,41797,9481,12501,14221
54,780,42421,9322,12319,13938
55,780,43941,8323,11758,13978
56,780,46907,6949,11555,12589
57,780,46316,7109,11812,12763
58,780,47756,6235,10958,13051
59,780,47901,6334,10767,12998
60,780,47006,6773,10894,13327
61,780,47690,6233,10949,13128
62,780,49324,5648,10425,12603
63,780,49099,5463,10685,12753
64,780,49003,5364,10734,12899
65,780,47812,6121,11131,12936
66,780,46639,6830,11591,12940
67,780,46929,6977,11317,12777
68,780,45549,7585,11408,13458
69,780,45482,7767,11399,13352
70,780,44811,8359,11630,13200
71,780,44393,8391,12108,13108
72,780,44012,8636,12208,13144
73,780,44996,7960,11822,13222
74,780,44231,8641,11946,13182
75,780,44687,8314,11609,13390
76,780,43675,9335,11603,13387
77,780,43278,9253,11801,13668
78,780,43120,9189,11963,13728
79,780,44717,8367,11025,13891
80,780,43298,9337,11385,13980
81,780,40973,10521,13049,13457
82,780,39447,11783,13081,13689
83,780,39500,11544,13174,13782
84,780,38644,12499,13099,13758
85,780,39932,11456,12744,13868
86,780,42357,10073,11212,14358
87,780,42519,9898,11242,14341
88,780,41391,10667,11360,14582
89,780,41450,10731,11225,14594
90,780,42462,10099,11341,14098
91,780,40969,11158,11841,14032
92,780,41526,10689,11755,14030
93,780,41558,10736,11693,14013
94,780,39887,11829,11516,14768
95,780,39978,11667,11613,14742
96,780,40162,11836,11570,14432
97,780,41439,10632,11257,14672
98,780,43073,9758,10803,14366
99,780,43657,9337,10809,14197
100,780,44622,8486,10457,14435
101,780,44474,8747,10438,14341
102,780,44101,8840,10520,14539
103,780,43104,9645,10308,14943
104,780,40519,11113,10819,15549
105,780,40810,10932,10784,15474
106,780,41731,10242,10413,15614
107,780,40992,10754,10440,15814
108,780,43218,9232,10219,15331
109,780,43083,9201,10353,15363
110,780,43408,9158,10136,15298
111,780,44836,8130,9905,15129
112,780,44681,8389,9825,15105
113,780,46063,7518,9204,15215
114,780,46190,7467,9184,15159
115,780,47716,6553,8988,14743
116,780,46191,7373,9458,14978
117,780,47616,6499,9646,14239
118,780,46182,7408,10382,14028
119,780,47180,6752,10604,13464
120,780,47132,6872,10527,13469
121,780,45702,7643,10710,13945
122,780,45409,7720,10879,13992
123,780,43932,8486,11599,13983
124,780,44062,8563,11518,13857
125,780,44762,8289,11300,13649
126,780,44140,8760,11568,13532
127,780,45685,8199,12048,12068
128,780,45675,8325,11974,12026
129,780,45517,8163,12114,12206
130,780,45599,8116,12140,12145
131,780,45075,8652,12025,12248
132,780,45256,8277,12061,12406
133,780,43489,9584,11981,12946
134,780,41853,10391,12363,13393
135,780,40838,10904,12827,13431
136,780,40855,10806,12885,13454
137,780,42550,10043,12076,13331
138,780,41734,10533,12405,13328
139,780,41717,10583,12334,13366
140,780,40218,11618,13138,13026
141,780,40810,11097,13476,12617
142,780,40950,11017,13519,12514
143,780,40715,11189,13569,12527
144,780,40759,10891,13726,12624
145,780,40928,10869,13701,12502
146,780,39974,11487,14181,12358
147,780,38498,12142,15045,12315
148,780,39282,11378,15397,11943
149,780,39210,11415,15356,12019
150,780,41666,10013,15477,10844
151,780,39413,11233,16155,11199
152,780,37225,12653,17454,10668
153,780,37855,11870,17413,10862
154,780,39922,10632,16080,11366
155,780,37607,12057,15659,12677
156,780,36392,12870,15731,13007
157,780,36644,12953,15590,12813
158,780,36269,13128,15710,12893
159,780,37919,11985,15668,12428
160,780,37865,11833,15815,12487
161,780,37708,12046,15711,12535
162,780,35119,13490,15478,13913
163,780,37803,11967,14590,13640
164,780,38947,10970,14542,13541
165,780,37985,11342,14940,13733
166,780,38587,10318,14808,14287
167,780,39929,9461,14109,14501
168,780,39822,9536,14111,14531
169,780,40117,9282,14014,14587
170,780,39957,9561,14105,14377
171,780,37455,10726,13449,16370
172,780,37822,10745,13292,16141
173,780,38699,9786,13144,16371
174,780,38231,10572,13189,16008
175,780,40401,9188,13540,14871
176,780,41202,8880,13011,14907
177,780,43430,7887,12385,14298
178,780,42735,8450,12687,14128
179,780,45405,7136,12079,13380
180,780,45332,7214,12043,13411
181,780,44685,7870,11875,13570
182,780,43930,8338,11875,13857
183,780,44613,7800,11927,13660
184,780,42011,9135,12019,14835
185,780,42294,9116,11973,14617
186,780,42814,8536,11761,14889
187,780,42251,9264,11980,14505
188,780,42108,9079,12081,14732
