,seed,population_seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,559,223,coop,27407871,12387,0.351,0.159
1,559,223,defect,21593688,12047,0.277,0.155
2,559,223,exploitation,28998441,1998,0.372,0.026
