round,seed,exploit,defect,exploit_,coop
263,123,14006,18956,14945,30093
264,123,14097,19587,14679,29637
265,123,14197,18304,14449,31050
266,123,14019,17808,14679,31494
267,123,13975,17845,14657,31523
268,123,14167,17400,14584,31849
269,123,14003,18708,14641,30648
270,123,14193,18681,14599,30527
271,123,14530,20347,14754,28369
272,123,14414,20040,14766,28780
273,123,13576,22009,15802,26613
274,123,13480,21550,16119,26851
275,123,14093,22925,15765,25217
276,123,13797,23740,15515,24948
277,123,13773,22334,15445,26448
278,123,13980,22084,15705,26231
279,123,13856,21475,15885,26784
280,123,14099,21058,15730,27113
281,123,14033,20525,15773,27669
282,123,14149,20223,15681,27947
283,123,13788,22500,16126,25586
284,123,13741,20997,15797,27465
285,123,13898,20948,15846,27308
286,123,13632,21051,15834,27483
287,123,14010,20407,15879,27704
288,123,15133,18511,14766,29590
289,123,15372,17831,14656,30141
290,123,15665,19308,14432,28595
291,123,15114,20668,15588,26630
292,123,14993,20795,15516,26696
293,123,14799,19766,15377,28058
294,123,14708,20209,15424,27659
295,123,15162,18135,14592,30111
296,123,15169,18230,14747,29854
297,123,15139,18866,14463,29532
298,123,15270,17952,14673,30105
299,123,14978,19891,15398,27733
300,123,14754,19455,15310,28481
301,123,14005,21608,16309,26078
302,123,13999,21507,16307,26187
303,123,13278,22577,16296,25849
304,123,13486,23742,16916,23856
305,123,13650,23432,16769,24149
306,123,13788,22441,16165,25606
307,123,13411,20590,16410,27589
308,123,13477,21151,16328,27044
309,123,13549,22005,16096,26350
310,123,13369,22049,16126,26456
311,123,12932,20543,16532,27993
312,123,12533,21975,16731,26761
313,123,12613,22002,16966,26419
314,123,12973,20634,16079,28314
315,123,13132,20367,16239,28262
316,123,13098,20725,16140,28037
317,123,13061,20066,16508,28365
318,123,12941,19374,16698,28987
319,123,12627,18161,16627,30585
320,123,12605,18129,16510,30756
321,123,12364,18585,16678,30373
322,123,12601,19383,16495,29521
323,123,12478,18647,16751,30124
324,123,13132,20452,16219,28197
325,123,13632,18936,15930,29502
326,123,13564,20451,15650,28335
327,123,13407,22805,15980,25808
328,123,14385,20658,14832,28125
329,123,14469,20086,14639,28806
330,123,14824,22353,14382,26441
331,123,15432,21373,14351,26844
332,123,15716,22887,14049,25348
333,123,15756,22762,14078,25404
334,123,15669,22923,14136,25272
335,123,16679,24125,13431,23765
336,123,16519,24467,13184,23830
337,123,16643,24017,13211,24129
338,123,16677,23936,13417,23970
339,123,16458,22253,13305,25984
340,123,16026,20630,14022,27322
341,123,15859,20277,13885,27979
342,123,16002,20293,14027,27678
343,123,15606,20301,13865,28228
344,123,15899,20517,14162,27422
345,123,14942,19613,14521,28924
346,123,14847,19636,14576,28941
347,123,15113,19494,14742,28651
348,123,14976,18888,14801,29335
349,123,14723,18791,14898,29588
350,123,14611,18635,14819,29935
351,123,14703,17649,15141,30507
352,123,15005,18977,15266,28752
353,123,15049,19088,15512,28351
354,123,15451,18500,15415,28634
355,123,15395,18242,15207,29156
356,123,15397,19832,15537,27234
357,123,15514,18492,15019,28975
358,123,15175,19550,15909,27366
359,123,15216,19732,15782,27270
360,123,15320,20135,15579,26966
361,123,14777,21264,16544,25415
362,123,15648,22283,16259,23810
363,123,15615,22286,16191,23908
364,123,15476,22914,16182,23428
365,123,14954,21969,16115,24962
