round,seed,population_seed,strategy,count,percentage
56,536,35,defect,31545,0.4
56,536,35,exploitation,28739,0.37
57,536,35,coop,17650,0.23
57,536,35,defect,31897,0.41
57,536,35,exploitation,28453,0.36
58,536,35,coop,19450,0.25
58,536,35,defect,29414,0.38
58,536,35,exploitation,29136,0.37
59,536,35,coop,19379,0.25
59,536,35,defect,29704,0.38
59,536,35,exploitation,28917,0.37
60,536,35,coop,19174,0.25
60,536,35,defect,29520,0.38
60,536,35,exploitation,29306,0.38
61,536,35,coop,21361,0.27
61,536,35,defect,27425,0.35
61,536,35,exploitation,29214,0.37
62,536,35,coop,19782,0.25
62,536,35,defect,28721,0.37
62,536,35,exploitation,29497,0.38
63,536,35,coop,18719,0.24
63,536,35,defect,29550,0.38
63,536,35,exploitation,29731,0.38
64,536,35,coop,18326,0.23
64,536,35,defect,29815,0.38
64,536,35,exploitation,29859,0.38
65,536,35,coop,17540,0.22
65,536,35,defect,31121,0.4
65,536,35,exploitation,29339,0.38
66,536,35,coop,17292,0.22
66,536,35,defect,31168,0.4
66,536,35,exploitation,29540,0.38
67,536,35,coop,16642,0.21
67,536,35,defect,32497,0.42
67,536,35,exploitation,28861,0.37
68,536,35,coop,15852,0.2
68,536,35,defect,33907,0.43
68,536,35,exploitation,28241,0.36
69,536,35,coop,17263,0.22
69,536,35,defect,32137,0.41
69,536,35,exploitation,28600,0.37
70,536,35,coop,17348,0.22
70,536,35,defect,32098,0.41
70,536,35,exploitation,28554,0.37
71,536,35,coop,17258,0.22
71,536,35,defect,32356,0.41
71,536,35,exploitation,28386,0.36
72,536,35,coop,18489,0.24
72,536,35,defect,31317,0.4
72,536,35,exploitation,28194,0.36
73,536,35,coop,18310,0.23
73,536,35,defect,31359,0.4
73,536,35,exploitation,28331,0.36
74,536,35,coop,17390,0.22
74,536,35,defect,32111,0.41
74,536,35,exploitation,28499,0.37
75,536,35,coop,18406,0.24
75,536,35,defect,31084,0.4
75,536,35,exploitation,28510,0.37
76,536,35,coop,17761,0.23
76,536,35,defect,32089,0.41
76,536,35,exploitation,28150,0.36
77,536,35,coop,17781,0.23
77,536,35,defect,31887,0.41
77,536,35,exploitation,28332,0.36
78,536,35,coop,18744,0.24
78,536,35,defect,30450,0.39
78,536,35,exploitation,28806,0.37
79,536,35,coop,19397,0.25
79,536,35,defect,29992,0.38
79,536,35,exploitation,28611,0.37
80,536,35,coop,18308,0.23
80,536,35,defect,31059,0.4
80,536,35,exploitation,28633,0.37
81,536,35,coop,17539,0.22
81,536,35,defect,31966,0.41
81,536,35,exploitation,28495,0.37
82,536,35,coop,16464,0.21
82,536,35,defect,33184,0.43
82,536,35,exploitation,28352,0.36
83,536,35,coop,15399,0.2
83,536,35,defect,33788,0.43
83,536,35,exploitation,28813,0.37
84,536,35,coop,14313,0.18
84,536,35,defect,35219,0.45
84,536,35,exploitation,28468,0.36
85,536,35,coop,13213,0.17
85,536,35,defect,35970,0.46
85,536,35,exploitation,28817,0.37
86,536,35,coop,13381,0.17
86,536,35,defect,36146,0.46
86,536,35,exploitation,28473,0.37
87,536,35,coop,13321,0.17
87,536,35,defect,36129,0.46
87,536,35,exploitation,28550,0.37
88,536,35,coop,13114,0.17
88,536,35,defect,36347,0.47
88,536,35,exploitation,28539,0.37
89,536,35,coop,13327,0.17
89,536,35,defect,36094,0.46
89,536,35,exploitation,28579,0.37
90,536,35,coop,13225,0.17
90,536,35,defect,36164,0.46
90,536,35,exploitation,28611,0.37
91,536,35,coop,13265,0.17
91,536,35,defect,36281,0.47
91,536,35,exploitation,28454,0.36
92,536,35,coop,13088,0.17
92,536,35,defect,36231,0.46
92,536,35,exploitation,28681,0.37
93,536,35,coop,14292,0.18
93,536,35,defect,34896,0.45
93,536,35,exploitation,28812,0.37
94,536,35,coop,15744,0.2
94,536,35,defect,33209,0.43
94,536,35,exploitation,29047,0.37
95,536,35,coop,15728,0.2
95,536,35,defect,33407,0.43
95,536,35,exploitation,28865,0.37
96,536,35,coop,16870,0.22
96,536,35,defect,31873,0.41
96,536,35,exploitation,29257,0.38
97,536,35,coop,18728,0.24
97,536,35,defect,29601,0.38
97,536,35,exploitation,29671,0.38
98,536,35,coop,17032,0.22
98,536,35,defect,31945,0.41
98,536,35,exploitation,29023,0.37
99,536,35,coop,17279,0.22
99,536,35,defect,31495,0.4
99,536,35,exploitation,29226,0.37
100,536,35,coop,17351,0.22
100,536,35,defect,31612,0.41
100,536,35,exploitation,29037,0.37
101,536,35,coop,18616,0.24
101,536,35,defect,29305,0.38
101,536,35,exploitation,30079,0.39
102,536,35,coop,18910,0.24
102,536,35,defect,29125,0.37
102,536,35,exploitation,29965,0.38
103,536,35,coop,20361,0.26
103,536,35,defect,27428,0.35
103,536,35,exploitation,30211,0.39
104,536,35,coop,21986,0.28
104,536,35,defect,26131,0.34
104,536,35,exploitation,29883,0.38
105,536,35,coop,20601,0.26
105,536,35,defect,27515,0.35
105,536,35,exploitation,29884,0.38
106,536,35,coop,19330,0.25
106,536,35,defect,28612,0.37
106,536,35,exploitation,30058,0.39
107,536,35,coop,19199,0.25
107,536,35,defect,28658,0.37
107,536,35,exploitation,30143,0.39
108,536,35,coop,19506,0.25
108,536,35,defect,28310,0.36
108,536,35,exploitation,30184,0.39
109,536,35,coop,17843,0.23
109,536,35,defect,29848,0.38
