round,seed,defect,exploit_,exploit,coop
1,179,19410,12102,17108,29380
2,179,18414,11818,16925,30843
3,179,16504,12328,16240,32928
4,179,16303,12163,16319,33215
5,179,15988,12188,16210,33614
6,179,16341,12573,16348,32738
7,179,17492,12530,15880,32098
8,179,16567,12099,16201,33133
9,179,16189,12174,16311,33326
10,179,15380,11718,16467,34435
11,179,14777,11570,16879,34774
12,179,16180,11466,17666,32688
13,179,15139,11907,16651,34303
14,179,15150,11963,16537,34350
15,179,15230,12133,16828,33809
16,179,14868,12424,16245,34463
17,179,16606,13405,15378,32611
18,179,16625,13511,15514,32350
19,179,17503,13187,15670,31640
20,179,18185,12812,15743,31260
21,179,19770,13166,16117,28947
22,179,18559,12758,15783,30900
23,179,17932,13281,15783,31004
24,179,18483,13168,15469,30880
25,179,17528,13554,15523,31395
26,179,17506,13377,15596,31521
27,179,16263,12929,15469,33339
28,179,16998,12896,15936,32170
29,179,18929,13509,15887,29675
30,179,19799,12892,16208,29101
31,179,17942,13389,15418,31251
32,179,19215,13025,16147,29613
33,179,19356,12998,16191,29455
34,179,19487,12753,16010,29750
35,179,19240,12805,16100,29855
36,179,19629,12826,16445,29100
37,179,19979,12489,16226,29306
38,179,20666,13002,15983,28349
39,179,20328,12701,15958,29013
40,179,20864,12799,16257,28080
41,179,20695,12700,16183,28422
42,179,20760,12635,16063,28542
43,179,19249,12508,16152,30091
44,179,19537,12836,15901,29726
45,179,19373,12743,16218,29666
46,179,20808,12242,16332,28618
47,179,20503,12611,16462,28424
48,179,22109,11988,16740,27163
49,179,22222,12264,16835,26679
50,179,22454,12231,16666,26649
51,179,22564,12271,16779,26386
52,179,23614,12175,16721,25490
53,179,23675,12312,16888,25125
54,179,23316,12062,17034,25588
55,179,23955,11997,17258,24790
56,179,22394,12212,16662,26732
57,179,22238,12280,16651,26831
58,179,20732,12221,16772,28275
59,179,20663,12303,16835,28199
60,179,20763,12367,16820,28050
61,179,20687,12167,16740,28406
62,179,21559,12551,16287,27603
63,179,23053,12788,15950,26209
64,179,21542,13246,15403,27809
65,179,21068,13303,15356,28273
66,179,21456,13174,15540,27830
67,179,22134,13412,15262,27192
68,179,22355,13325,15195,27125
69,179,21959,13469,15246,27326
70,179,23964,13284,15371,25381
71,179,23930,13260,15494,25316
72,179,24290,13129,15376,25205
73,179,23710,13005,15813,25472
74,179,25802,13465,15238,23495
75,179,25610,13540,15442,23408
76,179,28340,12674,15719,21267
