,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,22163413,8787,0.284,0.113
1,1024,defect,27123009,8708,0.348,0.112
2,1024,exploitation,28713578,1363,0.368,0.018
3000,128,coop,37719528,12348,0.484,0.158
3001,128,defect,13964801,9293,0.179,0.119
3002,128,exploitation,26315671,3425,0.337,0.044
6000,16,coop,19069282,12703,0.244,0.163
6001,16,defect,31480403,14388,0.404,0.185
6002,16,exploitation,27450315,3847,0.352,0.049
9000,256,coop,15368986,8969,0.197,0.115
9001,256,defect,36141657,11520,0.464,0.148
9002,256,exploitation,26489357,2977,0.34,0.038
12000,2,coop,26572726,8002,0.341,0.103
12001,2,defect,22540828,7721,0.289,0.099
12002,2,exploitation,28886446,1060,0.37,0.014
15000,32,coop,16177475,9010,0.207,0.116
15001,32,defect,34324016,10775,0.44,0.138
15002,32,exploitation,27498509,2273,0.353,0.029
18000,4,coop,22575538,11989,0.289,0.154
18001,4,defect,27958549,12654,0.358,0.162
18002,4,exploitation,27465913,2076,0.352,0.027
21000,512,coop,25196019,8134,0.323,0.104
21001,512,defect,23502256,8461,0.301,0.109
21002,512,exploitation,29301725,2325,0.376,0.03
24000,64,coop,23376637,11136,0.3,0.143
24001,64,defect,26226794,11387,0.336,0.146
24002,64,exploitation,28396569,2459,0.364,0.032
27000,8,coop,22877226,6322,0.293,0.081
27001,8,defect,26271718,7162,0.337,0.092
27002,8,exploitation,28851056,1335,0.37,0.017
