,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,25469251,5388,0.327,0.069
1,1024,defect,23372203,5060,0.3,0.065
2,1024,exploitation,29158546,796,0.374,0.01
3000,128,coop,30794255,8006,0.395,0.103
3001,128,defect,18027225,7647,0.231,0.098
3002,128,exploitation,29178520,1981,0.374,0.026
6000,16,coop,41398753,8291,0.531,0.106
6001,16,defect,10013683,4749,0.128,0.061
6002,16,exploitation,26587564,3751,0.341,0.048
9000,256,coop,25479243,11388,0.327,0.146
9001,256,defect,24065986,11207,0.309,0.144
9002,256,exploitation,28454771,2656,0.365,0.034
12000,2,coop,34132375,5091,0.437,0.065
12001,2,defect,15655934,4510,0.201,0.058
12002,2,exploitation,28211691,849,0.362,0.011
15000,32,coop,21237340,6212,0.272,0.08
15001,32,defect,28637928,6870,0.367,0.088
15002,32,exploitation,28124732,881,0.36,0.012
18000,4,coop,12048075,9987,0.154,0.128
18001,4,defect,40064847,12855,0.513,0.165
18002,4,exploitation,25887078,3687,0.332,0.047
21000,512,coop,37749967,9241,0.484,0.119
21001,512,defect,13119013,6690,0.168,0.086
21002,512,exploitation,27131020,2724,0.348,0.035
24000,64,coop,28527206,12919,0.366,0.166
24001,64,defect,21879112,12077,0.28,0.155
24002,64,exploitation,27593682,2156,0.354,0.028
27000,8,coop,24028202,4947,0.308,0.064
27001,8,defect,23914202,5482,0.307,0.07
27002,8,exploitation,30057596,1872,0.385,0.024
