round,seed,exploit,defect,exploit_,coop
321,123,12683,28269,15671,21377
322,123,13036,30364,15372,19228
323,123,12908,29850,15447,19795
324,123,13111,30508,15075,19306
325,123,13515,28378,14956,21151
326,123,13518,28570,14867,21045
327,123,13062,30204,15101,19633
328,123,12974,30741,14888,19397
329,123,13097,30358,14721,19824
330,123,13052,30545,14752,19651
331,123,13315,29240,14732,20713
332,123,13523,29199,14874,20404
333,123,13634,29049,14749,20568
334,123,13905,27262,14772,22061
335,123,14366,28783,14043,20808
336,123,14266,28978,14061,20695
337,123,14364,28721,14050,20865
338,123,14721,27069,13691,22519
339,123,14798,26709,13660,22833
340,123,14796,26853,13805,22546
341,123,15011,26329,13825,22835
342,123,14913,28098,13658,21331
343,123,14664,29339,14073,19924
344,123,14327,29876,14104,19693
345,123,13973,28592,14728,20707
346,123,14053,28404,14766,20777
347,123,14166,28539,14724,20571
348,123,14128,28106,14549,21217
349,123,14319,29366,14057,20258
350,123,14512,29369,14323,19796
351,123,14444,28189,14584,20783
352,123,14515,29742,14438,19305
353,123,14399,30911,14778,17912
354,123,14576,30552,14689,18183
355,123,14739,29691,14368,19202
356,123,14354,31165,14389,18092
357,123,14150,32092,14764,16994
358,123,14697,31088,14290,17925
359,123,14586,28961,14730,19723
360,123,14751,28959,14869,19421
361,123,14433,29218,14840,19509
362,123,14852,30639,14494,18015
363,123,14833,31395,14283,17489
364,123,14859,30420,14208,18513
365,123,14789,30859,13998,18354
366,123,14420,30287,14384,18909
367,123,14557,31504,14433,17506
368,123,14521,31726,14227,17526
369,123,14383,33090,14304,16223
370,123,14551,32134,14716,16599
371,123,14041,33800,14314,15845
372,123,14195,33670,14329,15806
373,123,14137,32811,14264,16788
374,123,14011,33089,14394,16506
375,123,14058,33311,14221,16410
376,123,13895,33344,14389,16372
377,123,14182,32923,14348,16547
378,123,13652,34183,14844,15321
379,123,13648,33231,14886,16235
380,123,13931,32830,14360,16879
381,123,14325,33812,14346,15517
382,123,14364,33952,14127,15557
383,123,13467,31586,15710,17237
384,123,14381,29436,15114,19069
385,123,14199,29832,15161,18808
386,123,14202,29693,15413,18692
387,123,14089,29960,15208,18743
388,123,14179,29939,15211,18671
389,123,13671,32146,15040,17143
390,123,12669,34472,15669,15190
391,123,12490,33536,15827,16147
392,123,13208,31982,15301,17509
393,123,13892,34135,14006,15967
394,123,14014,34387,14162,15437
395,123,13826,34621,14115,15438
396,123,13610,35123,13963,15304
397,123,13602,35060,13994,15344
398,123,13668,33873,14332,16127
399,123,13497,35071,14409,15023
400,123,13300,33263,14997,16440
401,123,13365,34904,14327,15404
402,123,13596,33971,14322,16111
403,123,13611,33846,14388,16155
404,123,13487,33934,14266,16313
405,123,13430,35258,14384,14928
406,123,13317,36452,14286,13945
407,123,13466,36220,14152,14162
408,123,13356,36461,14231,13952
409,123,13457,39228,13256,12059
410,123,13159,38036,13648,13157
411,123,13242,37893,13839,13026
412,123,12003,40594,14011,11392
413,123,12195,39314,14165,12326
414,123,12696,37071,14228,14005
415,123,12940,35738,14477,14845
416,123,12987,37002,14270,13741
417,123,12745,36278,14591,14386
418,123,12808,36142,14650,14400
419,123,12844,35984,14666,14506
420,123,14162,33156,14006,16676
421,123,14655,31130,13948,18267
