round,seed,defect,exploit_,exploit,coop
1,588,19428,12186,17133,29253
2,588,20481,12147,16894,28478
3,588,22533,11544,17627,26296
4,588,20385,11361,17793,28461
5,588,20488,11309,17637,28566
6,588,20385,11475,17788,28352
7,588,20734,11367,17492,28407
8,588,20207,11586,17700,28507
9,588,20739,11490,17384,28387
10,588,20001,11796,17591,28612
11,588,20169,11763,17604,28464
12,588,20712,11594,17451,28243
13,588,20479,11667,17554,28300
14,588,19675,11585,17772,28968
15,588,20365,12283,17258,28094
16,588,21793,12509,16690,27008
17,588,21615,12663,16624,27098
18,588,20277,12008,16761,28954
19,588,20167,12174,16882,28777
20,588,19672,11988,17091,29249
21,588,20488,12182,17184,28146
22,588,18911,12255,16880,29954
23,588,19547,11996,17065,29392
24,588,19636,12186,16929,29249
25,588,20458,11910,17789,27843
26,588,20702,11741,17648,27909
27,588,21180,11876,17407,27537
28,588,21189,12041,17539,27231
29,588,23218,11539,17888,25355
30,588,22392,11261,18515,25832
31,588,20722,10834,18553,27891
32,588,19849,10532,19011,28608
33,588,21327,11171,18699,26803
34,588,21059,11226,18688,27027
35,588,22933,11189,18958,24920
36,588,23646,11373,18804,24177
37,588,23722,11313,18426,24539
38,588,24051,11257,18463,24229
39,588,23280,11407,18817,24496
40,588,24256,11237,19434,23073
41,588,24087,11072,19242,23599
42,588,23360,10808,18959,24873
43,588,23366,10934,19042,24658
44,588,23170,10824,19090,24916
45,588,21241,11868,18275,26616
46,588,19775,11057,18887,28281
47,588,20920,10475,19326,27279
48,588,20139,10347,19980,27534
49,588,18109,10609,19352,29930
50,588,18821,11409,19170,28600
51,588,20073,11871,19091,26965
52,588,19284,11959,19140,27617
53,588,18888,12167,19311,27634
54,588,17404,12011,19088,29497
55,588,17997,12195,18882,28926
56,588,18055,11984,18756,29205
57,588,18643,11687,20037,27633
58,588,19505,11888,19541,27066
59,588,19437,11830,19532,27201
60,588,21218,12101,19416,25265
61,588,20561,12228,19581,25630
62,588,18912,11223,20216,27649
63,588,18820,11134,20291,27755
64,588,20534,10389,21086,25991
65,588,22456,10642,20988,23914
66,588,21594,10482,21729,24195
67,588,22294,10689,21163,23854
68,588,23596,11147,21098,22159
69,588,24655,10508,21138,21699
70,588,24111,10414,21401,22074
71,588,22038,10422,21800,23740
72,588,22237,10439,21610,23714
73,588,23896,11651,20317,22136
74,588,25978,11060,20716,20246
75,588,26740,10885,20429,19946
76,588,27417,10864,20196,19523
77,588,26968,10903,20542,19587
78,588,27084,10832,20309,19775
79,588,27236,10762,20191,19811
80,588,26115,11108,20697,20080
81,588,26452,10845,20412,20291
82,588,28310,11579,19748,18363
83,588,26330,11370,20318,19982
84,588,24360,11304,20338,21998
85,588,24298,11241,20424,22037
86,588,24254,11190,20381,22175
87,588,25133,11163,20232,21472
88,588,24231,11345,19503,22921
89,588,26183,12170,18508,21139
90,588,25953,12488,18207,21352
91,588,24661,11779,18844,22716
92,588,23935,12020,18991,23054
93,588,23412,11966,19368,23254
94,588,22993,12055,19245,23707
95,588,23805,11847,20232,22116
96,588,24015,11959,20142,21884
97,588,26062,12722,18931,20285
98,588,27227,13480,18319,18974
99,588,27539,13256,18233,18972
100,588,29513,13425,17786,17276
101,588,29692,13424,17615,17269
102,588,30182,13166,18522,16130
103,588,31530,12721,18687,15062
104,588,32526,13159,18512,13803
105,588,31407,12313,19127,15153
106,588,32310,12567,19273,13850
107,588,32488,12530,19198,13784
108,588,34958,12478,18488,12076
109,588,35855,12291,18600,11254
110,588,34697,11819,19181,12303
111,588,34806,11875,19097,12222
112,588,34770,11842,18966,12422
113,588,34737,11866,19261,12136
114,588,36949,12011,18088,10952
115,588,38067,12562,17418,9953
116,588,37489,12925,16741,10845
117,588,39784,12518,16156,9542
118,588,37706,11861,17777,10656
119,588,37621,11876,17749,10754
120,588,36738,12287,17545,11430
121,588,38186,12262,16946,10606
122,588,38072,12413,16868,10647
123,588,40554,12878,15118,9450
124,588,42642,12159,15074,8125
125,588,44304,11914,14610,7172
126,588,41686,11429,16500,8385
127,588,41610,11508,16352,8530
128,588,41711,11387,16457,8445
129,588,41664,11487,16411,8438
130,588,41578,11500,16360,8562
131,588,41732,11479,16429,8360
132,588,40454,11771,16351,9424
133,588,40515,11766,16300,9419
134,588,40192,11878,16483,9447
135,588,40426,11750,16320,9504
136,588,41569,12125,15807,8499
137,588,41635,12057,15862,8446
138,588,41564,12168,15857,8411
139,588,40492,12178,15925,9405
