round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12095,30838,18266,16801
3,4,11667,28464,20600,17269
4,4,11837,27999,20921,17243
5,4,11755,28308,20881,17056
6,4,12596,30239,18845,16320
7,4,12677,32224,17529,15570
8,4,13421,30467,18315,15797
9,4,12995,31310,17887,15808
10,4,13110,31196,17852,15842
11,4,13193,30531,18250,16026
12,4,12991,32164,17171,15674
13,4,12899,30712,18358,16031
14,4,12516,29921,19367,16196
15,4,12026,27371,21571,17032
16,4,11499,26001,22947,17553
17,4,11584,26016,22798,17602
18,4,11172,24202,24618,18008
19,4,11095,24486,24485,17934
20,4,11150,25413,23473,17964
21,4,11379,25065,23325,18231
22,4,11663,26195,22462,17680
23,4,11785,25943,22521,17751
24,4,11703,26486,21302,18509
25,4,11544,27002,20745,18709
26,4,11400,27245,20811,18544
27,4,11652,28229,20150,17969
28,4,11773,28215,19963,18049
29,4,11334,28027,20335,18304
30,4,11080,28768,19579,18573
31,4,11812,29046,18693,18449
32,4,11716,30506,17942,17836
33,4,11319,32879,16019,17783
34,4,11363,32670,16014,17953
35,4,10491,35346,14338,17825
36,4,10908,34678,14777,17637
37,4,10950,34207,15549,17294
38,4,10926,34340,15392,17342
39,4,10938,36467,13795,16800
40,4,11723,34233,15226,16818
41,4,11543,34913,14752,16792
42,4,11035,36409,13711,16845
43,4,11141,36314,13575,16970
44,4,11008,36520,13527,16945
45,4,10967,36924,13371,16738
46,4,11860,35496,14028,16616
47,4,11941,34353,14927,16779
48,4,12030,33872,15399,16699
49,4,13044,32130,16755,16071
50,4,13267,34620,14995,15118
51,4,13161,34920,14692,15227
52,4,13302,34823,14618,15257
53,4,13333,34740,14404,15523
54,4,13171,35808,13758,15263
55,4,12986,34830,14587,15597
56,4,11727,36831,13477,15965
57,4,11847,37250,12955,15948
58,4,12608,34692,14782,15918
59,4,12536,34243,15232,15989
60,4,12497,34841,14737,15925
61,4,12544,34139,15397,15920
62,4,12709,31655,17342,16294
63,4,13634,29986,18612,15768
64,4,13782,30095,18401,15722
65,4,14123,28855,19384,15638
66,4,14104,29494,18913,15489
67,4,13743,30448,17776,16033
68,4,13797,29916,18122,16165
69,4,13973,30059,17861,16107
70,4,13897,29877,17802,16424
71,4,13976,30067,17583,16374
72,4,14820,28381,19144,15655
73,4,14818,26170,21333,15679
74,4,14573,24723,22090,16614
75,4,14368,26371,20845,16416
76,4,13316,28673,18878,17133
77,4,13544,28228,19056,17172
78,4,13360,28352,19137,17151
79,4,13274,27934,19714,17078
80,4,13244,27915,20080,16761
81,4,12037,29852,18271,17840
82,4,12359,29855,18022,17764
83,4,12532,28073,19493,17902
84,4,12265,27914,20081,17740
85,4,12718,26905,21107,17270
86,4,12764,26908,20961,17367
87,4,12613,26704,21309,17374
88,4,12442,26783,21587,17188
89,4,13418,24762,23742,16078
90,4,13681,24783,23203,16333
91,4,13498,24769,23402,16331
92,4,13834,23060,24863,16243
93,4,13718,25222,22963,16097
94,4,13873,24942,22820,16365
95,4,13840,23834,23789,16537
96,4,13184,25145,23013,16658
97,4,13080,24872,23117,16931
98,4,13012,24843,23300,16845
99,4,12942,24694,23324,17040
100,4,13304,26117,22427,16152
101,4,13384,26497,21726,16393
102,4,13668,27637,20742,15953
103,4,13567,27916,20834,15683
104,4,13717,27323,21318,15642
105,4,14038,28040,20156,15766
106,4,13954,28671,19880,15495
107,4,13602,29870,18758,15770
108,4,13324,32157,17343,15176
109,4,13114,33805,15681,15400
110,4,12272,35253,14619,15856
111,4,12176,35396,14552,15876
112,4,13070,34125,15402,15403
113,4,12973,34065,15454,15508
114,4,12962,33000,16432,15606
115,4,13502,33864,15585,15049
116,4,13231,34244,15437,15088
117,4,13700,35010,14557,14733
118,4,13626,32828,16344,15202
119,4,13614,33129,15983,15274
120,4,13614,32903,16286,15197
121,4,13778,32170,16957,15095
122,4,13964,30819,17934,15283
123,4,14067,32762,16625,14546
124,4,13774,30738,17683,15805
125,4,14111,29084,19080,15725
126,4,14511,29690,18248,15551
127,4,14421,29765,18400,15414
128,4,14379,30051,17589,15981
129,4,14349,29934,17663,16054
130,4,14335,30850,16831,15984
131,4,14291,30814,16808,16087
132,4,14573,31572,15957,15898
133,4,15938,29259,17516,15287
134,4,15837,29073,17648,15442
135,4,16245,29776,16782,15197
136,4,17919,27635,18228,14218
137,4,17610,27877,18338,14175
138,4,16941,27317,19279,14463
139,4,17218,27122,19391,14269
140,4,17412,25121,20989,14478
141,4,16513,26981,19942,14564
142,4,16722,26265,20919,14094
143,4,16920,26512,20617,13951
144,4,16675,26336,21035,13954
145,4,15579,28092,19181,15148
146,4,16372,26213,21003,14412
147,4,15779,24348,22616,15257
148,4,16006,23570,24023,14401
149,4,16755,22271,24901,14073
150,4,17578,23039,23717,13666
151,4,17933,23590,22825,13652
152,4,18687,25352,20892,13069
153,4,18650,25506,20934,12910
154,4,17640,27363,19187,13810
155,4,16612,29238,17709,14441
156,4,16810,29983,16598,14609
157,4,17056,29790,16589,14565
158,4,17009,29805,16569,14617
159,4,17325,31414,15793,13468
160,4,17419,31635,15474,13472
161,4,18282,30058,16457,13203
162,4,18395,29843,16424,13338
163,4,17794,29391,17355,13460
164,4,18730,28308,17955,13007
165,4,18454,28454,17245,13847
166,4,19638,26544,18654,13164
167,4,19136,26061,19802,13001
168,4,18263,23941,21582,14214
169,4,18958,22114,23436,13492
170,4,19516,20281,25198,13005
171,4,19556,20742,24661,13041
172,4,19557,20638,24636,13169
173,4,19562,20816,24491,13131
174,4,19665,20702,24476,13157
175,4,19713,20668,24340,13279
176,4,18560,22327,23476,13637
177,4,19159,20917,24115,13809
178,4,18169,20436,25527,13868
179,4,18653,19209,26405,13733
180,4,18230,20136,25879,13755
181,4,18223,21185,24986,13606
182,4,18848,22064,23765,13323
183,4,18957,21644,24224,13175
184,4,19191,21914,23970,12925
185,4,19165,21774,23914,13147
186,4,19137,21688,24062,13113
187,4,19018,24053,22131,12798
188,4,19264,23838,21975,12923
189,4,18363,21740,24016,13881
190,4,17690,20180,25746,14384
191,4,17595,18926,26705,14774
192,4,17117,20879,24390,15614
193,4,16881,20843,24647,15629
194,4,17044,20866,24483,15607
195,4,16611,20093,25753,15543
196,4,17372,18559,27912,14157
197,4,17532,17308,28542,14618
198,4,18964,18956,26584,13496
199,4,17687,20948,24552,14813
200,4,17880,21905,23487,14728
201,4,17215,21782,24641,14362
202,4,17331,21056,25364,14249
203,4,17785,21511,24667,14037
204,4,17597,21722,24698,13983
205,4,17560,21121,25023,14296
206,4,17388,21293,25123,14196
207,4,16942,20600,26373,14085
208,4,16021,22281,24525,15173
209,4,16022,22367,24314,15297
210,4,16232,22134,25161,14473
211,4,15777,23750,23114,15359
212,4,15602,23929,23132,15337
213,4,15681,22667,24423,15229
214,4,14621,20678,26383,16318
215,4,15267,19534,27159,16040
216,4,15560,19601,26849,15990
217,4,15340,20697,26258,15705
218,4,14502,19909,27709,15880
219,4,14427,20082,27555,15936
220,4,14373,21460,26247,15920
221,4,14237,20602,27529,15632
222,4,13927,19699,28356,16018
223,4,14168,18192,29868,15772
224,4,14085,18286,29667,15962
225,4,14191,18065,29788,15956
226,4,13422,17111,31082,16385
227,4,13017,17464,31371,16148
228,4,13298,17498,30993,16211
229,4,12955,16972,31911,16162
230,4,13130,16076,32585,16209
231,4,12956,15450,34073,15521
232,4,13243,16231,33349,15177
233,4,13371,18072,30969,15588
234,4,13541,16679,32422,15358
235,4,13651,18244,30130,15975
236,4,12976,17688,31161,16175
237,4,12986,17641,31145,16228
238,4,13498,18292,29750,16460
239,4,13079,17317,30506,17098
240,4,13080,17272,30552,17096
241,4,13223,17267,30382,17128
242,4,14658,18872,28487,15983
243,4,14586,18884,28652,15878
244,4,14521,19190,28020,16269
245,4,15181,18232,28529,16058
246,4,15430,17053,29409,16108
247,4,15446,17145,29327,16082
248,4,15665,18769,27378,16188
249,4,16058,19849,26730,15363
250,4,16303,18724,27173,15800
251,4,16081,18079,28420,15420
252,4,15985,17853,28689,15473
253,4,15950,19797,26728,15525
254,4,15929,20024,26535,15512
255,4,15953,19882,26687,15478
256,4,15536,20997,26037,15430
257,4,15700,20888,25751,15661
258,4,15519,20899,25816,15766
259,4,15019,22188,25099,15694
260,4,14987,22153,25133,15727
261,4,15024,22083,25136,15757
262,4,15084,22152,25091,15673
263,4,15062,22106,24909,15923
264,4,15017,22192,24929,15862
265,4,14676,22769,23820,16735
266,4,15194,21422,24592,16792
267,4,14150,21099,25749,17002
268,4,14082,20968,25913,17037
269,4,15077,19651,26954,16318
270,4,15161,19804,26566,16469
271,4,14952,19069,27921,16058
272,4,14901,19280,27829,15990
273,4,15196,20591,26599,15614
274,4,15630,21596,25918,14856
275,4,16422,22517,24511,14550
276,4,16350,24074,22734,14842
277,4,17096,24990,21508,14406
278,4,17410,25579,20448,14563
279,4,17954,23690,22301,14055
280,4,17786,23846,22371,13997
281,4,18807,25566,20430,13197
282,4,19992,23491,22310,12207
283,4,19417,24683,21730,12170
284,4,18213,26930,19623,13234
285,4,18300,27751,18961,12988
286,4,17722,28677,18337,13264
287,4,18143,26672,20228,12957
288,4,18256,27560,18927,13257
289,4,19184,25607,20948,12261
290,4,19223,25392,20936,12449
291,4,19256,25377,21018,12349
292,4,19492,23442,22731,12335
293,4,19484,23403,22717,12396
294,4,19435,23328,22770,12467
295,4,19486,22232,23495,12787
296,4,19714,21239,24924,12123
297,4,18863,20839,26253,12045
298,4,18975,20640,26279,12106
299,4,18825,20745,26331,12099
300,4,18936,20740,26198,12126
301,4,19431,19631,27127,11811
302,4,20116,19758,26321,11805
303,4,19222,19246,27718,11814
304,4,18264,20897,25507,13332
305,4,18220,20983,25621,13176
306,4,17260,19390,27530,13820
307,4,16712,17436,29352,14500
308,4,15167,15929,31789,15115
309,4,14581,17558,29720,16141
310,4,13969,16648,31197,16186
311,4,14058,16857,31018,16067
312,4,14029,16781,31032,16158
313,4,15057,17521,29667,15755
314,4,14500,18607,28783,16110
315,4,14449,18520,28977,16054
316,4,14013,17529,30602,15856
317,4,13886,16970,30962,16182
318,4,13548,16474,32016,15962
319,4,13627,16501,31815,16057
320,4,13339,17035,30673,16953
321,4,13216,17184,30655,16945
322,4,12825,18796,28349,18030
323,4,12747,18931,28241,18081
324,4,12572,18763,28791,17874
325,4,13014,20211,27089,17686
326,4,13049,20320,26911,17720
327,4,13087,21856,25860,17197
328,4,13027,21954,25808,17211
329,4,13231,22233,25332,17204
330,4,13493,21921,25283,17303
331,4,13275,23282,24458,16985
332,4,13787,25296,22474,16443
333,4,14025,25272,22202,16501
334,4,14671,23003,24714,15612
335,4,13820,21319,26777,16084
336,4,15009,23018,24510,15463
337,4,14624,23300,24623,15453
338,4,14725,23497,24391,15387
339,4,15217,25174,22608,15001
340,4,16331,23291,24414,13964
341,4,16413,23372,24197,14018
342,4,16287,23277,24356,14080
343,4,16234,23363,24447,13956
344,4,16798,23928,23313,13961
345,4,17261,25448,22126,13165
346,4,17272,25712,21898,13118
347,4,16862,26673,21086,13379
348,4,16554,27546,20063,13837
349,4,17782,25454,21981,12783
350,4,17017,27689,20108,13186
351,4,16871,29030,18827,13272
352,4,16652,29259,18929,13160
353,4,17331,31291,17108,12270
354,4,17452,32757,16282,11509
355,4,17482,32709,16283,11526
356,4,17030,30640,17952,12378
357,4,17068,30906,17775,12251
358,4,16906,30168,18313,12613
359,4,16703,30224,18461,12612
360,4,16982,29803,18838,12377
361,4,17210,27725,20812,12253
