round,seed,defect,exploit_,exploit,coop
1,461,19596,12117,16987,29300
2,461,20782,11625,17681,27912
3,461,21051,12069,17312,27568
4,461,20198,11740,17859,28203
5,461,20242,11640,17899,28219
6,461,20178,11659,17882,28281
7,461,20424,11470,17775,28331
8,461,19118,12036,17953,28893
9,461,18497,12048,17872,29583
10,461,19561,12406,18094,27939
11,461,18216,12828,17009,29947
12,461,17098,12251,16950,31701
13,461,16955,12395,16980,31670
14,461,15389,12873,16189,33549
15,461,15258,12814,16059,33869
16,461,14571,12640,16461,34328
17,461,15152,12637,16117,34094
18,461,15847,12250,16225,33678
19,461,14581,12387,15901,35131
20,461,13294,12266,15729,36711
21,461,11871,11784,15384,38961
22,461,11986,11819,15377,38818
23,461,12831,11818,15679,37672
24,461,12729,11780,15511,37980
25,461,11961,11740,15445,38854
26,461,11470,11837,15381,39312
27,461,11672,11861,15380,39087
28,461,11586,11870,15482,39062
29,461,11393,11887,15292,39428
30,461,12941,12285,15395,37379
31,461,12941,12301,15353,37405
32,461,12417,12415,15498,37670
33,461,10954,12497,14505,40044
34,461,10560,12620,14299,40521
35,461,11098,12916,14119,39867
36,461,12591,13116,14256,38037
37,461,12759,13151,14481,37609
38,461,11272,13501,13231,39996
39,461,11071,13750,13353,39826
40,461,11756,13517,13467,39260
41,461,11743,13704,13755,38798
42,461,11657,13303,13679,39361
43,461,9901,12545,13442,42112
44,461,9830,12925,13620,41625
45,461,9970,12813,13583,41634
46,461,10154,12678,13349,41819
47,461,10066,12737,13829,41368
48,461,10478,13060,13521,40941
49,461,9675,12498,13584,42243
50,461,9485,12782,13601,42132
51,461,10039,12620,13625,41716
52,461,10174,12938,13565,41323
53,461,10080,12586,13501,41833
54,461,9440,12810,13296,42454
55,461,10086,12575,13508,41831
56,461,9879,12672,13623,41826
57,461,10374,12885,13341,41400
58,461,10191,12848,13511,41450
59,461,10431,12836,13598,41135
60,461,9555,12510,13639,42296
61,461,10244,12417,13930,41409
62,461,10209,12554,13947,41290
63,461,10214,12608,13992,41186
64,461,10031,12643,13967,41359
65,461,10183,12481,14149,41187
66,461,9497,12072,14050,42381
67,461,9799,12030,14282,41889
68,461,9836,12146,14339,41679
69,461,8447,12065,14098,43390
70,461,8578,12006,13928,43488
71,461,8603,12027,13900,43470
72,461,8110,11895,13722,44273
73,461,8077,11950,13438,44535
74,461,9472,12323,13701,42504
75,461,8721,11907,13780,43592
76,461,8863,11908,13782,43447
77,461,8644,11678,13360,44318
78,461,8903,11913,13915,43269
79,461,9180,11863,14165,42792
80,461,9419,12153,13925,42503
81,461,9646,12520,14074,41760
82,461,9339,12480,13722,42459
83,461,9408,12301,13680,42611
84,461,9059,12432,13644,42865
85,461,8810,12140,13651,43399
86,461,9160,12115,13937,42788
