round,seed,exploit,defect,exploit_,coop
1,123,16748,19552,12142,29558
2,123,16815,19438,12085,29662
3,123,16946,20071,12241,28742
4,123,17718,22103,11519,26660
5,123,17768,21834,11403,26995
6,123,17667,22254,11472,26607
7,123,16946,20080,12062,28912
8,123,16988,19888,12181,28943
9,123,17079,21994,12081,26846
10,123,16748,22541,12184,26527
11,123,16121,20834,13121,27924
12,123,15959,21184,12719,28138
13,123,15816,22186,13378,26620
14,123,15899,20879,13053,28169
15,123,15830,20914,12908,28348
16,123,15777,19516,13391,29316
17,123,15575,19763,13240,29422
18,123,15613,19315,13603,29469
19,123,14619,17845,13855,31681
20,123,14673,17972,14074,31281
21,123,15030,19084,13952,29934
22,123,15090,20180,14300,28430
23,123,14826,19899,14539,28736
24,123,15002,20291,14478,28229
25,123,15573,21771,13553,27103
26,123,15538,20241,13860,28361
27,123,15336,21756,14315,26593
28,123,15453,19709,13995,28843
29,123,15453,19644,14173,28730
30,123,15990,19114,13746,29150
31,123,15605,19932,13834,28629
32,123,15526,19752,13905,28817
33,123,15275,21125,14550,27050
34,123,15413,21080,14755,26752
35,123,15879,23040,13755,25326
36,123,16059,21666,13565,26710
37,123,16153,21708,13594,26545
38,123,15868,21660,13563,26909
39,123,16376,20105,12897,28622
40,123,16388,19877,12735,29000
41,123,17153,17979,12046,30822
42,123,16960,18975,12399,29666
43,123,16858,19435,12539,29168
44,123,17098,18527,12418,29957
45,123,17088,20027,12890,27995
46,123,17545,21131,12939,26385
47,123,17201,21598,12990,26211
48,123,16677,20366,13342,27615
49,123,17175,19726,12905,28194
50,123,17245,19246,12978,28531
51,123,17217,19333,13107,28343
52,123,17078,18291,12769,29862
53,123,16087,20093,13727,28093
54,123,17182,21492,13226,26100
55,123,17645,20781,13474,26100
56,123,17123,21162,13020,26695
57,123,17674,19377,12411,28538
58,123,17817,20278,12055,27850
59,123,16749,18284,13258,29709
60,123,16350,19643,13928,28079
61,123,16198,19628,13831,28343
62,123,16227,21629,14008,26136
63,123,16187,21550,13897,26366
64,123,16035,22322,13821,25822
65,123,16367,23056,14214,24363
66,123,16235,23187,14181,24397
67,123,16626,21932,13698,25744
68,123,16436,21102,14021,26441
69,123,17280,22548,13455,24717
70,123,17528,20568,13110,26794
71,123,17634,20047,13264,27055
72,123,18184,21478,12914,25424
73,123,18097,21969,12973,24961
74,123,18200,21730,12911,25159
75,123,18074,21817,12925,25184
76,123,18073,22244,12855,24828
77,123,17443,20858,13173,26526
78,123,16982,19594,13256,28168
79,123,17876,21641,12354,26129
80,123,17123,22750,12894,25233
81,123,17108,24033,13093,23766
82,123,16243,21827,14125,25805
83,123,16020,21857,14138,25985
84,123,16100,21944,14052,25904
85,123,16223,21935,14149,25693
86,123,15876,21608,14044,26472
87,123,16303,19618,13723,28356
88,123,15699,18416,14107,29778
89,123,15667,18367,14218,29748
90,123,15660,16857,13672,31811
91,123,15586,17121,13841,31452
92,123,15321,18300,14475,29904
93,123,15741,19612,14501,28146
94,123,16150,20943,14371,26536
95,123,17030,21652,14212,25106
96,123,17001,22154,14079,24766
97,123,16693,22048,14087,25172
98,123,17256,24032,13496,23216
99,123,17488,23973,13665,22874
100,123,17148,24273,13542,23037
101,123,16677,22080,14202,25041
102,123,16879,21553,14396,25172
103,123,16979,21470,14249,25302
104,123,17455,22271,14569,23705
105,123,17527,21573,14727,24173
106,123,17492,21601,14581,24326
107,123,18070,22679,14483,22768
108,123,18839,21860,14404,22897
109,123,18658,21870,14402,23070
110,123,18514,22173,14246,23067
111,123,18703,21857,14423,23017
112,123,19466,21208,14122,23204
113,123,19249,21217,14195,23339
114,123,19124,21300,14136,23440
115,123,18840,20333,13953,24874
116,123,18122,22063,14724,23091
117,123,17986,22688,14692,22634
118,123,17969,22723,14473,22835
119,123,18401,21531,13832,24236
120,123,17547,23298,14662,22493
121,123,17287,23590,14621,22502
122,123,17486,23048,15042,22424
123,123,17313,23182,14855,22650
124,123,17348,23144,14923,22585
125,123,16957,21918,14903,24222
126,123,16895,22020,14981,24104
127,123,16857,21883,14971,24289
128,123,16903,21905,15021,24171
129,123,16660,20676,14770,25894
130,123,16559,22571,15137,23733
131,123,17115,23920,14868,22097
132,123,17132,23294,15115,22459
133,123,17484,22319,15278,22919
134,123,17077,20586,15555,24782
135,123,16486,18906,16115,26493
136,123,16518,18124,16493,26865
137,123,17620,19739,15498,25143
138,123,17890,20889,15757,23464
139,123,18656,19253,14742,25349
140,123,19305,18569,14582,25544
141,123,20149,20343,13766,23742
142,123,20034,21402,13334,23230
143,123,20063,21321,13422,23194
144,123,19826,19693,13459,25022
145,123,20510,20404,13403,23683
146,123,21053,21654,13045,22248
147,123,21684,22505,13237,20574
148,123,21875,22927,12869,20329
149,123,21101,24695,13346,18858
150,123,21155,24836,13106,18903
151,123,21123,24905,13123,18849
152,123,20680,24239,12948,20133
153,123,20639,24204,13118,20039
154,123,20718,22990,12818,21474
155,123,19862,22599,13063,22476
156,123,18877,24522,13657,20944
157,123,18483,23371,13893,22253
158,123,17565,22803,14016,23616
159,123,17786,24213,14081,21920
160,123,17633,24610,13943,21814
161,123,17744,23530,13562,23164
162,123,18472,24477,13376,21675
163,123,19053,25107,13245,20595
164,123,19000,25209,13041,20750
165,123,19171,25257,13208,20364
166,123,18908,26525,12725,19842
167,123,18766,26492,12734,20008
168,123,17849,24370,14117,21664
169,123,17573,23319,14645,22463
170,123,17522,23281,14740,22457
171,123,17587,22901,14755,22757
172,123,17622,24027,14262,22089
173,123,17774,24030,14166,22030
174,123,17349,24621,14154,21876
175,123,17504,24896,14124,21476
176,123,16284,26786,15161,19769
177,123,16151,28023,15231,18595
178,123,16265,28010,15415,18310
179,123,16984,25988,14891,20137
180,123,16904,26006,14746,20344
181,123,16389,27885,15213,18513
182,123,16378,27921,15227,18474
183,123,16520,27832,15193,18455
184,123,16417,27982,15067,18534
185,123,16436,28012,14838,18714
186,123,15701,29981,15309,17009
187,123,16736,32096,13822,15346
188,123,16864,31447,13505,16184
189,123,16857,31821,13395,15927
190,123,16290,30588,13840,17282
191,123,16020,31976,13924,16080
192,123,16248,32669,13872,15211
193,123,16347,32667,13948,15038
194,123,15630,31435,14571,16364
195,123,15346,30598,14763,17293
196,123,14539,28534,15729,19198
197,123,14546,29559,16038,17857
198,123,14753,27979,16653,18615
199,123,14648,27823,16776,18753
200,123,14600,27147,16639,19614
201,123,14859,28537,15631,18973
202,123,14908,28504,15644,18944
203,123,13660,30599,16504,17237
204,123,13585,30551,16561,17303
205,123,13667,30581,16504,17248
206,123,13381,31175,16317,17127
207,123,13834,32724,15752,15690
208,123,13868,32363,15928,15841
209,123,13958,31892,16166,15984
210,123,14671,29613,16099,17617
211,123,13680,28400,16770,19150
212,123,13442,29888,16339,18331
213,123,13405,29708,16366,18521
214,123,13151,30733,16255,17861
215,123,13004,29325,17102,18569
216,123,12824,29335,17123,18718
217,123,12987,29464,17177,18372
218,123,12923,29253,17053,18771
219,123,13044,28369,16838,19749
220,123,13188,28515,16784,19513
221,123,13171,28255,16816,19758
222,123,13155,29100,16679,19066
223,123,12984,29081,16628,19307
224,123,12104,31575,17247,17074
225,123,11996,31379,17056,17569
226,123,12081,32816,16920,16183
227,123,12136,32039,16771,17054
228,123,12056,31492,16935,17517
229,123,11978,31296,17067,17659
230,123,11772,32596,17187,16445
231,123,12286,33741,16685,15288
232,123,12188,33780,16694,15338
233,123,10798,36062,17427,13713
234,123,10738,35978,17498,13786
235,123,10765,36796,17066,13373
236,123,10943,37576,16494,12987
237,123,10726,38435,16688,12151
238,123,11640,36724,16342,13294
239,123,11752,35878,16242,14128
240,123,11738,36959,15891,13412
241,123,11857,35542,16314,14287
242,123,11464,34440,16681,15415
243,123,12047,33688,16532,15733
244,123,12061,33725,16306,15908
245,123,12123,33600,16583,15694
246,123,11952,34610,16498,14940
247,123,12014,34538,16526,14922
248,123,12939,32558,16060,16443
249,123,12600,33202,16535,15663
250,123,13515,31736,16011,16738
251,123,13419,31732,15946,16903
252,123,13860,30478,15554,18108
253,123,13960,28918,15468,19654
254,123,13908,29071,15593,19428
255,123,13769,30330,15724,18177
256,123,14013,30419,15737,17831
257,123,13378,29329,15992,19301
258,123,13224,28625,16038,20113
259,123,13061,28661,16046,20232
260,123,13736,30509,15270,18485
261,123,13778,30646,15296,18280
262,123,13830,31914,14703,17553
263,123,13646,30836,14775,18743
264,123,13782,31943,14533,17742
265,123,13969,30706,14612,18713
266,123,13840,29089,14856,20215
267,123,13870,30096,14941,19093
