round,seed,defect,coop,exploit,exploit_
1,990,19366,29419,17060,12155
2,990,19340,29412,17057,12191
3,990,18549,30695,16359,12397
4,990,18418,30845,16292,12445
5,990,19356,29390,17244,12010
6,990,19443,29467,17184,11906
7,990,18674,30153,16849,12324
8,990,18807,29799,17025,12369
9,990,19548,28696,17055,12701
10,990,17706,30994,15739,13561
11,990,17768,30849,15748,13635
12,990,19817,28677,16326,13180
13,990,18370,30583,15869,13178
14,990,18865,29793,15714,13628
15,990,20485,28057,16681,12777
16,990,20635,28011,16570,12784
17,990,21990,26432,16852,12726
18,990,23164,25563,16199,13074
19,990,20713,27804,15628,13855
20,990,21344,27552,15100,14004
21,990,22423,26052,15504,14021
22,990,23112,25371,15504,14013
23,990,24366,23775,15502,14357
24,990,24786,23551,15210,14453
25,990,27182,21504,14254,15060
26,990,26373,22067,14713,14847
27,990,24757,23762,14080,15401
28,990,24829,23628,14024,15519
29,990,25871,22214,14448,15467
30,990,25750,22448,14370,15432
31,990,24897,23603,14410,15090
32,990,23945,24224,14806,15025
33,990,24250,24124,14808,14818
34,990,22863,24745,14908,15484
35,990,22055,25465,14635,15845
36,990,20101,27425,14430,16044
37,990,19126,28452,15075,15347
38,990,17354,30448,14438,15760
39,990,15826,32543,14676,14955
40,990,16636,31622,15086,14656
41,990,16630,31579,15114,14677
42,990,16331,31972,14862,14835
43,990,16466,32056,14742,14736
44,990,16751,31494,14861,14894
45,990,16570,31896,14764,14770
46,990,17060,31388,14921,14631
47,990,16956,31651,14799,14594
48,990,17733,30686,14410,15171
49,990,17628,30877,14394,15101
50,990,18947,29838,14492,14723
51,990,17659,31373,14812,14156
52,990,18355,30924,14759,13962
53,990,17956,31270,14774,14000
54,990,18769,29766,14783,14682
55,990,19860,29014,14636,14490
56,990,19549,29327,14633,14491
57,990,19830,29134,14652,14384
58,990,20019,28831,14631,14519
59,990,19305,30036,14732,13927
60,990,20154,28949,14552,14345
61,990,18098,31174,14668,14060
62,990,17079,32205,15048,13668
63,990,17219,32241,14981,13559
64,990,17243,32188,14939,13630
65,990,15648,33910,15075,13367
66,990,16069,33585,14916,13430
67,990,14344,36120,14984,12552
68,990,14760,35361,15495,12384
69,990,15429,34173,15882,12516
70,990,15362,34554,15672,12412
71,990,13409,37008,15454,12129
72,990,12077,38246,15079,12598
73,990,12559,38068,14957,12416
74,990,11886,39115,14582,12417
75,990,11656,39725,14443,12176
76,990,11412,39626,14662,12300
77,990,12168,38531,14775,12526
78,990,11934,38856,14796,12414
79,990,11714,39436,14655,12195
80,990,12504,38022,15226,12248
81,990,12356,38124,15182,12338
82,990,12551,38215,15130,12104
83,990,14190,35290,14945,13575
84,990,14536,35387,14765,13312
85,990,14207,35906,14581,13306
86,990,16369,33266,14754,13611
87,990,15363,35021,14162,13454
88,990,17321,31975,14207,14497
89,990,18328,31188,13805,14679
90,990,18810,30275,13908,15007
91,990,20269,28938,13413,15380
92,990,20633,28417,13507,15443
93,990,21934,27282,13535,15249
94,990,20175,29139,13655,15031
95,990,19478,30105,13519,14898
96,990,19319,29982,13727,14972
97,990,17950,31547,13835,14668
98,990,17862,31663,13801,14674
99,990,18478,31022,13693,14807
100,990,17525,32245,13928,14302
101,990,17352,32453,13820,14375
102,990,16883,32511,13988,14618
103,990,16822,32876,13924,14378
104,990,15798,33877,13372,14953
105,990,16476,33196,13225,15103
