,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,16741807,7249,0.215,0.093
1,1024,defect,32628440,9078,0.418,0.116
2,1024,exploitation,28629753,2489,0.367,0.032
3000,128,coop,35838214,10205,0.459,0.131
3001,128,defect,14804559,8107,0.19,0.104
3002,128,exploitation,27357227,2594,0.351,0.033
6000,16,coop,29342214,7520,0.376,0.097
6001,16,defect,18777118,6462,0.241,0.083
6002,16,exploitation,29880668,2424,0.383,0.031
9000,256,coop,26837175,8215,0.344,0.105
9001,256,defect,22409253,8465,0.287,0.108
9002,256,exploitation,28753572,1652,0.368,0.021
12000,2,coop,37496640,8622,0.481,0.111
12001,2,defect,13441836,6461,0.172,0.083
12002,2,exploitation,27061524,2434,0.347,0.031
15000,32,coop,30225329,10341,0.388,0.133
15001,32,defect,19593800,8974,0.251,0.115
15002,32,exploitation,28180871,2052,0.361,0.026
18000,4,coop,15805606,9959,0.202,0.128
18001,4,defect,35747781,12485,0.458,0.16
18002,4,exploitation,26446613,3099,0.339,0.04
21000,512,coop,21367658,7791,0.274,0.1
21001,512,defect,28307165,9203,0.363,0.118
21002,512,exploitation,28325177,1754,0.363,0.023
24000,64,coop,32661037,9509,0.419,0.122
24001,64,defect,16877393,9132,0.217,0.117
24002,64,exploitation,28461570,1006,0.365,0.013
27000,8,coop,20078014,5352,0.257,0.069
27001,8,defect,28725218,6236,0.368,0.08
27002,8,exploitation,29196768,1792,0.374,0.023
