,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,24487121,8259,0.314,0.106
1,1024,defect,24797676,9368,0.318,0.12
2,1024,exploitation,28715203,1924,0.368,0.025
3000,128,coop,29828505,8707,0.383,0.112
3001,128,defect,19724528,8535,0.253,0.109
3002,128,exploitation,28446967,1157,0.365,0.015
6000,16,coop,41484368,6004,0.532,0.077
6001,16,defect,10236558,4145,0.131,0.053
6002,16,exploitation,26279074,1929,0.337,0.025
9000,256,coop,33695265,8175,0.432,0.105
9001,256,defect,16581456,6805,0.213,0.087
9002,256,exploitation,27723279,1649,0.355,0.021
12000,2,coop,13271706,8412,0.17,0.108
12001,2,defect,38596348,10375,0.495,0.133
12002,2,exploitation,26131946,2358,0.335,0.03
15000,32,coop,30058072,9881,0.385,0.127
15001,32,defect,19728041,9588,0.253,0.123
15002,32,exploitation,28213887,1671,0.362,0.022
18000,4,coop,13990791,10699,0.179,0.137
18001,4,defect,37554155,15106,0.481,0.194
18002,4,exploitation,26455054,5128,0.339,0.066
21000,512,coop,27136276,5247,0.348,0.067
21001,512,defect,21850147,5045,0.28,0.065
21002,512,exploitation,29013577,773,0.372,0.01
24000,64,coop,24152415,12523,0.31,0.16
24001,64,defect,26333388,12438,0.338,0.16
24002,64,exploitation,27514197,2408,0.353,0.031
27000,8,coop,32861169,11264,0.421,0.144
27001,8,defect,17018935,8748,0.218,0.112
27002,8,exploitation,28119896,3314,0.36,0.043
