,C,C,D,D
,C,D,D,C
1,4539,1949,1610,1802
2,4613,1932,1561,1794
3,4541,1957,1568,1834
4,4456,1913,1617,1914
5,4383,1985,1686,1846
6,4346,2016,1675,1863
