,C,C,D,D
,C,D,C,D
1,4584,1935,1827,1554
2,4509,1961,1847,1583
3,4466,2014,1850,1570
4,4665,1906,1785,1544
5,4653,1916,1727,1604
6,4606,1978,1759,1557
