,Tit For Tat,Defector,Cooperator,Win-Stay Lose-Shift,GTFT: 0.33
0,10,10,10,10,10
1,10,10,10,10,10
2,10,11,9,10,10
3,9,11,9,11,10
4,9,11,10,11,9
5,9,12,10,11,8
6,9,12,11,11,7
7,9,11,12,11,7
8,9,12,11,11,7
9,8,12,12,11,7
10,8,13,11,11,7
11,8,14,11,10,7
12,8,13,12,10,7
13,8,13,12,10,7
14,8,13,12,9,8
15,8,13,11,9,9
16,8,14,10,9,9
17,8,14,10,10,8
18,8,15,10,9,8
19,8,15,9,10,8
20,7,15,9,10,9
21,7,15,10,10,8
22,7,14,11,10,8
23,7,15,11,9,8
24,7,15,11,10,7
25,8,14,11,10,7
26,9,14,10,10,7
27,9,15,9,10,7
28,9,16,8,10,7
29,8,17,8,10,7
30,9,17,8,9,7
31,9,17,8,9,7
32,9,17,8,10,6
33,9,17,8,10,6
34,10,17,7,10,6
35,10,17,8,9,6
36,10,17,7,10,6
37,11,16,7,10,6
38,11,16,7,11,5
39,12,16,6,11,5
40,12,17,5,11,5
41,12,17,5,11,5
42,12,17,5,12,4
43,12,16,5,13,4
44,12,16,5,13,4
45,12,15,5,13,5
46,11,16,5,13,5
47,12,16,4,13,5
48,13,16,4,13,4
49,13,16,4,13,4
50,13,15,4,14,4
