,Tit For Tat,Defector,Cooperator,Win-Stay Lose-Shift,GTFT: 0.33
0,10,10,10,10,10
1,9,10,10,11,10
2,10,10,9,11,10
3,10,10,10,10,10
4,11,10,10,9,10
5,10,10,11,9,10
6,10,11,10,9,10
7,11,10,10,9,10
8,11,10,9,9,11
9,11,10,9,9,11
10,10,10,9,9,12
11,10,11,8,9,12
12,11,11,7,9,12
13,11,11,7,8,13
14,10,11,7,8,14
15,10,11,7,7,15
16,10,11,7,7,15
17,10,11,6,7,16
18,10,11,6,7,16
19,10,11,7,7,15
20,10,11,7,8,14
21,10,10,7,8,15
22,10,9,7,8,16
23,10,9,7,8,16
24,11,8,7,8,16
25,12,8,6,8,16
26,13,8,6,7,16
27,13,7,6,8,16
28,14,7,6,8,15
29,14,7,6,8,15
30,14,7,6,8,15
31,13,8,6,8,15
32,14,8,6,8,14
33,13,8,6,8,15
34,13,8,5,9,15
35,14,8,5,9,14
36,14,8,6,8,14
37,13,8,6,8,15
38,13,8,6,8,15
39,13,7,6,8,16
40,14,6,6,8,16
41,15,6,6,8,15
42,14,6,6,8,16
43,13,6,6,8,17
44,13,6,6,8,17
45,13,6,6,8,17
46,14,6,6,7,17
47,14,6,6,7,17
48,14,6,6,7,17
49,14,7,5,7,17
50,14,7,5,7,17
