,GTFT: 0.33,Cooperator,Tit For Tat,Defector
317,14,6,13,7
318,13,7,13,7
319,13,6,14,7
320,13,6,14,7
321,13,6,13,8
322,14,6,13,7
323,15,5,13,7
324,14,5,13,8
325,13,5,14,8
326,14,5,14,7
327,15,5,13,7
328,15,5,12,8
329,15,6,12,7
330,15,6,11,8
331,15,7,11,7
332,14,7,11,8
333,14,7,11,8
334,14,8,11,7
335,14,9,10,7
336,14,9,9,8
337,14,9,10,7
338,15,8,10,7
339,16,8,9,7
340,15,9,9,7
341,15,8,9,8
342,15,7,10,8
343,15,7,10,8
344,15,7,11,7
345,14,8,11,7
346,13,9,11,7
347,13,9,11,7
348,13,9,11,7
349,12,9,12,7
350,12,8,13,7
351,12,7,14,7
352,12,6,15,7
353,11,6,15,8
354,10,6,16,8
355,10,6,16,8
356,10,6,17,7
357,10,7,16,7
358,10,7,15,8
359,11,7,14,8
360,11,8,13,8
361,11,8,13,8
362,11,8,13,8
363,11,8,13,8
364,11,7,14,8
365,10,7,15,8
366,10,7,15,8
367,11,6,15,8
368,12,6,15,7
369,11,6,15,8
370,10,6,16,8
371,11,6,15,8
372,11,6,15,8
373,12,6,14,8
374,12,6,15,7
375,13,6,15,6
376,13,7,15,5
377,13,7,14,6
378,12,8,14,6
379,11,8,14,7
380,12,7,14,7
381,12,7,14,7
382,13,7,13,7
383,12,8,13,7
384,13,8,12,7
385,13,8,12,7
386,12,9,12,7
387,12,8,12,8
388,12,8,12,8
389,11,8,12,9
390,11,8,12,9
391,12,8,11,9
392,11,8,11,10
393,11,8,11,10
394,11,7,11,11
395,10,8,11,11
396,10,8,11,11
397,9,9,11,11
398,9,9,10,12
399,9,10,10,11
400,9,10,11,10
401,9,9,12,10
402,8,10,12,10
403,7,10,13,10
404,8,9,13,10
405,7,9,14,10
406,8,9,13,10
407,8,10,12,10
408,8,10,13,9
409,8,11,12,9
410,8,11,12,9
411,7,12,12,9
412,7,13,12,8
413,7,13,12,8
414,8,13,11,8
415,8,13,11,8
416,8,13,11,8
417,7,13,12,8
418,6,14,12,8
419,6,14,13,7
420,6,13,14,7
421,6,14,13,7
422,7,14,12,7
423,7,14,11,8
424,7,13,11,9
425,7,13,11,9
426,6,13,11,10
427,6,13,10,11
428,6,13,10,11
429,6,14,10,10
430,5,14,10,11
431,5,13,10,12
