,GTFT: 0.33,Cooperator,Tit For Tat,Defector
0,10,10,10,10
1,10,9,10,11
2,10,9,9,12
3,10,10,9,11
4,10,9,10,11
5,10,10,9,11
6,10,10,9,11
7,10,11,9,10
8,11,10,9,10
9,11,11,8,10
10,11,11,8,10
11,12,11,7,10
12,11,11,7,11
13,11,11,7,11
14,11,11,7,11
15,11,11,6,12
16,11,11,6,12
17,10,11,6,13
18,10,10,6,14
19,9,10,7,14
20,8,11,7,14
21,8,10,8,14
22,8,9,8,15
23,8,10,7,15
24,8,10,7,15
25,8,11,7,14
26,8,11,6,15
27,8,11,6,15
28,7,11,6,16
29,7,11,6,16
30,8,10,6,16
31,8,11,6,15
32,8,10,6,16
33,8,10,6,16
34,9,10,5,16
35,8,10,6,16
36,8,10,6,16
37,8,10,5,17
38,8,10,4,18
39,9,10,4,17
40,10,10,4,16
41,9,11,4,16
42,8,11,4,17
43,8,10,4,18
44,8,9,4,19
45,8,9,4,19
46,9,9,4,18
47,10,9,4,17
48,10,9,4,17
49,11,9,3,17
50,11,8,4,17
51,12,8,4,16
52,12,8,3,17
53,13,8,3,16
54,14,7,3,16
55,14,7,3,16
56,14,7,3,16
57,13,7,3,17
58,13,7,3,17
59,14,7,3,16
60,15,7,3,15
61,14,7,4,15
62,14,6,4,16
63,14,7,3,16
64,14,7,3,16
65,13,7,3,17
66,14,6,3,17
67,13,6,3,18
68,13,6,4,17
69,13,6,4,17
70,13,6,3,18
71,13,6,3,18
72,12,7,3,18
73,12,7,3,18
74,12,7,3,18
75,12,7,3,18
76,11,7,4,18
77,11,8,4,17
78,11,9,4,16
79,11,10,4,15
80,11,10,4,15
81,11,10,4,15
82,11,11,4,14
83,10,11,5,14
84,10,11,5,14
85,9,11,5,15
86,9,10,5,16
87,9,9,5,17
88,9,9,4,18
89,9,9,4,18
90,9,9,3,19
91,9,9,3,19
92,9,8,3,20
93,9,8,3,20
94,9,8,3,20
95,9,9,3,19
96,9,9,3,19
97,10,9,3,18
98,11,9,3,17
99,11,9,3,17
100,11,9,2,18
101,12,9,2,17
102,12,10,2,16
103,13,10,2,15
104,13,10,2,15
105,13,10,2,15
106,14,9,2,15
107,14,9,2,15
108,13,10,2,15
109,13,9,2,16
110,12,10,2,16
111,12,10,2,16
112,12,10,2,16
113,12,10,3,15
114,12,10,4,14
115,12,11,4,13
116,13,11,3,13
117,12,11,3,14
118,12,11,3,14
119,12,11,3,14
120,12,10,3,15
121,11,11,3,15
122,11,12,2,15
123,11,12,3,14
124,10,12,4,14
125,9,12,4,15
126,10,12,3,15
127,10,12,4,14
128,10,13,4,13
129,11,13,3,13
130,12,13,3,12
131,12,13,3,12
132,12,13,3,12
133,11,14,3,12
134,12,14,3,11
135,11,14,3,12
136,11,14,3,12
137,12,13,3,12
138,12,13,3,12
139,12,14,3,11
140,13,13,3,11
141,13,13,3,11
142,13,12,3,12
143,13,11,3,13
144,14,10,3,13
145,13,10,3,14
146,12,10,3,15
147,12,10,3,15
148,13,9,3,15
149,13,8,3,16
150,13,7,3,17
151,13,6,3,18
152,12,6,4,18
153,12,6,5,17
154,12,6,5,17
155,13,6,5,16
156,13,6,5,16
157,12,6,6,16
158,12,6,7,15
159,12,5,7,16
160,13,5,7,15
161,14,5,7,14
162,15,5,6,14
163,14,5,6,15
164,15,4,6,15
165,15,3,6,16
166,15,4,6,15
167,15,4,6,15
168,14,4,6,16
169,13,4,6,17
170,13,4,5,18
171,12,4,6,18
172,12,4,6,18
173,12,4,7,17
174,13,4,7,16
175,14,3,7,16
176,15,3,7,15
177,14,3,7,16
178,14,3,8,15
179,15,3,7,15
180,16,3,7,14
181,16,3,7,14
182,16,3,7,14
183,16,4,6,14
184,16,4,5,15
185,16,4,5,15
186,16,4,5,15
187,15,4,5,16
188,15,4,5,16
189,15,4,5,16
190,14,4,6,16
191,14,4,6,16
192,13,4,7,16
193,13,4,7,16
194,14,4,7,15
195,13,4,8,15
196,14,4,7,15
197,13,5,7,15
198,14,4,7,15
199,13,4,7,16
200,12,4,7,17
201,12,3,7,18
202,12,3,7,18
203,11,3,8,18
204,11,3,8,18
205,11,3,8,18
206,12,3,7,18
207,13,3,6,18
208,13,3,7,17
209,13,3,7,17
210,12,3,8,17
211,12,3,7,18
212,12,3,7,18
213,13,3,7,17
214,13,3,7,17
215,13,3,8,16
216,13,3,9,15
217,13,3,8,16
218,14,3,7,16
219,15,3,7,15
220,14,3,7,16
221,13,3,7,17
222,13,3,7,17
223,13,3,6,18
224,13,3,7,17
225,13,3,7,17
226,14,3,7,16
227,15,3,6,16
228,15,3,7,15
229,16,3,7,14
230,16,3,8,13
231,17,3,7,13
232,17,2,7,14
233,17,2,7,14
234,17,2,8,13
235,18,2,8,12
236,17,2,9,12
237,17,2,9,12
238,17,2,9,12
239,17,2,9,12
240,17,3,9,11
241,16,3,9,12
242,15,3,10,12
243,16,2,10,12
244,16,2,11,11
245,17,2,11,10
246,17,2,11,10
247,18,2,11,9
248,17,2,11,10
249,18,2,11,9
250,17,2,12,9
251,17,3,11,9
252,17,3,11,9
253,17,3,12,8
254,17,2,13,8
255,17,2,12,9
256,17,2,12,9
257,17,3,11,9
258,17,3,11,9
259,16,3,11,10
260,16,3,11,10
261,17,3,10,10
262,18,3,10,9
263,19,3,10,8
264,19,3,10,8
265,19,3,9,9
266,20,2,9,9
267,19,2,10,9
268,19,2,11,8
269,18,2,12,8
270,17,2,13,8
271,18,2,13,7
272,18,2,12,8
273,18,2,11,9
274,18,2,11,9
275,19,2,10,9
276,20,2,10,8
277,19,3,10,8
278,18,3,11,8
279,18,3,11,8
280,18,3,12,7
281,19,2,12,7
282,19,2,12,7
283,19,2,12,7
284,18,2,12,8
285,19,2,11,8
286,18,2,11,9
287,19,2,10,9
288,18,2,10,10
289,17,2,10,11
290,17,2,10,11
291,17,2,11,10
292,16,3,11,10
293,15,3,12,10
294,14,3,12,11
295,13,3,12,12
296,13,3,12,12
297,13,3,12,12
298,13,3,12,12
299,13,3,13,11
300,13,3,14,10
301,13,3,14,10
302,12,3,15,10
303,12,3,15,10
304,12,3,15,10
305,11,3,15,11
306,11,3,15,11
307,10,3,16,11
308,10,3,17,10
309,9,3,18,10
310,8,4,18,10
311,8,4,18,10
312,8,4,18,10
313,9,4,17,10
314,8,4,18,10
315,7,4,19,10
316,7,4,20,9
317,6,4,21,9
318,6,4,20,10
319,6,4,21,9
320,5,4,22,9
321,5,4,21,10
322,5,4,22,9
323,5,3,23,9
324,4,3,23,10
325,4,3,23,10
326,4,3,24,9
327,5,3,23,9
328,5,3,22,10
329,5,4,22,9
330,5,4,21,10
331,5,4,21,10
332,5,4,20,11
333,5,4,20,11
334,5,4,20,11
335,5,5,19,11
336,5,5,18,12
337,5,5,19,11
338,5,5,20,10
339,5,5,20,10
340,4,6,20,10
341,4,5,20,11
342,4,4,21,11
343,4,4,21,11
344,4,4,22,10
345,4,5,21,10
346,4,6,20,10
347,5,6,19,10
348,5,6,19,10
349,5,6,19,10
350,6,5,19,10
351,7,4,19,10
352,8,3,19,10
353,7,3,19,11
354,8,3,18,11
355,9,3,17,11
