,Tit For Tat,Defector,Cooperator,Win-Stay Lose-Shift,GTFT: 0.33
0,10,10,10,10,10
1,10,10,10,10,10
2,10,10,10,10,10
3,10,10,10,11,9
4,10,10,10,10,10
5,10,9,10,11,10
6,10,9,9,11,11
7,10,9,9,11,11
8,10,10,8,11,11
9,11,10,7,11,11
10,11,10,7,10,12
11,11,10,7,10,12
12,11,10,7,10,12
13,12,10,6,10,12
14,12,10,6,10,12
15,11,10,6,10,13
16,11,10,6,9,14
17,11,11,5,9,14
18,10,11,5,9,15
19,10,12,5,9,14
20,11,12,5,9,13
21,11,12,5,9,13
22,10,12,5,9,14
23,9,12,6,9,14
24,9,12,6,9,14
25,9,12,7,9,13
26,10,12,6,9,13
27,10,13,6,8,13
28,10,13,6,8,13
29,11,13,6,8,12
30,11,12,6,9,12
31,11,12,6,9,12
32,11,12,6,10,11
33,10,13,6,10,11
34,9,14,6,10,11
35,8,14,6,10,12
36,9,13,6,10,12
37,8,13,7,10,12
38,7,14,7,10,12
39,7,14,7,10,12
40,6,15,7,10,12
41,6,14,7,10,13
42,7,14,6,10,13
43,7,14,7,9,13
44,7,14,7,9,13
45,7,13,7,10,13
46,8,12,7,10,13
47,9,11,7,10,13
48,9,12,7,9,13
49,9,13,7,9,12
50,9,12,7,10,12
