,Tit For Tat,Defector,Cooperator,Win-Stay Lose-Shift,GTFT: 0.33
0,10,10,10,10,10
1,10,10,9,11,10
2,9,11,9,11,10
3,9,12,9,10,10
4,8,12,9,10,11
5,8,13,9,10,10
6,8,12,9,10,11
7,8,12,10,9,11
8,8,11,11,9,11
9,8,12,10,9,11
10,8,12,11,9,10
11,8,11,12,9,10
12,8,12,12,8,10
13,8,12,11,8,11
14,8,13,10,8,11
15,8,13,10,8,11
16,8,13,10,8,11
17,8,13,9,8,12
18,8,13,10,8,11
19,8,13,10,8,11
20,7,14,10,8,11
21,7,15,10,7,11
22,7,15,11,6,11
23,8,14,11,6,11
24,8,15,10,6,11
25,8,15,10,7,10
26,8,15,9,7,11
27,8,14,9,8,11
28,7,14,10,8,11
29,7,14,10,9,10
30,8,13,10,9,10
31,8,14,10,9,9
32,8,14,10,9,9
33,8,14,10,10,8
34,9,14,9,10,8
35,9,14,9,11,7
36,8,14,9,12,7
37,8,13,9,13,7
38,8,13,8,13,8
39,8,14,8,12,8
40,8,14,8,12,8
41,7,15,8,12,8
42,8,14,8,12,8
43,8,13,8,13,8
44,8,13,8,13,8
45,8,13,8,13,8
46,9,12,8,13,8
47,9,12,8,13,8
48,8,12,9,13,8
49,9,12,8,13,8
50,9,12,9,13,7
