,GTFT: 0.33,Cooperator,Tit For Tat,Defector
0,10,10,10,10
1,10,10,10,10
2,9,10,11,10
3,9,10,11,10
4,9,11,10,10
5,9,11,10,10
6,9,10,11,10
7,9,10,11,10
8,9,11,10,10
9,10,10,10,10
10,10,11,9,10
11,11,10,9,10
12,11,9,9,11
13,10,9,9,12
14,10,9,9,12
15,11,9,8,12
16,11,8,9,12
17,11,8,9,12
18,11,8,9,12
19,10,8,9,13
20,10,8,9,13
21,11,8,9,12
22,11,8,8,13
23,12,8,7,13
24,12,8,7,13
25,12,8,7,13
26,11,8,8,13
27,10,9,8,13
28,9,9,9,13
29,9,9,8,14
30,9,9,8,14
31,9,9,8,14
32,8,9,9,14
33,8,9,9,14
34,8,9,9,14
35,8,9,10,13
36,8,8,11,13
37,8,8,11,13
38,8,8,11,13
39,8,8,11,13
40,7,8,12,13
41,6,8,13,13
42,6,8,13,13
43,5,8,13,14
44,5,8,14,13
45,5,7,14,14
46,6,7,14,13
47,6,7,14,13
48,5,7,15,13
49,5,7,16,12
50,6,7,16,11
51,6,7,16,11
52,6,6,17,11
53,6,6,18,10
54,6,5,19,10
55,6,5,18,11
56,6,5,18,11
57,6,5,19,10
58,6,5,19,10
59,6,4,20,10
60,6,4,20,10
61,6,5,20,9
62,6,5,20,9
63,6,6,20,8
64,6,6,20,8
65,6,5,21,8
66,5,6,21,8
67,5,6,20,9
68,5,6,20,9
69,4,6,21,9
70,4,6,21,9
71,4,7,20,9
72,4,7,19,10
73,3,7,19,11
74,3,7,19,11
75,3,6,20,11
76,4,6,20,10
77,4,7,19,10
78,4,7,18,11
79,4,7,18,11
80,3,7,19,11
81,3,7,19,11
82,3,7,20,10
83,3,7,20,10
84,3,6,21,10
85,3,6,20,11
86,3,6,20,11
87,3,6,20,11
88,3,6,20,11
89,4,6,19,11
90,4,5,20,11
91,4,5,21,10
92,4,4,21,11
93,4,4,21,11
94,4,4,21,11
95,4,4,22,10
96,4,4,22,10
97,4,4,21,11
98,4,4,22,10
99,4,4,23,9
100,4,3,24,9
101,4,3,24,9
102,4,3,24,9
103,4,3,24,9
104,4,3,24,9
105,4,3,24,9
106,4,3,23,10
107,4,4,22,10
108,4,4,21,11
109,4,4,22,10
110,3,4,22,11
111,3,3,22,12
112,3,3,22,12
113,3,4,21,12
114,3,4,21,12
115,3,4,21,12
116,3,4,22,11
117,3,5,22,10
118,3,6,21,10
119,3,7,20,10
120,3,7,21,9
121,3,7,21,9
122,3,6,21,10
123,3,6,20,11
124,3,6,20,11
125,3,5,21,11
126,3,5,20,12
127,3,5,20,12
128,3,5,19,13
129,3,4,20,13
130,2,4,21,13
131,2,5,21,12
132,2,4,22,12
133,2,4,22,12
134,2,4,21,13
135,3,4,21,12
136,4,4,20,12
137,4,4,19,13
138,4,4,20,12
139,4,4,19,13
140,4,4,20,12
141,4,4,20,12
142,4,4,20,12
143,4,5,19,12
144,3,5,20,12
145,3,5,21,11
146,3,5,21,11
147,3,5,22,10
148,3,6,21,10
149,3,6,20,11
150,3,6,20,11
151,3,6,20,11
152,4,6,19,11
153,4,6,19,11
154,4,6,19,11
155,3,6,20,11
156,3,7,20,10
157,3,7,21,9
158,3,8,21,8
159,2,8,21,9
160,2,8,21,9
161,3,8,20,9
162,4,8,20,8
163,4,8,19,9
164,3,8,19,10
165,3,8,20,9
166,3,7,20,10
167,3,7,20,10
168,3,7,20,10
169,3,6,20,11
170,3,7,19,11
171,3,6,20,11
172,3,6,19,12
173,3,7,18,12
174,3,7,18,12
175,3,7,17,13
176,3,7,17,13
177,3,8,16,13
178,4,7,16,13
179,4,7,15,14
180,4,7,14,15
181,4,7,15,14
182,4,7,15,14
183,4,7,14,15
184,4,7,14,15
185,4,7,13,16
186,5,6,13,16
187,6,6,13,15
188,6,6,13,15
189,6,6,12,16
190,6,6,12,16
191,6,6,12,16
192,6,6,13,15
193,6,7,12,15
194,6,8,11,15
195,6,7,11,16
196,6,7,12,15
197,6,8,11,15
198,6,8,11,15
199,6,8,11,15
200,6,8,11,15
201,6,9,10,15
202,6,10,9,15
203,6,10,9,15
204,6,10,9,15
205,7,10,9,14
206,7,11,9,13
207,7,12,8,13
208,8,11,8,13
209,8,12,7,13
210,8,12,7,13
211,8,13,6,13
212,9,13,6,12
213,9,13,6,12
214,9,14,5,12
215,10,13,5,12
216,10,14,5,11
217,11,13,5,11
218,11,13,4,12
219,11,13,4,12
220,11,14,4,11
221,10,15,4,11
222,9,15,4,12
223,9,15,4,12
224,9,15,4,12
225,8,16,4,12
226,9,16,4,11
227,9,16,4,11
228,9,16,4,11
229,9,15,5,11
230,9,15,5,11
231,9,16,5,10
232,8,17,5,10
233,8,17,5,10
234,7,17,5,11
235,7,18,5,10
236,7,18,6,9
237,7,17,6,10
238,7,17,5,11
239,7,18,4,11
240,6,19,4,11
241,6,20,4,10
242,5,20,4,11
243,5,20,4,11
244,4,20,4,12
245,4,21,4,11
246,4,20,4,12
247,4,20,4,12
248,3,21,4,12
249,4,20,4,12
250,4,21,4,11
251,4,21,4,11
252,3,22,4,11
253,3,21,4,12
254,3,21,4,12
255,3,21,4,12
256,3,20,5,12
257,3,20,5,12
258,3,20,5,12
259,3,21,5,11
260,3,22,5,10
261,3,23,5,9
262,3,22,5,10
263,4,22,5,9
264,4,22,5,9
265,4,22,5,9
266,5,21,5,9
267,5,20,5,10
268,5,21,5,9
269,5,21,5,9
270,5,20,5,10
271,5,20,6,9
272,5,20,6,9
273,5,20,6,9
274,5,19,7,9
275,5,19,7,9
276,4,19,7,10
277,4,19,7,10
278,4,19,7,10
279,4,20,6,10
280,4,21,5,10
281,3,22,5,10
282,3,22,5,10
283,3,21,5,11
284,3,21,5,11
285,4,21,5,10
286,4,21,5,10
287,4,20,5,11
288,4,20,5,11
289,3,20,5,12
290,3,20,5,12
291,3,19,5,13
292,2,20,5,13
293,2,20,5,13
294,2,20,5,13
295,2,20,5,13
296,2,19,5,14
297,2,20,5,13
298,2,21,4,13
299,2,22,4,12
300,2,23,3,12
301,3,22,3,12
302,3,21,3,13
303,3,20,3,14
304,3,20,3,14
305,3,20,3,14
306,3,21,2,14
307,4,21,2,13
308,4,21,2,13
309,4,21,2,13
310,4,21,2,13
311,4,20,2,14
312,4,20,2,14
313,4,20,2,14
314,4,20,2,14
315,3,20,3,14
316,3,20,3,14
317,3,21,3,13
318,3,21,3,13
319,3,21,3,13
320,3,21,3,13
321,3,20,3,14
322,3,20,3,14
