,GTFT: 0.33,Cooperator,Tit For Tat,Defector
0,10,10,10,10
1,10,10,10,10
2,11,9,10,10
3,11,8,10,11
4,11,8,10,11
5,11,8,10,11
6,11,9,10,10
7,11,9,10,10
8,11,8,10,11
9,12,7,10,11
10,13,7,10,10
11,13,7,10,10
12,13,7,9,11
13,14,7,9,10
14,14,7,9,10
15,14,8,8,10
16,14,8,8,10
17,15,8,7,10
18,16,8,7,9
19,16,8,7,9
20,16,8,6,10
21,16,8,5,11
22,17,8,4,11
23,18,7,4,11
24,17,7,4,12
25,18,7,4,11
26,17,7,4,12
27,17,8,4,11
28,17,8,4,11
29,16,9,4,11
30,17,8,4,11
31,17,8,4,11
32,16,8,4,12
33,16,8,4,12
34,16,7,4,13
35,17,7,4,12
36,17,7,4,12
37,17,7,4,12
38,18,7,4,11
39,19,7,3,11
40,19,8,3,10
41,19,8,2,11
42,18,8,3,11
43,18,9,2,11
44,17,9,2,12
45,16,9,2,13
46,17,8,2,13
47,18,8,2,12
48,17,9,2,12
49,16,10,2,12
50,16,10,2,12
51,16,10,3,11
52,16,9,3,12
53,15,9,3,13
54,14,10,3,13
55,14,10,3,13
56,15,10,3,12
57,16,9,3,12
58,16,10,3,11
59,15,10,3,12
60,15,10,3,12
61,15,9,3,13
62,15,9,3,13
63,16,8,3,13
64,16,8,2,14
65,16,8,2,14
66,17,8,2,13
67,16,9,2,13
68,15,9,2,14
69,15,10,2,13
70,16,10,1,13
71,15,10,1,14
72,14,10,2,14
73,14,10,2,14
74,14,10,2,14
75,13,10,3,14
76,14,10,3,13
77,15,10,3,12
78,15,9,3,13
79,15,8,4,13
80,14,8,4,14
81,14,9,4,13
82,14,9,4,13
83,14,9,4,13
84,14,9,4,13
85,15,9,3,13
86,15,10,3,12
87,16,10,3,11
88,16,10,3,11
89,17,10,3,10
90,17,10,3,10
91,16,10,3,11
92,15,10,3,12
93,14,10,3,13
94,14,10,2,14
95,13,10,3,14
96,13,10,3,14
97,13,9,3,15
98,13,9,3,15
99,13,9,3,15
100,13,10,3,14
101,12,11,3,14
102,12,11,3,14
103,12,11,2,15
104,11,12,2,15
105,11,12,2,15
106,10,12,2,16
107,9,13,2,16
108,9,13,2,16
109,9,13,2,16
110,9,13,2,16
111,8,14,2,16
112,8,14,2,16
113,8,14,2,16
114,9,14,2,15
115,9,13,2,16
116,10,12,2,16
117,10,12,2,16
118,11,12,2,15
119,11,11,2,16
120,11,11,2,16
121,12,11,1,16
122,12,11,1,16
123,12,11,1,16
124,13,11,1,15
125,13,11,1,15
126,13,11,1,15
127,13,11,1,15
128,14,11,1,14
129,14,10,1,15
130,13,10,1,16
131,12,11,1,16
132,11,12,1,16
133,11,13,1,15
134,11,14,1,14
135,10,15,1,14
136,10,14,1,15
137,9,14,1,16
138,9,15,1,15
139,8,16,1,15
140,8,15,1,16
141,8,14,2,16
142,8,14,2,16
143,8,15,2,15
144,7,15,2,16
145,6,15,2,17
146,5,15,2,18
147,4,15,3,18
148,4,14,3,19
149,4,14,3,19
150,4,14,3,19
151,4,14,4,18
152,4,14,4,18
153,5,14,4,17
154,5,14,5,16
155,5,13,5,17
156,6,13,5,16
157,6,13,6,15
158,6,12,6,16
159,6,12,6,16
160,6,12,7,15
161,6,12,6,16
162,6,12,5,17
163,6,12,5,17
164,6,12,5,17
165,6,11,6,17
166,6,11,6,17
167,6,12,6,16
168,6,13,5,16
169,6,13,5,16
170,7,13,4,16
171,7,12,5,16
172,7,12,5,16
173,8,11,5,16
174,8,11,5,16
175,8,10,5,17
176,7,10,5,18
177,7,10,5,18
178,7,11,5,17
179,7,11,5,17
180,7,10,5,18
181,7,10,5,18
182,7,10,5,18
183,7,10,5,18
184,7,10,5,18
185,7,9,5,19
186,7,8,5,20
187,7,8,6,19
188,6,8,7,19
189,7,8,7,18
190,6,8,7,19
191,6,8,6,20
192,6,8,6,20
193,7,8,6,19
194,7,8,7,18
195,7,9,7,17
196,7,9,6,18
197,7,10,5,18
198,7,10,5,18
199,7,10,6,17
200,7,9,7,17
201,7,9,7,17
202,7,8,7,18
203,7,8,7,18
204,7,8,7,18
205,6,8,8,18
206,5,8,8,19
207,5,8,8,19
208,6,8,7,19
209,6,9,7,18
210,7,9,7,17
211,7,8,8,17
212,7,8,8,17
213,8,7,8,17
214,8,8,7,17
215,8,8,7,17
216,8,8,7,17
217,8,8,7,17
218,8,8,8,16
219,8,8,8,16
220,8,8,8,16
221,9,7,8,16
222,9,7,8,16
223,9,6,8,17
224,9,6,8,17
225,8,6,8,18
226,8,6,9,17
227,9,6,8,17
228,9,6,8,17
229,9,6,7,18
230,8,6,7,19
231,8,6,7,19
232,8,5,7,20
233,8,5,7,20
234,7,5,8,20
235,8,4,8,20
236,8,4,7,21
237,9,4,7,20
238,9,4,8,19
239,9,4,7,20
240,10,4,7,19
241,10,4,8,18
242,9,5,8,18
243,9,5,8,18
244,9,5,8,18
245,9,5,7,19
246,9,5,7,19
247,9,6,7,18
248,9,6,6,19
249,10,6,6,18
250,10,6,6,18
251,11,6,6,17
252,12,6,6,16
253,12,6,6,16
254,11,6,6,17
255,11,6,6,17
256,11,6,7,16
257,11,6,8,15
258,11,6,8,15
259,11,5,8,16
260,11,5,8,16
261,11,4,9,16
262,11,4,10,15
263,11,4,9,16
264,11,5,8,16
265,12,5,8,15
266,12,5,7,16
267,12,4,7,17
268,13,3,7,17
269,13,3,7,17
270,12,3,7,18
271,12,4,7,17
272,11,4,7,18
273,11,5,7,17
274,10,5,7,18
275,10,4,7,19
276,9,4,7,20
277,10,4,6,20
278,10,4,5,21
279,10,4,6,20
280,10,5,6,19
281,10,5,5,20
282,10,5,4,21
283,10,5,4,21
284,11,5,4,20
285,11,5,4,20
286,10,5,5,20
287,10,5,6,19
288,9,5,6,20
289,9,6,6,19
290,9,6,6,19
291,10,6,6,18
292,10,5,7,18
293,9,5,7,19
294,9,5,7,19
295,10,4,7,19
296,11,4,7,18
297,11,4,8,17
298,11,4,8,17
299,11,4,7,18
300,11,4,6,19
301,11,4,6,19
302,11,4,7,18
303,11,4,8,17
304,11,4,8,17
305,11,4,8,17
306,12,3,8,17
307,12,3,7,18
308,11,3,8,18
309,11,3,8,18
310,12,3,8,17
311,11,3,8,18
312,11,3,9,17
313,11,3,10,16
314,12,3,10,15
315,11,3,11,15
316,12,3,10,15
317,12,3,10,15
318,13,3,10,14
319,13,3,10,14
320,14,3,9,14
321,13,3,9,15
322,14,3,8,15
