,Tit For Tat,Defector,Cooperator,Win-Stay Lose-Shift,GTFT: 0.33
0,10,10,10,10,10
1,10,10,10,10,10
2,10,9,11,10,10
3,10,10,11,9,10
4,10,10,12,8,10
5,9,10,13,8,10
6,9,9,14,8,10
7,9,9,15,7,10
8,10,9,14,7,10
9,10,9,13,8,10
10,10,9,13,8,10
11,10,9,13,9,9
12,10,9,13,10,8
13,10,8,13,11,8
14,10,8,13,11,8
15,10,8,13,11,8
16,10,8,13,11,8
17,9,8,14,11,8
18,9,8,13,12,8
19,9,7,14,12,8
20,9,6,15,12,8
21,9,6,15,12,8
22,8,7,15,12,8
23,8,6,15,13,8
24,8,6,15,13,8
25,8,6,14,14,8
26,8,6,15,13,8
27,9,6,15,12,8
28,10,6,15,12,7
29,10,6,16,12,6
30,11,6,16,12,5
31,11,6,15,13,5
32,11,7,15,12,5
33,11,7,15,12,5
34,11,7,15,12,5
35,12,7,14,12,5
36,11,7,14,12,6
37,11,7,14,12,6
38,12,7,14,12,5
39,12,6,15,12,5
40,12,6,15,12,5
41,11,6,15,13,5
42,11,6,15,12,6
43,11,6,14,12,7
44,11,6,14,13,6
45,11,6,14,14,5
46,11,6,14,15,4
47,11,6,15,15,3
48,11,6,15,15,3
49,10,6,15,15,4
50,11,6,14,15,4
