,Tit For Tat,Defector,Cooperator,Win-Stay Lose-Shift,GTFT: 0.33
0,10,10,10,10,10
1,10,10,9,11,10
2,10,11,8,11,10
3,10,11,8,12,9
4,10,11,8,12,9
5,11,10,8,12,9
6,11,9,8,13,9
7,12,9,8,12,9
8,12,9,8,11,10
9,12,8,9,11,10
10,12,8,9,11,10
11,12,9,8,11,10
12,12,9,8,11,10
13,12,10,8,10,10
14,11,10,8,11,10
15,11,11,7,11,10
16,10,11,8,11,10
17,11,10,8,11,10
18,11,10,8,12,9
19,11,10,8,12,9
20,11,10,8,12,9
21,10,10,8,13,9
22,10,10,8,14,8
23,10,10,8,14,8
24,11,10,8,13,8
25,11,10,9,13,7
26,10,10,9,14,7
27,10,10,9,14,7
28,9,11,9,14,7
29,9,10,10,14,7
30,10,9,10,14,7
31,10,9,10,14,7
32,11,8,10,14,7
33,11,8,10,14,7
34,11,8,10,14,7
35,11,7,10,14,8
36,11,6,10,15,8
37,11,5,11,15,8
38,11,5,10,15,9
39,12,4,10,15,9
40,12,4,10,15,9
41,12,4,10,15,9
42,12,4,10,15,9
43,12,4,10,16,8
44,13,4,10,15,8
45,12,4,11,15,8
46,13,4,11,15,7
47,12,5,11,15,7
48,12,5,11,15,7
49,12,5,10,15,8
50,11,5,10,16,8
