,GTFT: 0.33,Cooperator,Tit For Tat,Defector
0,10,10,10,10
1,10,10,10,10
2,10,9,11,10
3,10,10,11,9
4,10,10,11,9
5,10,11,10,9
6,10,10,10,10
7,10,10,9,11
8,10,10,9,11
9,10,10,8,12
10,10,11,8,11
11,10,11,8,11
12,10,11,8,11
13,10,11,8,11
14,10,11,7,12
15,9,11,7,13
16,10,11,7,12
17,9,12,7,12
18,9,12,7,12
19,10,12,6,12
20,10,13,6,11
21,10,14,6,10
22,10,14,6,10
23,10,15,6,9
24,10,15,5,10
25,10,15,5,10
26,11,15,5,9
27,11,15,5,9
28,10,16,5,9
29,10,15,5,10
30,11,14,5,10
31,12,13,5,10
32,12,13,5,10
33,12,14,4,10
34,12,14,4,10
35,11,15,4,10
36,11,15,5,9
37,12,14,5,9
38,12,13,5,10
39,12,13,6,9
40,12,14,6,8
41,12,14,6,8
42,12,14,6,8
43,11,15,6,8
44,11,14,6,9
45,10,15,6,9
46,10,16,6,8
47,10,16,6,8
48,10,16,5,9
49,10,15,5,10
50,9,15,6,10
51,8,15,6,11
52,8,15,6,11
53,7,16,6,11
54,7,15,6,12
55,7,16,6,11
56,6,17,6,11
57,6,17,7,10
58,6,16,7,11
59,5,16,8,11
60,5,16,8,11
61,5,17,8,10
62,5,17,8,10
63,5,18,8,9
64,5,17,9,9
65,4,18,9,9
66,4,18,9,9
67,4,18,9,9
68,4,19,8,9
69,4,19,8,9
70,4,19,8,9
71,5,19,8,8
72,5,18,8,9
73,5,18,8,9
74,5,18,7,10
75,5,17,7,11
76,5,18,7,10
77,5,19,6,10
78,6,19,6,9
79,6,18,6,10
80,7,17,6,10
81,7,17,6,10
82,7,17,5,11
83,6,17,5,12
84,5,18,5,12
85,5,18,4,13
86,5,19,4,12
87,4,19,4,13
88,4,20,4,12
89,4,21,3,12
90,4,20,4,12
91,4,20,4,12
92,4,21,3,12
93,4,21,3,12
94,4,20,3,13
95,4,21,3,12
96,4,21,4,11
97,4,20,4,12
98,4,21,4,11
99,4,21,4,11
100,4,21,4,11
101,4,22,4,10
102,4,23,4,9
103,4,22,4,10
104,4,23,4,9
105,3,24,4,9
106,3,23,5,9
107,3,23,5,9
108,2,24,5,9
109,2,23,5,10
110,2,22,5,11
111,2,21,5,12
112,2,21,5,12
113,2,21,5,12
114,2,20,6,12
115,2,20,6,12
116,2,19,6,13
117,2,18,6,14
118,2,18,5,15
119,3,18,4,15
120,3,17,4,16
121,2,17,5,16
122,2,16,5,17
123,2,16,5,17
124,2,17,5,16
125,2,17,6,15
126,2,17,6,15
127,2,17,6,15
128,2,17,6,15
129,2,18,6,14
130,3,17,6,14
131,3,17,7,13
132,3,17,7,13
133,3,18,7,12
134,3,17,7,13
135,3,17,7,13
136,2,18,7,13
137,3,17,7,13
138,3,17,7,13
139,3,17,6,14
140,3,17,6,14
141,3,17,6,14
142,3,18,6,13
143,3,19,6,12
144,3,19,6,12
145,2,19,7,12
146,1,20,7,12
147,1,21,7,11
148,1,21,7,11
149,1,22,7,10
150,1,22,8,9
151,1,21,9,9
152,1,21,10,8
153,1,21,10,8
154,1,22,10,7
155,1,23,10,6
156,1,23,10,6
157,1,23,10,6
158,1,22,10,7
159,1,23,10,6
160,1,23,10,6
161,1,23,10,6
162,1,24,9,6
163,2,23,9,6
164,2,22,9,7
165,2,21,10,7
166,2,21,10,7
167,2,20,10,8
168,3,20,10,7
169,3,20,10,7
170,3,20,10,7
171,3,21,9,7
172,3,22,9,6
173,3,23,8,6
174,3,23,8,6
175,3,23,8,6
176,3,24,7,6
177,2,24,7,7
178,2,24,7,7
179,2,25,7,6
180,2,25,7,6
181,2,25,7,6
182,2,24,7,7
183,2,24,8,6
184,2,23,9,6
185,2,24,8,6
186,3,23,8,6
187,3,22,8,7
188,3,22,8,7
189,3,21,9,7
190,3,22,8,7
191,3,22,8,7
192,3,21,9,7
193,3,20,10,7
194,3,19,10,8
195,3,20,10,7
196,3,20,10,7
197,3,20,10,7
198,3,20,10,7
199,3,19,10,8
200,3,19,11,7
201,3,19,10,8
202,3,19,11,7
203,2,19,11,8
204,2,19,12,7
205,2,19,12,7
206,2,19,13,6
207,1,20,13,6
208,1,19,14,6
209,1,18,15,6
210,1,17,16,6
211,1,16,16,7
212,1,15,17,7
213,2,14,17,7
214,2,14,17,7
215,2,14,17,7
216,1,14,18,7
217,1,13,19,7
218,1,14,19,6
219,1,15,18,6
220,1,16,17,6
221,1,16,17,6
222,1,17,16,6
223,1,17,16,6
224,1,17,15,7
225,1,16,16,7
226,1,16,17,6
227,1,17,16,6
228,1,16,16,7
229,1,17,16,6
230,1,17,15,7
231,1,17,14,8
232,2,17,14,7
233,2,16,14,8
234,2,16,13,9
235,2,16,13,9
236,2,17,12,9
237,2,16,12,10
238,2,16,12,10
239,2,16,13,9
240,1,17,13,9
241,1,18,12,9
242,1,19,11,9
243,1,19,11,9
244,1,18,12,9
245,1,19,12,8
246,1,20,12,7
247,1,21,11,7
248,1,21,11,7
249,1,20,12,7
250,2,20,11,7
251,2,19,11,8
252,3,18,11,8
253,3,17,12,8
254,3,18,11,8
255,3,19,11,7
256,3,19,11,7
257,3,19,11,7
258,3,20,11,6
259,3,21,10,6
260,4,21,9,6
261,3,22,9,6
262,4,22,9,5
263,4,22,9,5
264,4,21,10,5
265,4,21,10,5
266,4,20,11,5
267,4,19,11,6
268,4,19,11,6
269,4,19,11,6
270,4,19,10,7
271,4,19,10,7
272,4,19,10,7
273,3,19,10,8
274,3,20,9,8
275,3,21,8,8
276,3,20,9,8
277,3,20,9,8
278,3,21,8,8
279,3,20,9,8
280,3,20,9,8
281,3,19,10,8
282,3,19,10,8
283,3,20,9,8
284,3,20,9,8
285,3,20,9,8
286,3,20,10,7
287,3,20,10,7
288,3,21,9,7
289,3,21,10,6
290,3,22,10,5
291,3,23,10,4
292,3,23,10,4
293,3,23,9,5
294,3,22,10,5
295,3,23,9,5
296,3,24,8,5
297,3,23,9,5
298,3,24,9,4
299,3,23,10,4
300,3,24,9,4
301,3,23,9,5
302,4,23,9,4
303,4,23,9,4
304,3,23,9,5
305,3,22,10,5
306,3,22,9,6
307,3,21,10,6
308,3,21,10,6
309,3,20,10,7
310,4,19,10,7
311,4,20,9,7
312,4,20,9,7
313,4,19,10,7
314,5,19,10,6
315,5,19,10,6
316,6,19,10,5
317,6,19,10,5
318,6,18,10,6
319,6,18,10,6
320,6,17,11,6
321,6,16,12,6
322,6,16,11,7
