,GTFT: 0.33,Cooperator,Tit For Tat,Defector
0,10,10,10,10
1,10,10,10,10
2,10,10,10,10
3,10,10,10,10
4,11,10,10,9
5,12,9,10,9
6,12,9,10,9
7,11,9,10,10
8,10,9,10,11
9,10,10,9,11
10,10,10,8,12
11,9,10,9,12
12,9,11,9,11
13,9,10,9,12
14,9,10,8,13
15,8,10,8,14
16,8,9,9,14
17,7,9,10,14
18,7,10,10,13
19,7,11,9,13
20,6,11,9,14
21,6,11,8,15
22,6,11,9,14
23,6,12,9,13
24,5,12,9,14
25,6,11,9,14
26,6,11,9,14
27,7,11,9,13
28,7,11,9,13
29,7,11,10,12
30,7,12,9,12
31,7,12,9,12
32,7,12,10,11
33,7,11,11,11
34,8,10,11,11
35,7,11,11,11
36,7,12,11,10
37,8,12,10,10
38,9,12,10,9
39,10,12,10,8
40,10,12,10,8
41,10,12,10,8
42,10,12,11,7
43,10,11,11,8
44,9,11,11,9
45,8,11,12,9
46,8,12,11,9
47,7,12,11,10
48,7,12,12,9
49,8,12,12,8
50,8,12,13,7
51,8,12,13,7
52,8,11,13,8
53,8,11,13,8
54,8,10,14,8
55,9,10,13,8
56,10,10,12,8
57,10,10,13,7
58,10,11,12,7
59,10,11,12,7
60,10,12,11,7
61,10,12,10,8
62,9,12,10,9
63,8,13,10,9
64,8,14,10,8
65,8,14,10,8
66,9,13,10,8
67,9,12,11,8
68,9,12,11,8
69,9,11,11,9
70,10,11,10,9
71,10,11,10,9
72,10,10,10,10
73,10,10,11,9
74,10,10,11,9
75,10,10,11,9
76,9,10,12,9
77,8,10,13,9
78,8,11,12,9
79,9,10,12,9
80,9,10,12,9
81,9,10,11,10
82,9,11,11,9
83,9,10,12,9
84,9,10,12,9
85,8,10,12,10
86,8,11,11,10
87,8,11,11,10
88,8,11,11,10
89,8,10,11,11
90,8,10,10,12
91,8,9,10,13
92,8,9,10,13
93,9,8,10,13
94,10,7,10,13
95,10,7,10,13
96,9,8,10,13
97,9,9,9,13
98,9,8,10,13
99,8,9,10,13
100,8,9,10,13
101,8,9,10,13
102,9,8,10,13
103,9,9,10,12
104,9,10,9,12
105,8,11,9,12
106,9,10,9,12
107,9,10,9,12
108,9,10,9,12
109,9,10,9,12
110,9,10,9,12
111,9,10,10,11
112,9,10,10,11
113,9,10,9,12
114,9,10,10,11
115,9,11,9,11
116,9,10,10,11
117,9,9,11,11
118,8,9,11,12
119,8,9,11,12
120,9,8,11,12
121,10,8,11,11
122,10,9,10,11
123,9,9,11,11
124,9,9,11,11
125,9,8,11,12
126,10,8,10,12
127,10,8,10,12
128,11,8,9,12
129,10,9,9,12
130,10,9,10,11
131,10,9,10,11
132,10,9,11,10
133,10,10,11,9
134,10,11,10,9
135,9,11,11,9
136,10,11,10,9
137,10,11,9,10
138,9,12,9,10
139,9,11,10,10
140,9,10,11,10
141,9,10,11,10
142,9,11,10,10
143,9,11,9,11
144,9,11,9,11
145,9,12,8,11
146,9,12,8,11
147,9,12,8,11
148,9,13,7,11
149,10,12,7,11
150,11,11,7,11
151,10,11,8,11
152,10,10,8,12
153,10,11,7,12
154,10,11,7,12
155,10,12,7,11
156,10,12,7,11
157,10,11,7,12
158,10,11,7,12
159,10,11,7,12
160,10,12,6,12
161,10,12,6,12
162,10,12,7,11
163,11,11,7,11
164,11,11,7,11
165,10,12,7,11
166,11,12,7,10
167,11,11,7,11
168,12,11,7,10
169,11,12,7,10
170,10,12,7,11
171,9,13,7,11
172,9,13,7,11
173,9,13,7,11
174,9,13,7,11
175,9,12,7,12
176,9,13,7,11
177,8,13,7,12
178,8,13,7,12
179,8,14,6,12
180,8,14,7,11
181,8,14,7,11
182,7,15,7,11
183,7,16,6,11
184,7,15,6,12
185,8,15,5,12
186,8,14,6,12
187,8,14,5,13
188,9,14,5,12
189,9,14,5,12
190,9,14,5,12
191,9,15,4,12
192,8,16,4,12
193,8,16,4,12
194,8,15,4,13
195,7,15,4,14
196,7,14,4,15
197,7,14,4,15
198,8,13,4,15
199,8,12,5,15
200,8,13,5,14
201,8,12,6,14
202,8,12,7,13
203,8,11,8,13
204,8,11,9,12
205,8,11,8,13
206,9,11,8,12
207,8,11,8,13
208,7,11,8,14
209,7,10,8,15
210,8,10,8,14
211,8,9,9,14
212,9,8,9,14
213,9,9,9,13
214,9,9,10,12
215,9,8,11,12
216,9,9,10,12
217,9,9,10,12
218,9,9,10,12
219,9,9,10,12
220,9,9,10,12
221,9,10,10,11
222,9,10,11,10
223,9,11,10,10
224,9,11,10,10
225,9,11,11,9
226,9,11,12,8
227,9,10,12,9
228,9,10,12,9
229,8,10,13,9
230,8,9,14,9
231,9,9,14,8
232,9,8,15,8
233,10,8,14,8
234,9,8,15,8
235,10,8,15,7
236,11,8,14,7
237,10,8,14,8
238,10,8,14,8
239,10,8,14,8
240,10,8,13,9
241,9,8,14,9
242,10,8,13,9
243,10,8,13,9
244,10,9,12,9
245,9,9,13,9
246,9,8,13,10
247,8,8,13,11
248,9,7,13,11
249,10,7,12,11
250,11,7,11,11
251,10,7,12,11
252,9,7,12,12
253,9,7,12,12
254,9,6,12,13
255,10,5,12,13
256,10,5,11,14
257,11,5,11,13
258,12,5,11,12
259,12,6,10,12
260,13,6,9,12
261,12,7,9,12
262,12,7,9,12
263,12,7,8,13
264,12,7,8,13
265,12,7,8,13
266,12,7,8,13
267,12,8,8,12
268,12,8,8,12
269,12,8,8,12
270,12,8,8,12
271,12,7,9,12
272,13,7,9,11
273,13,7,10,10
274,13,7,9,11
275,14,7,8,11
276,14,7,9,10
277,14,7,9,10
278,14,7,9,10
279,14,7,8,11
280,15,6,8,11
281,15,6,9,10
282,14,6,9,11
283,13,6,9,12
284,14,6,8,12
285,14,6,8,12
286,15,5,8,12
287,15,6,7,12
288,15,6,7,12
289,14,6,7,13
290,15,6,7,12
291,14,6,7,13
292,15,6,7,12
293,14,6,8,12
294,15,5,8,12
295,15,5,8,12
296,15,6,7,12
297,14,6,7,13
298,14,6,7,13
299,14,5,8,13
300,15,5,8,12
301,16,5,7,12
302,15,5,8,12
303,14,5,8,13
304,15,4,8,13
305,15,4,8,13
306,15,4,7,14
307,15,4,7,14
308,15,4,8,13
309,15,4,8,13
310,14,4,8,14
311,15,4,7,14
312,15,5,6,14
313,16,5,5,14
314,15,5,5,15
315,16,5,5,14
316,16,4,6,14
317,16,4,7,13
318,15,4,7,14
319,15,4,7,14
320,16,4,7,13
321,16,3,7,14
322,16,3,7,14
