,GTFT: 0.33,Cooperator,Tit For Tat,Defector
0,10,10,10,10
1,10,11,9,10
2,11,11,8,10
3,10,11,9,10
4,10,11,9,10
5,10,11,9,10
6,11,10,9,10
7,12,9,9,10
8,12,9,8,11
9,11,10,8,11
10,11,10,8,11
11,11,10,8,11
12,12,9,8,11
13,12,9,8,11
14,12,9,9,10
15,12,9,9,10
16,13,9,8,10
17,13,9,8,10
18,13,9,8,10
19,13,9,8,10
20,13,9,9,9
21,14,8,9,9
22,14,8,9,9
23,14,8,8,10
24,13,9,8,10
25,13,9,7,11
26,13,10,6,11
27,13,10,6,11
28,13,10,6,11
29,13,10,6,11
30,14,10,6,10
31,13,10,7,10
32,13,11,7,9
33,13,11,7,9
34,12,11,7,10
35,12,11,7,10
36,11,12,7,10
37,11,13,6,10
38,11,14,6,9
39,11,14,7,8
40,12,14,7,7
41,12,14,7,7
42,12,13,8,7
43,13,12,8,7
44,14,11,8,7
45,15,11,7,7
46,15,11,7,7
47,15,10,8,7
48,15,10,8,7
49,15,10,8,7
50,15,10,8,7
51,15,11,8,6
52,16,10,8,6
53,15,11,8,6
54,14,11,8,7
55,14,11,9,6
56,14,11,10,5
57,14,10,11,5
58,14,10,11,5
59,14,9,12,5
60,15,8,12,5
61,15,9,11,5
62,15,9,11,5
63,15,8,12,5
64,14,8,13,5
65,14,7,13,6
66,15,7,12,6
67,15,6,12,7
68,15,6,11,8
69,14,6,12,8
70,14,6,12,8
71,14,6,13,7
72,15,5,13,7
73,16,5,13,6
74,17,4,13,6
75,17,4,13,6
76,17,4,13,6
77,17,4,13,6
78,17,4,13,6
79,18,4,13,5
80,18,4,13,5
81,17,5,13,5
82,17,5,13,5
83,17,5,13,5
84,17,5,13,5
85,18,5,13,4
86,19,4,13,4
87,18,5,13,4
88,17,5,13,5
89,17,5,13,5
90,17,5,13,5
91,17,5,12,6
92,18,5,11,6
93,18,4,12,6
94,18,4,12,6
95,17,5,12,6
96,17,5,11,7
97,16,5,12,7
98,16,5,12,7
99,16,5,12,7
100,16,5,12,7
101,17,5,11,7
102,17,5,11,7
103,16,5,11,8
104,16,5,11,8
105,17,5,10,8
106,18,5,10,7
107,17,6,10,7
108,17,7,10,6
109,17,8,9,6
110,17,8,8,7
111,18,7,8,7
112,17,7,8,8
113,18,7,8,7
114,19,7,8,6
115,18,8,8,6
116,18,9,7,6
117,19,9,6,6
118,19,10,5,6
119,18,10,5,7
120,18,10,4,8
