,Tit For Tat,Defector,Cooperator,Win-Stay Lose-Shift,GTFT: 0.33
0,10,10,10,10,10
1,11,10,10,9,10
2,11,10,9,9,11
3,12,10,9,9,10
4,12,10,9,8,11
5,11,10,9,8,12
6,11,9,9,8,13
7,11,8,9,8,14
8,11,8,9,8,14
9,11,8,9,8,14
10,10,8,9,8,15
11,10,9,9,7,15
12,11,9,9,7,14
13,10,9,10,7,14
14,10,9,11,6,14
15,9,9,12,6,14
16,9,10,12,6,13
17,9,11,11,6,13
18,9,11,11,6,13
19,9,11,11,5,14
20,8,12,11,5,14
21,8,13,11,5,13
22,8,14,10,5,13
23,7,14,10,5,14
24,7,14,10,5,14
25,7,14,10,5,14
26,7,14,10,5,14
27,7,14,9,5,15
28,7,15,8,5,15
29,7,14,8,5,16
30,7,14,7,5,17
31,7,14,7,5,17
32,7,14,7,5,17
33,7,15,7,5,16
34,7,14,8,5,16
35,7,14,8,5,16
36,6,14,8,6,16
37,6,13,8,6,17
38,7,13,7,6,17
39,7,14,7,5,17
40,7,15,7,5,16
41,7,15,8,4,16
42,6,15,8,4,17
43,6,15,8,3,18
44,6,15,8,2,19
45,6,15,8,3,18
46,6,16,7,3,18
47,6,16,7,3,18
48,6,17,6,3,18
49,6,18,5,3,18
50,6,18,5,3,18
