,GTFT: 0.33,Cooperator,Tit For Tat,Defector
0,10,10,10,10
1,10,10,10,10
2,10,10,11,9
3,10,10,10,10
4,10,11,10,9
5,10,11,10,9
6,10,11,10,9
7,10,10,10,10
8,10,10,10,10
9,10,10,9,11
10,10,9,9,12
11,10,9,9,12
12,10,8,10,12
13,11,8,10,11
14,11,8,10,11
15,10,8,11,11
16,10,8,11,11
17,9,9,11,11
18,9,10,10,11
19,9,10,10,11
20,9,10,9,12
21,10,10,9,11
22,10,11,9,10
23,11,10,9,10
24,11,10,9,10
25,12,10,8,10
26,11,10,8,11
27,10,10,8,12
28,10,9,8,13
29,10,9,8,13
30,10,10,8,12
31,10,10,9,11
32,10,11,9,10
33,10,11,9,10
34,11,11,8,10
35,11,11,7,11
36,12,11,7,10
37,12,11,7,10
38,11,11,7,11
39,11,11,7,11
40,10,12,7,11
41,9,13,7,11
42,9,13,7,11
43,8,13,7,12
44,8,13,7,12
45,8,12,7,13
46,8,12,7,13
47,8,13,6,13
48,8,13,6,13
49,9,13,6,12
50,9,12,6,13
51,9,12,5,14
52,10,12,5,13
53,11,11,5,13
54,11,10,6,13
55,11,10,6,13
56,11,9,6,14
57,11,10,6,13
58,11,10,6,13
59,11,10,6,13
60,11,10,6,13
61,12,10,6,12
62,12,10,5,13
63,12,10,5,13
64,12,9,5,14
65,12,9,5,14
66,12,8,6,14
67,12,7,7,14
68,12,7,7,14
69,13,7,6,14
70,13,6,6,15
71,13,6,7,14
72,13,6,7,14
73,13,6,6,15
74,13,6,7,14
75,12,6,8,14
76,12,6,8,14
77,12,6,9,13
78,11,7,9,13
79,11,7,8,14
80,11,7,7,15
81,11,7,6,16
82,11,7,6,16
83,11,7,6,16
84,11,7,5,17
85,11,7,5,17
86,11,8,5,16
87,11,8,5,16
88,11,8,5,16
89,12,8,5,15
90,12,8,4,16
91,12,8,4,16
92,12,9,4,15
93,11,10,4,15
94,11,11,4,14
95,12,11,4,13
96,11,12,4,13
97,11,11,4,14
98,11,12,3,14
99,11,12,3,14
100,12,12,3,13
101,12,11,3,14
102,13,11,3,13
103,14,11,3,12
104,14,11,3,12
105,15,11,2,12
106,15,11,2,12
107,15,11,2,12
108,15,10,3,12
109,15,11,2,12
110,15,11,2,12
111,15,11,2,12
112,16,11,2,11
113,16,11,2,11
114,16,11,3,10
115,16,11,4,9
116,17,11,4,8
117,16,11,5,8
118,16,11,5,8
119,16,10,6,8
120,16,10,6,8
121,16,10,6,8
122,15,11,6,8
123,15,11,6,8
124,14,11,7,8
125,13,12,7,8
126,12,13,7,8
127,13,12,7,8
128,14,12,7,7
129,14,11,7,8
130,15,11,6,8
131,15,10,6,9
132,16,10,6,8
133,16,10,6,8
134,15,11,6,8
135,14,11,6,9
136,14,11,6,9
137,14,11,7,8
138,15,11,7,7
139,16,11,6,7
140,15,11,6,8
141,15,11,6,8
142,14,11,7,8
143,14,11,7,8
144,14,10,7,9
145,13,11,7,9
146,12,11,7,10
147,12,11,7,10
148,11,11,8,10
149,10,11,8,11
150,10,11,8,11
151,10,11,8,11
152,11,11,7,11
153,12,11,7,10
154,12,11,8,9
155,12,12,7,9
156,12,12,6,10
157,11,12,6,11
158,12,11,6,11
159,12,10,6,12
160,13,10,5,12
161,13,10,5,12
162,12,11,5,12
163,11,12,5,12
164,12,11,5,12
165,12,11,5,12
166,12,11,4,13
167,12,11,4,13
168,11,12,4,13
169,10,13,4,13
170,10,13,4,13
171,10,14,4,12
172,10,14,4,12
173,10,14,4,12
174,9,15,4,12
175,10,14,4,12
176,10,14,4,12
177,10,13,4,13
178,10,12,4,14
179,10,11,4,15
180,10,10,5,15
181,10,10,6,14
182,10,11,5,14
183,9,11,6,14
184,9,11,6,14
185,9,10,6,15
186,9,10,7,14
187,9,10,8,13
188,8,10,8,14
189,7,10,9,14
190,7,10,10,13
191,7,10,10,13
192,7,9,10,14
193,7,9,10,14
194,7,9,10,14
195,7,9,11,13
196,7,9,11,13
197,7,9,10,14
198,6,10,10,14
199,5,11,10,14
200,5,10,11,14
201,5,10,11,14
202,5,10,11,14
203,5,9,11,15
204,5,9,12,14
205,5,9,12,14
206,4,10,12,14
207,4,9,12,15
208,4,9,11,16
209,4,9,10,17
210,4,8,11,17
211,4,8,10,18
212,4,7,10,19
213,4,7,10,19
214,4,7,10,19
215,4,7,10,19
216,4,7,11,18
217,4,7,10,19
218,3,7,11,19
219,3,7,11,19
220,3,7,12,18
221,3,7,12,18
222,3,6,12,19
223,3,6,13,18
224,3,7,13,17
225,3,7,13,17
226,4,7,13,16
227,4,8,12,16
228,4,8,13,15
229,4,8,13,15
230,4,8,12,16
231,4,8,12,16
232,3,9,12,16
233,3,9,13,15
234,3,9,13,15
235,3,9,13,15
236,3,10,13,14
237,3,10,13,14
238,3,10,12,15
239,3,10,11,16
240,3,10,11,16
241,3,9,12,16
242,3,10,11,16
243,3,11,10,16
244,3,10,10,17
245,3,11,9,17
246,3,10,9,18
247,3,9,10,18
248,3,10,9,18
249,4,10,8,18
250,3,11,8,18
251,3,12,8,17
252,3,11,8,18
253,3,12,8,17
254,3,13,8,16
255,3,13,8,16
256,4,12,8,16
257,4,12,8,16
258,3,13,8,16
259,2,14,8,16
260,2,14,8,16
261,2,15,8,15
262,2,15,8,15
263,2,15,8,15
264,2,15,9,14
265,2,14,9,15
266,2,14,9,15
267,2,15,8,15
268,2,15,8,15
269,2,14,9,15
270,2,13,10,15
271,1,13,10,16
272,1,12,10,17
273,1,12,9,18
274,1,12,10,17
275,1,12,11,16
276,1,12,11,16
277,1,13,11,15
278,1,13,10,16
279,1,13,10,16
280,1,13,10,16
281,1,14,10,15
282,1,14,10,15
283,1,14,10,15
284,2,14,10,14
285,2,14,9,15
286,2,13,10,15
287,2,13,10,15
288,2,13,10,15
289,2,13,10,15
290,2,12,10,16
291,2,12,10,16
292,2,11,10,17
293,2,10,10,18
294,1,11,10,18
295,1,12,9,18
296,1,12,9,18
297,1,13,9,17
298,1,13,10,16
299,1,13,10,16
300,1,13,11,15
301,0,13,11,16
302,0,13,11,16
303,0,13,11,16
304,0,13,12,15
305,0,13,12,15
306,0,13,13,14
307,0,14,13,13
308,0,14,13,13
309,0,14,12,14
310,0,15,11,14
311,0,16,10,14
312,0,16,10,14
313,0,15,10,15
314,0,14,11,15
315,0,14,11,15
316,0,14,10,16
317,0,15,9,16
318,0,16,8,16
319,1,15,8,16
320,1,16,8,15
321,1,16,7,16
322,1,17,7,15
