,Tit For Tat,Defector,Cooperator,Win-Stay Lose-Shift,GTFT: 0.33
0,10,10,10,10,10
1,10,10,10,10,10
2,10,11,9,10,10
3,10,10,9,11,10
4,10,11,9,10,10
5,9,12,9,10,10
6,9,12,9,10,10
7,10,12,9,9,10
8,10,12,9,9,10
9,10,12,8,10,10
10,10,12,8,10,10
11,9,12,8,10,11
12,10,11,8,10,11
13,10,10,9,10,11
14,10,10,9,10,11
15,10,11,8,10,11
16,10,11,9,10,10
17,10,12,9,10,9
18,10,12,9,10,9
19,10,12,9,10,9
20,10,12,9,10,9
21,10,13,8,10,9
22,9,13,9,10,9
23,9,13,9,10,9
24,9,14,9,10,8
25,9,13,9,11,8
26,9,13,9,11,8
27,9,13,9,11,8
28,9,14,8,11,8
29,9,14,7,11,9
30,9,13,8,11,9
31,8,13,8,12,9
32,7,13,8,12,10
33,7,13,8,12,10
34,7,13,8,13,9
35,7,13,8,13,9
36,7,14,8,12,9
37,7,15,8,11,9
38,7,14,8,11,10
39,7,13,8,11,11
40,7,13,8,11,11
41,6,13,9,11,11
42,6,12,9,12,11
43,6,12,10,12,10
44,6,11,10,12,11
45,6,12,10,12,10
46,6,13,10,11,10
47,6,14,10,11,9
48,6,14,9,12,9
49,6,13,10,12,9
50,6,13,9,13,9
