,GTFT: 0.33,Cooperator,Tit For Tat,Defector
0,10,10,10,10
1,10,10,10,10
2,10,10,10,10
3,10,10,10,10
4,9,10,11,10
5,10,10,11,9
6,10,10,10,10
7,10,10,10,10
8,9,10,11,10
9,9,10,11,10
10,9,10,11,10
11,10,10,11,9
12,10,11,10,9
13,10,12,9,9
14,10,12,10,8
15,10,12,10,8
16,10,12,10,8
17,10,12,10,8
18,10,11,11,8
19,10,12,10,8
20,11,12,10,7
21,10,13,10,7
22,10,13,9,8
23,10,13,9,8
24,10,14,9,7
25,9,15,9,7
26,10,15,8,7
27,10,15,8,7
28,10,16,7,7
29,9,17,7,7
30,10,16,7,7
31,10,16,7,7
32,9,16,7,8
33,8,16,8,8
34,8,16,8,8
35,8,15,9,8
36,8,15,8,9
37,8,16,7,9
38,9,15,7,9
39,9,16,7,8
40,9,16,7,8
41,9,15,7,9
42,9,15,7,9
43,8,16,7,9
44,8,16,7,9
45,8,16,7,9
46,8,16,7,9
47,8,15,8,9
48,9,15,7,9
49,9,14,7,10
50,8,15,7,10
51,8,15,6,11
52,8,15,6,11
53,9,14,6,11
54,9,13,7,11
55,10,13,6,11
56,10,14,6,10
57,9,15,6,10
58,8,15,7,10
59,9,14,7,10
60,9,13,7,11
61,8,13,8,11
62,8,13,8,11
63,8,12,8,12
64,8,12,8,12
65,8,12,8,12
66,8,12,7,13
67,8,12,6,14
68,7,12,6,15
69,6,12,6,16
70,6,12,6,16
71,6,11,6,17
72,6,10,6,18
73,6,9,6,19
74,6,10,6,18
75,6,10,7,17
76,7,10,7,16
77,7,10,6,17
78,6,11,6,17
79,6,10,6,18
80,6,11,6,17
81,6,11,6,17
82,6,11,6,17
83,6,12,6,16
84,7,12,6,15
85,7,12,6,15
86,7,13,6,14
87,6,13,6,15
88,6,12,6,16
89,6,11,6,17
90,5,12,6,17
91,5,12,6,17
92,5,11,6,18
93,5,11,6,18
94,5,11,6,18
95,5,12,6,17
96,5,11,7,17
97,5,11,7,17
98,5,12,6,17
99,4,12,6,18
100,4,12,6,18
101,4,12,6,18
102,5,11,6,18
103,5,11,6,18
104,5,10,6,19
105,5,10,6,19
106,5,11,6,18
107,5,11,6,18
108,4,11,7,18
109,4,12,7,17
110,5,12,6,17
111,5,12,6,17
112,5,13,6,16
113,5,12,6,17
114,5,13,6,16
115,4,13,7,16
116,4,13,7,16
117,4,13,7,16
118,4,14,7,15
119,4,14,7,15
120,4,14,6,16
121,4,15,5,16
122,4,14,6,16
123,4,14,6,16
124,4,14,5,17
125,4,14,5,17
126,4,13,6,17
127,4,14,5,17
128,4,14,5,17
129,4,13,5,18
130,4,13,5,18
131,4,13,5,18
132,4,12,5,19
133,4,12,5,19
134,4,12,4,20
135,4,13,4,19
136,4,13,4,19
137,5,13,4,18
138,5,12,4,19
139,5,12,4,19
140,5,13,4,18
141,5,13,4,18
142,5,13,4,18
143,5,13,4,18
144,5,14,4,17
145,6,14,4,16
146,6,15,4,15
147,6,15,5,14
148,6,15,5,14
149,5,15,6,14
150,5,15,6,14
151,5,15,6,14
152,6,15,5,14
153,7,14,5,14
154,7,14,5,14
155,7,14,5,14
156,7,14,6,13
157,7,15,6,12
158,7,14,7,12
159,7,14,6,13
160,8,14,6,12
161,8,14,6,12
162,8,14,6,12
163,8,14,6,12
164,8,15,6,11
165,8,14,6,12
166,8,14,7,11
167,8,14,7,11
168,8,14,7,11
169,8,15,7,10
170,8,15,6,11
171,8,15,6,11
172,8,16,6,10
173,7,17,6,10
174,8,17,5,10
175,9,16,5,10
176,9,16,5,10
177,9,16,6,9
178,9,16,6,9
179,8,17,6,9
180,8,16,6,10
181,8,17,6,9
182,8,18,6,8
183,8,19,6,7
184,8,19,6,7
185,9,18,6,7
186,9,19,6,6
187,9,19,6,6
188,9,18,6,7
189,9,17,6,8
190,9,17,7,7
191,9,17,7,7
192,8,18,7,7
193,8,19,6,7
194,8,19,6,7
195,8,19,6,7
196,8,19,7,6
197,8,19,7,6
198,8,19,7,6
199,7,20,7,6
200,8,20,6,6
201,9,20,6,5
202,9,20,6,5
203,9,20,6,5
204,9,21,6,4
205,8,21,6,5
206,9,20,6,5
207,9,21,5,5
208,9,21,5,5
209,8,21,5,6
210,7,22,5,6
211,6,23,5,6
212,5,24,5,6
213,5,23,5,7
214,4,24,5,7
215,5,23,5,7
216,5,23,5,7
217,5,22,6,7
218,5,21,7,7
219,6,20,7,7
220,5,20,7,8
221,5,21,7,7
222,5,21,7,7
223,5,20,7,8
224,4,20,7,9
225,4,19,7,10
226,4,18,7,11
227,4,18,7,11
228,4,18,6,12
229,4,17,6,13
230,4,16,7,13
231,3,17,7,13
232,3,17,7,13
233,3,18,7,12
234,3,17,7,13
235,3,17,7,13
236,3,17,7,13
237,3,17,8,12
238,3,17,8,12
239,4,17,8,11
240,4,17,8,11
241,5,17,7,11
242,5,17,7,11
243,5,18,7,10
244,5,18,7,10
245,5,18,7,10
246,5,17,7,11
247,5,16,7,12
248,5,16,7,12
249,5,17,7,11
250,5,16,7,12
251,5,15,7,13
252,5,14,7,14
253,5,13,7,15
254,4,13,7,16
255,4,12,7,17
256,4,11,8,17
257,5,11,8,16
258,5,12,8,15
259,5,12,8,15
260,5,12,8,15
261,5,12,9,14
262,5,11,10,14
263,5,12,9,14
264,5,12,9,14
265,6,11,9,14
266,6,10,10,14
267,6,10,10,14
268,6,10,9,15
269,6,11,9,14
270,7,11,9,13
271,7,11,9,13
272,7,11,9,13
273,6,12,9,13
274,6,12,8,14
275,5,12,8,15
276,5,11,8,16
277,5,11,8,16
278,5,12,7,16
279,6,11,7,16
280,6,11,7,16
281,6,11,6,17
282,6,12,6,16
283,6,12,7,15
284,6,12,6,16
285,6,12,5,17
286,6,11,6,17
287,5,11,7,17
288,5,12,7,16
289,5,12,7,16
290,5,12,8,15
291,5,12,8,15
292,4,12,9,15
293,4,13,9,14
294,4,13,9,14
295,4,13,9,14
296,3,14,9,14
297,4,13,9,14
298,4,13,9,14
299,4,13,9,14
300,4,13,9,14
301,4,13,8,15
302,5,13,8,14
303,6,12,8,14
304,6,12,7,15
305,6,12,7,15
306,6,11,7,16
307,5,11,7,17
308,6,11,7,16
309,5,12,7,16
310,4,13,7,16
311,4,14,7,15
312,4,14,7,15
313,4,13,7,16
314,4,13,7,16
315,4,13,7,16
316,4,14,7,15
317,4,13,7,16
318,4,13,7,16
319,4,12,7,17
320,5,11,7,17
321,5,10,7,18
322,5,10,6,19
