,Tit For Tat,Defector,Cooperator,Win-Stay Lose-Shift,GTFT: 0.33
0,10,10,10,10,10
1,10,11,10,9,10
2,10,12,9,9,10
3,10,13,9,9,9
4,10,14,8,9,9
5,11,13,8,9,9
6,11,13,8,8,10
7,11,14,8,8,9
8,11,14,8,8,9
9,11,13,9,8,9
10,11,13,10,8,8
11,11,12,10,8,9
12,12,12,10,8,8
13,11,13,10,8,8
14,11,12,10,9,8
15,11,13,10,9,7
16,11,13,10,9,7
17,11,13,9,10,7
18,12,13,9,10,6
19,12,13,9,10,6
20,12,13,9,10,6
21,12,14,9,9,6
22,12,13,10,9,6
23,12,14,9,9,6
24,12,13,9,10,6
25,12,13,8,11,6
26,12,13,8,11,6
27,12,13,9,10,6
28,12,14,9,9,6
29,12,13,9,9,7
30,13,13,8,9,7
31,13,13,9,8,7
32,12,13,9,8,8
33,13,13,9,7,8
34,13,14,9,7,7
35,13,14,9,7,7
36,13,15,8,7,7
37,14,14,8,7,7
38,13,14,8,7,8
39,13,13,9,7,8
40,12,14,9,7,8
41,12,14,9,8,7
42,12,13,10,8,7
43,12,13,10,8,7
44,12,13,10,8,7
45,12,12,11,8,7
46,11,13,11,8,7
47,11,12,12,8,7
48,12,12,12,7,7
49,12,11,13,7,7
50,12,11,14,6,7
