,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,9,10,10,11
2,9,11,10,10
3,9,12,10,9
4,8,12,10,10
5,8,11,10,11
6,9,11,9,11
7,10,11,9,10
8,10,12,8,10
9,9,13,8,10
10,9,13,9,9
11,9,13,9,9
12,10,13,9,8
13,10,13,10,7
14,11,13,9,7
15,12,13,8,7
16,12,13,8,7
17,13,13,8,6
18,13,14,8,5
19,13,15,8,4
20,12,16,8,4
21,11,17,8,4
22,11,17,8,4
23,11,17,8,4
24,11,17,8,4
25,11,18,7,4
26,11,18,8,3
27,10,19,8,3
28,11,18,8,3
29,12,18,7,3
30,12,18,7,3
31,11,18,8,3
32,11,18,8,3
33,11,18,8,3
34,10,19,8,3
35,10,19,8,3
36,9,19,8,4
37,9,20,7,4
38,10,19,7,4
39,10,18,7,5
40,11,17,7,5
41,11,16,8,5
42,11,15,9,5
43,11,16,8,5
44,11,15,9,5
45,12,15,9,4
46,12,14,10,4
47,12,13,11,4
48,12,12,11,5
49,13,12,10,5
50,14,12,10,4
51,14,13,10,3
52,15,13,10,2
53,15,12,10,3
54,16,12,9,3
55,17,11,9,3
56,18,11,8,3
57,18,10,8,4
58,18,9,9,4
59,17,9,9,5
60,17,8,10,5
61,17,8,10,5
62,17,8,10,5
63,16,9,10,5
64,16,9,10,5
65,16,8,10,6
66,15,9,10,6
67,15,9,10,6
68,15,9,10,6
69,14,9,11,6
70,15,9,10,6
71,15,9,10,6
72,16,9,10,5
73,17,8,10,5
74,16,9,10,5
75,16,10,9,5
76,16,9,9,6
77,17,9,8,6
78,16,10,8,6
79,17,9,8,6
80,18,9,7,6
81,18,8,8,6
82,18,7,9,6
83,18,7,9,6
84,18,7,9,6
85,19,7,9,5
86,19,7,9,5
87,18,7,9,6
88,18,7,9,6
89,18,6,9,7
90,17,6,9,8
91,17,7,9,7
92,17,7,9,7
93,17,6,10,7
94,17,6,9,8
95,17,6,9,8
96,18,5,9,8
97,17,5,9,9
98,17,6,9,8
99,16,6,9,9
100,17,6,8,9
101,16,6,9,9
102,16,5,9,10
103,17,5,9,9
104,18,5,9,8
105,18,5,9,8
106,17,6,9,8
107,17,5,9,9
108,17,5,9,9
109,16,6,9,9
110,17,6,8,9
111,18,6,8,8
112,18,6,7,9
113,18,6,8,8
114,18,6,8,8
115,17,6,9,8
116,17,6,9,8
117,17,6,9,8
118,16,6,9,9
119,16,6,9,9
120,17,5,9,9
121,18,5,9,8
122,19,5,8,8
123,18,5,9,8
124,17,6,9,8
125,16,6,10,8
126,16,6,10,8
127,15,6,11,8
128,15,6,11,8
129,15,6,10,9
130,15,5,10,10
131,16,5,9,10
132,16,5,9,10
133,16,6,8,10
