,C,D,C,D
,C,C,D,D
1,4495,1851,1979,1575
2,4598,1778,1963,1561
3,4531,1875,1928,1566
4,4518,1872,1909,1601
5,4616,1877,1939,1468
6,4545,1834,1897,1624
