,C,D,C,D
,C,C,D,D
1,4601,1827,1902,1570
2,4582,1829,1890,1599
3,4584,1782,1948,1586
4,4392,1839,2036,1633
5,4478,1812,2004,1606
6,4468,1775,1977,1680
