,C,D,D,C
,C,C,D,D
1,24.0,11.0,8.0,13.0
2,30.0,8.0,8.0,10.0
3,32.0,12.0,5.0,7.0
4,38.0,10.0,,8.0
5,35.0,12.0,2.0,7.0
6,35.0,11.0,3.0,7.0
